repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
AmruthPillai/Reactive-Resume,1088635840,0,0,2021/12/25 18:01,2022/3/8 13:28,1747.456111,NONE,0,2,43,0,10,9.57,10,3,0.414285714,0.497619048,1,1,['enhancement'],1,0,677,3459,3225,640,29,29,230,3508,0,0,0,74,0,4,1,1103,1,1,1,1,1747.456111,69,0
AmruthPillai/Reactive-Resume,1083933930,0,0,2021/12/18 19:54,2022/1/30 17:24,1029.494722,NONE,0,5,50,0,9.6,9.09,3,3,0.13,0.455,0,0,[],0,0,675,3442,3208,633,29,29,229,3508,0,0,0,74,0,19,2,1475,2,2,1,1,780.1288889,70,0
AmruthPillai/Reactive-Resume,1077790513,0,0,2021/12/12 12:10,2022/3/8 13:28,2065.315556,NONE,0,4,22,0,2.9,2.88,0,2,-0.0625,0.166666667,1,1,['enhancement'],1,0,668,3432,3198,626,30,30,228,3508,0,0,0,74,0,63,9,1273,1,1,1,1,2065.315556,68,0
AmruthPillai/Reactive-Resume,1076990466,0,0,2021/12/10 15:55,2022/3/8 13:29,2109.554444,NONE,0,9,98,0,13.19,7.02,13,6,0.36,0.62,1,1,['enhancement'],1,0,667,3426,3193,625,29,29,227,3508,0,0,0,74,0,13,0,2583,1,1,1,1,2109.554444,67,0
AmruthPillai/Reactive-Resume,1072873145,0,0,2021/12/7 3:31,2022/3/8 13:29,2193.968611,NONE,0,8,36,0,12.25,7.89,0,1,-0.1,0.1,0,0,[],0,0,664,3416,3183,621,28,28,226,3508,0,0,0,74,0,5,0,247,2,2,2,2,2193.968611,66,0
AmruthPillai/Reactive-Resume,1072850806,0,0,2021/12/7 2:48,2022/3/8 13:30,2194.699722,NONE,0,6,105,2,23.65,12.35,4,7,0.083333333,0.6,0,0,[],0,0,664,3416,3183,621,27,27,225,3508,0,0,0,74,0,19,12,1776,0,0,1,1,2194.699722,65,0
AmruthPillai/Reactive-Resume,1072058207,0,0,2021/12/6 11:48,2022/3/8 13:30,2209.695,NONE,0,5,23,0,7.28,4.74,0,2,-0.125,0.375,0,0,[],0,0,664,3411,3178,620,26,26,224,3508,0,0,0,74,0,7,0,310,0,0,1,1,2209.695,64,0
AmruthPillai/Reactive-Resume,1071097537,0,0,2021/12/4 2:20,2021/12/4 2:20,0.004722222,NONE,0,8,36,0,16.6,8.87,0,2,0.072222222,0.233333333,0,0,[],0,0,664,3407,3174,618,27,27,224,3508,0,0,0,74,0,5,0,244,0,0,1,1,,0,0
AmruthPillai/Reactive-Resume,1065267338,0,0,2021/11/28 8:02,2022/3/8 13:30,2405.459722,NONE,0,4,11,0,17.4,8.45,0,0,0,0,0,0,[],0,0,661,3394,3161,612,30,30,224,3508,0,0,0,74,0,15,0,727,1,1,1,1,2405.459722,63,0
AmruthPillai/Reactive-Resume,1063605274,0,0,2021/11/25 13:41,2022/3/8 13:30,2471.816944,NONE,0,5,98,0,10.76,6.55,6,7,0.026420455,0.484943182,0,0,[],0,0,661,3387,3155,609,29,29,223,3508,0,0,0,74,0,41,3,1709,1,1,1,1,2471.816944,62,0
AmruthPillai/Reactive-Resume,1058837254,0,0,2021/11/19 19:18,2021/11/19 21:19,2.030555556,NONE,0,5,33,0,6.12,4.04,2,3,-0.170833333,0.304166667,0,0,[],0,0,659,3364,3133,604,30,30,223,3508,0,0,0,74,0,16,0,694,1,1,1,1,2.035277778,66,1
AmruthPillai/Reactive-Resume,1053100981,0,0,2021/11/15 1:03,2022/3/8 13:30,2724.449167,NONE,0,3,127,0,20.83,6.67,4,6,0.198958333,0.320833333,0,0,[],0,0,656,3352,3122,599,30,30,222,3508,0,0,0,74,0,91,5,1609,2,2,1,1,47.03555556,66,4
AmruthPillai/Reactive-Resume,1052969197,0,0,2021/11/14 15:35,2022/3/8 13:30,2733.923611,NONE,0,7,25,0,14.86,9.23,0,1,0,0.75,0,0,[],0,0,656,3352,3122,599,29,29,221,3508,0,0,0,74,0,169,92,4128,1,1,1,1,2733.923611,61,0
AmruthPillai/Reactive-Resume,1052519151,0,0,2021/11/13 2:11,2022/3/8 13:30,2771.323889,NONE,0,7,47,0,7.92,9.45,11,3,0.6,1,0,0,[],0,0,656,3349,3119,597,28,28,220,3508,0,0,0,74,0,4,1,938,0,0,1,1,2771.323889,60,0
AmruthPillai/Reactive-Resume,1050360502,0,0,2021/11/10 22:11,2022/3/8 13:30,2823.316944,NONE,0,4,28,0,8.7,7.82,4,4,0.516666667,0.498333333,0,0,[],0,0,656,3343,3115,595,27,27,219,3508,0,0,0,74,0,1,0,1652,1,1,1,1,2823.316944,59,0
AmruthPillai/Reactive-Resume,1047812858,0,0,2021/11/8 18:59,2022/3/8 13:31,2874.528056,NONE,0,4,11,0,5.8,11.06,0,1,0,0,0,0,[],0,0,653,3335,3108,593,30,30,218,3508,0,0,0,74,0,16,15,553,1,0,1,1,2874.528056,58,0
AmruthPillai/Reactive-Resume,1041433592,0,0,2021/11/1 17:52,2022/3/8 13:33,3043.68,NONE,0,3,7,0,11.15,14.04,2,0,0,0,0,0,[],0,0,648,3318,3093,586,35,35,217,3508,0,0,0,74,0,29,13,880,1,0,2,1,3043.68,43,0
AmruthPillai/Reactive-Resume,1040126363,0,0,2021/10/30 11:49,2021/11/1 9:25,45.6075,OWNER,1,3,0,0,7.32,-22.21,0,0,0,0,0,0,[],0,0,647,3313,3090,583,34,34,217,3508,0,3115,0,74,0,169,899,3665,3504,16,131,4,,0,0
AmruthPillai/Reactive-Resume,1035648344,0,0,2021/10/25 23:04,2021/10/26 14:58,15.90277778,OWNER,1,3,0,0,7.32,-22.21,0,0,0,0,0,0,[],0,0,646,3311,3071,579,37,37,217,3508,0,3115,0,74,0,169,899,3660,3503,17,130,3,,0,0
AmruthPillai/Reactive-Resume,1035459858,0,0,2021/10/25 18:49,2022/3/8 13:31,3210.696667,NONE,0,1,7,0,30,11.55,0,1,0,0,0,0,[],0,0,646,3311,3069,579,36,36,216,3508,0,0,0,74,0,3,0,680,0,0,1,1,3210.696667,56,0
AmruthPillai/Reactive-Resume,1034392487,0,0,2021/10/24 11:35,2021/10/24 11:36,0.010555556,OWNER,1,3,0,0,7.32,-22.21,0,0,0,0,0,0,[],0,0,646,3311,3065,577,35,35,216,3508,0,3115,0,74,0,169,899,3659,3503,17,129,2,,0,0
AmruthPillai/Reactive-Resume,1034088408,0,0,2021/10/23 6:07,2022/3/8 13:31,3271.399444,NONE,0,3,43,1,3.43,22.1,2,14,-0.125,0.15,0,0,[],0,0,646,3311,3064,576,36,36,216,3508,0,0,0,74,0,46,16,793,0,0,1,1,3271.399444,55,0
AmruthPillai/Reactive-Resume,1033966890,0,0,2021/10/22 21:40,2022/1/10 7:42,1906.038889,NONE,0,5,36,0,14.24,8.67,0,4,0.5,0.504166667,0,0,[],0,0,646,3311,3063,576,35,35,215,3508,0,0,0,74,0,2,0,385,0,0,1,1,1890.662778,57,0
AmruthPillai/Reactive-Resume,1033128686,0,0,2021/10/22 3:01,2022/2/27 11:28,3080.445,CONTRIBUTOR,0,6,245,12,1.38,34.64,101,61,0.23375,0.555714286,0,0,[],0,0,646,3311,3063,575,36,36,214,3508,0,0,0,74,0,17,8,3312,0,0,1,1,3080.210833,55,0
AmruthPillai/Reactive-Resume,1029635407,0,0,2021/10/18 21:54,2022/3/8 13:31,3375.611111,NONE,0,2,328,4,18.7,28.18,63,128,-0.296875,0.5375,0,0,[],0,0,644,3311,3057,572,36,36,213,3508,0,0,0,74,0,61,0,2224,0,0,1,1,3375.611111,54,0
AmruthPillai/Reactive-Resume,1021769308,0,0,2021/10/9 18:03,2022/3/8 13:31,3595.468333,NONE,0,4,57,0,5.8,4.84,3,7,0.125,0.216666667,0,0,[],0,0,643,3304,3041,563,42,42,212,3508,0,0,0,74,0,10,0,1236,0,0,1,1,3595.468333,53,0
AmruthPillai/Reactive-Resume,1015086402,0,0,2021/10/4 11:58,2021/10/4 12:16,0.298888889,NONE,0,2,45,1,10,9.49,2,4,0,0,0,0,[],0,0,641,3295,3021,557,45,45,212,3508,0,0,0,74,0,24,33,3787,1,1,1,1,,0,0
AmruthPillai/Reactive-Resume,1014333138,0,0,2021/10/3 9:49,2021/10/24 11:08,505.3166667,CONTRIBUTOR,1,3,37,0,15.03,3.89,0,2,0.266666667,0.175,0,0,[],0,0,641,3292,3018,556,44,44,211,3508,0,3,0,74,0,24,0,1180,16,7,3,2,,0,0
AmruthPillai/Reactive-Resume,1014006659,0,0,2021/10/2 10:27,2022/3/8 13:31,3771.068333,CONTRIBUTOR,0,5,205,1,2.64,14.85,36,19,0.11622807,0.423830409,0,0,[],0,0,640,3291,3017,555,43,43,210,3508,0,3,0,74,0,24,0,1179,11,2,2,1,23.09194444,57,1
AmruthPillai/Reactive-Resume,1013105510,0,0,2021/10/1 9:13,2022/3/8 13:31,3796.305556,NONE,0,5,8,0,6.12,2.86,0,0,0,0,0,0,[],0,0,639,3288,3014,554,42,42,209,3508,0,0,0,74,0,13,0,1637,1,1,1,1,48.39694444,56,1
AmruthPillai/Reactive-Resume,1001002384,0,0,2021/9/20 13:56,2022/3/8 13:31,4055.579722,NONE,0,6,127,0,10.08,8.01,4,5,-0.002777778,0.480555556,0,0,[],0,0,631,3251,2982,543,50,50,212,3508,0,0,0,74,0,3,2,2616,1,1,1,1,4055.579722,52,0
AmruthPillai/Reactive-Resume,1000266641,0,0,2021/9/19 9:54,2022/3/8 13:31,4083.615556,NONE,0,6,14,0,12.98,7.37,0,2,0.118181818,0.277272727,0,0,[],0,0,631,3248,2979,542,49,49,211,3508,0,0,0,74,0,3,0,1572,1,1,1,1,4083.615556,51,0
AmruthPillai/Reactive-Resume,997659739,0,0,2021/9/16 1:25,2022/3/8 13:31,4164.112222,NONE,0,3,12,0,5.35,7.18,0,2,-0.5,0.5,0,0,[],0,0,628,3241,2972,539,52,52,210,3508,0,0,0,74,0,2,0,1733,1,1,1,1,4164.112222,50,0
AmruthPillai/Reactive-Resume,989240949,0,0,2021/9/6 14:40,2022/3/8 13:31,4390.850278,NONE,0,6,28,0,7.18,9.04,0,3,0.475,0.525,0,0,[],0,0,619,3213,2946,530,55,55,209,3508,0,0,0,74,0,1,1,4,1,1,1,1,4390.850278,49,0
AmruthPillai/Reactive-Resume,988935187,0,0,2021/9/6 8:51,2022/3/8 13:32,4396.673611,NONE,0,5,51,1,7.28,13.29,3,5,0,0,0,0,[],0,0,619,3213,2946,529,54,54,208,3508,0,0,0,74,0,0,0,665,0,0,1,1,4396.673611,48,0
AmruthPillai/Reactive-Resume,987698015,0,0,2021/9/3 11:58,2022/3/8 13:32,4465.561111,NONE,0,2,33,0,15.8,5.61,2,5,0.5,0.536666667,0,0,[],0,0,617,3209,2942,526,56,56,207,3508,0,0,0,74,0,63,24,2509,1,1,1,1,4465.561111,47,0
AmruthPillai/Reactive-Resume,987036352,0,0,2021/9/2 18:25,2021/9/30 7:41,661.2588889,OWNER,1,3,0,0,7.32,-22.21,0,0,0,0,0,0,[],0,0,617,3206,2939,526,56,56,206,3508,0,3115,0,74,0,169,899,3607,3491,120,128,6,,0,0
AmruthPillai/Reactive-Resume,986745813,0,0,2021/9/2 13:40,2022/3/8 13:32,4487.857222,NONE,0,5,22,0,8.44,4.59,0,0,0.533333333,0.666666667,0,0,[],0,0,617,3206,2938,525,55,55,205,3508,0,0,0,74,0,41,1,1248,1,1,1,1,219.8722222,54,0
AmruthPillai/Reactive-Resume,982579768,0,0,2021/8/30 9:18,2021/8/30 9:27,0.154166667,NONE,0,10,110,2,11.4,8.22,15,11,-0.033928571,0.372619048,0,0,[],0,0,617,3204,2935,522,56,56,205,3508,0,0,0,74,0,17,4,1968,2,1,1,1,0.16,56,1
AmruthPillai/Reactive-Resume,979817783,0,0,2021/8/26 4:19,2022/3/8 13:32,4665.2075,NONE,0,5,47,0,11.92,6.74,4,2,-0.107142857,0.271428571,0,0,[],0,0,616,3202,2929,518,58,58,204,3508,0,0,0,74,0,7,0,80,3,3,2,2,4665.2075,46,0
