repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
Attendize/Attendize,1088184650,0,0,2021-12-24T06:34:10Z,,None,NONE,0,4,136,0,11.6,13.98,36,9,0.016666667,0.216666667,1,1,['bug'],1,0,1165,3447,3254,2122,31,18,262,1238,9,0,0,76,3,21,3,1980,7,0,2,0,,0,0
Attendize/Attendize,1070740123,0,0,2021-12-03T16:06:43Z,2022-06-14T22:10:14Z,4638.058611,NONE,0,10,2872,16,16.62,28.97,511,18949,0.080872715,0.534754289,1,1,['bug'],1,0,1159,3433,3240,2101,39,20,261,1238,14,0,0,76,4,2,0,1485,1,1,0,0,9.007222222,77,1
Attendize/Attendize,1070729597,0,0,2021-12-03T15:55:08Z,,None,NONE,0,10,1026,4,18.36,19.97,145,279,0.025976562,0.253125,1,1,['bug'],1,0,1159,3433,3240,2101,38,20,261,1238,14,0,0,76,4,2,0,1485,0,0,0,0,128.2816667,76,0
Attendize/Attendize,1066595839,0,0,2021-11-29T23:07:32Z,,None,CONTRIBUTOR,1,5,30,0,11.92,9.41,0,1,-0.225,0.5625,0,0,[],0,0,1157,3430,3236,2097,38,20,261,1238,14,3,2,76,4,40,32,3295,85,31,12,3,,0,0
Attendize/Attendize,1063247874,0,0,2021-11-25T07:37:02Z,,None,NONE,0,3,85,0,16.95,6.96,8,4,0.297142857,0.452142857,1,1,['feature'],0,0,1155,3428,3234,2093,38,21,261,1238,16,0,0,76,6,4,0,1893,1,1,0,0,7920.156111,62,0
Attendize/Attendize,1061498535,0,0,2021-11-23T16:42:05Z,2022-06-14T23:15:10Z,4878.551389,NONE,0,3,8,0,15.03,15.91,0,1,0,0,0,0,[],0,0,1155,3424,3230,2091,37,20,260,1238,18,0,0,76,6,1,0,3897,1,1,0,0,3103.709722,72,0
Attendize/Attendize,1058779876,0,0,2021-11-19T17:56:04Z,2021-11-22T20:33:03Z,74.61638889,NONE,0,5,48,0,9.6,12.41,4,2,0,0,1,1,['bug'],1,0,1155,3421,3227,2087,38,21,260,1238,18,0,0,76,6,3,1,1074,0,0,0,0,1.095,73,9
Attendize/Attendize,1056076871,0,0,2021-11-17T12:32:39Z,2022-06-14T23:15:33Z,5026.715,NONE,0,6,116,0,2.37,12.35,38,10,0.05,0.2375,1,1,['bug'],1,0,1154,3421,3227,2085,40,22,259,1238,18,0,0,76,6,2,0,1463,1,1,0,0,5026.715,66,0
Attendize/Attendize,1046857695,0,0,2021-11-07T21:47:11Z,,None,NONE,0,7,220,0,11.55,18.15,44,20,0.035897436,0.294230769,1,1,['bug'],1,0,1151,3415,3222,2075,45,23,260,1238,18,0,0,76,6,0,1,538,1,1,0,0,6728.158611,63,0
Attendize/Attendize,1043836088,0,0,2021-11-03T16:46:34Z,,None,CONTRIBUTOR,0,6,128,1,24.58,12.42,6,8,0.065833333,0.379166667,1,1,['feature'],0,0,1150,3412,3219,2071,47,25,260,1238,18,3,3,76,6,5,6,4155,165,22,21,2,4419.145556,66,0
