repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
Homebrew/homebrew-cask,1091347728,0,0,2021-12-30T23:49:18Z,2021-12-30T23:53:52Z,0.076111111,MEMBER,1,6,4,0,2.45,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8639,6661,18588,3587,4710,4709,29,143010,4476,2786,545,7223,574,8,40,2945,23539,4011,2876,520,,0,0
Homebrew/homebrew-cask,1091343310,0,0,2021-12-30T23:26:30Z,2021-12-30T23:35:06Z,0.143333333,CONTRIBUTOR,1,6,4,0,5.35,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8639,6661,18588,3587,4713,4712,37,143001,4467,70,59,7222,573,25,5,3923,84,61,48,33,,0,0
Homebrew/homebrew-cask,1091340926,0,0,2021-12-30T23:16:45Z,2021-12-30T23:34:45Z,0.3,CONTRIBUTOR,1,6,4,0,0.53,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8639,6661,18588,3587,4712,4711,36,143001,4468,1300,942,7222,573,20,12,2963,1174,1098,1314,949,,0,0
Homebrew/homebrew-cask,1091340486,0,0,2021-12-30T23:14:44Z,2021-12-30T23:34:27Z,0.328611111,CONTRIBUTOR,1,6,4,0,-0.46,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8639,6661,18588,3587,4711,4710,35,143001,4468,1300,942,7222,573,20,12,2963,1173,1097,1314,949,,0,0
Homebrew/homebrew-cask,1091333460,0,0,2021-12-30T22:45:54Z,2021-12-30T23:44:42Z,0.98,CONTRIBUTOR,1,3,109,6,-2.38,21.94,18,22,0.477272727,0.680909091,0,0,[],0,0,8639,6661,18588,3587,4712,4711,35,143000,4481,0,0,7222,575,49,86,4579,1,1,0,0,0.978888889,7,1
Homebrew/homebrew-cask,1091331557,0,0,2021-12-30T22:37:45Z,2021-12-30T23:43:32Z,1.096388889,CONTRIBUTOR,1,4,121,5,17.4,20.85,18,22,0.40959596,0.656060606,2,1,"['new cask', 'outdated']",0,0,8639,6661,18588,3587,4711,4710,34,143000,4481,9,9,7222,575,7,4,4321,16,16,9,9,,0,0
Homebrew/homebrew-cask,1091309022,0,0,2021-12-30T21:20:12Z,2021-12-30T22:09:20Z,0.818888889,CONTRIBUTOR,1,6,4,0,-1.39,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8639,6661,18588,3587,4711,4710,44,142989,4470,5,2,7222,575,6,3,4337,5,2,5,2,,0,0
Homebrew/homebrew-cask,1091299721,0,0,2021-12-30T20:51:38Z,2021-12-30T23:36:51Z,2.753611111,CONTRIBUTOR,1,4,121,5,0,20.85,18,22,0.40959596,0.656060606,0,0,[],0,0,8639,6661,18588,3587,4711,4710,43,142989,4470,9,9,7222,575,7,4,4321,15,15,9,9,1.829444444,10,2
Homebrew/homebrew-cask,1091299205,0,0,2021-12-30T20:50:12Z,2021-12-30T22:07:13Z,1.283611111,CONTRIBUTOR,1,6,4,0,-1.39,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8639,6661,18588,3587,4710,4709,42,142989,4470,63,52,7222,575,25,5,3922,82,59,48,33,,0,0
Homebrew/homebrew-cask,1091296651,0,0,2021-12-30T20:42:24Z,2021-12-30T22:06:21Z,1.399166667,CONTRIBUTOR,1,6,4,0,10.22,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8639,6661,18588,3587,4709,4708,41,142989,4470,49,7,7222,575,36,56,3185,53,5,53,7,,0,0
Homebrew/homebrew-cask,1091256261,0,0,2021-12-30T18:48:59Z,2021-12-30T22:10:38Z,3.360833333,CONTRIBUTOR,1,6,4,0,-1.39,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8638,6661,18588,3587,4710,4709,40,142989,4475,15,5,7222,575,9,0,1102,18,7,19,6,,0,0
Homebrew/homebrew-cask,1091222723,0,0,2021-12-30T17:22:46Z,2021-12-30T23:43:22Z,6.343333333,CONTRIBUTOR,1,6,4,0,10.22,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8638,6661,18588,3587,4713,4712,39,142989,4475,63,52,7222,575,25,5,3922,82,59,48,33,,0,0
Homebrew/homebrew-cask,1091222657,0,0,2021-12-30T17:22:35Z,2021-12-30T22:01:30Z,4.648611111,CONTRIBUTOR,1,6,4,0,6.33,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8638,6661,18588,3587,4712,4711,38,142989,4475,413,21,7222,575,82,42,3818,444,22,484,21,,0,0
Homebrew/homebrew-cask,1091221900,0,0,2021-12-30T17:20:44Z,2021-12-30T22:11:29Z,4.845833333,CONTRIBUTOR,1,6,4,0,10.22,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8638,6661,18588,3587,4712,4711,37,142989,4475,63,52,7222,575,25,5,3922,81,58,48,33,,0,0
Homebrew/homebrew-cask,1091221679,0,0,2021-12-30T17:20:09Z,2021-12-30T22:12:36Z,4.874166667,CONTRIBUTOR,1,6,4,0,8.25,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8638,6661,18588,3587,4711,4710,36,142989,4475,63,52,7222,575,25,5,3922,79,56,48,33,,0,0
Homebrew/homebrew-cask,1091219256,0,0,2021-12-30T17:14:39Z,2021-12-30T23:05:17Z,5.843888889,CONTRIBUTOR,1,6,4,0,10.22,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8638,6661,18588,3587,4710,4709,35,142989,4475,63,52,7222,575,25,5,3922,78,55,48,33,,0,0
Homebrew/homebrew-cask,1091215017,0,0,2021-12-30T17:04:49Z,2021-12-30T23:30:29Z,6.427777778,CONTRIBUTOR,1,6,4,0,-3.36,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8638,6661,18588,3587,4710,4709,34,142989,4475,63,52,7222,575,25,5,3922,78,55,48,33,,0,0
Homebrew/homebrew-cask,1091213609,0,0,2021-12-30T17:01:44Z,2021-12-30T21:59:51Z,4.968611111,CONTRIBUTOR,1,6,4,0,4.42,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8638,6661,18588,3587,4709,4708,33,142989,4475,63,52,7222,575,25,5,3922,76,53,48,33,,0,0
Homebrew/homebrew-cask,1091213413,0,0,2021-12-30T17:01:19Z,2021-12-30T21:59:27Z,4.968888889,CONTRIBUTOR,1,6,4,0,3.43,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8638,6661,18588,3587,4708,4707,32,142989,4475,63,52,7222,575,25,5,3922,75,52,48,33,,0,0
Homebrew/homebrew-cask,1091212498,0,0,2021-12-30T16:59:24Z,2021-12-30T21:57:42Z,4.971666667,CONTRIBUTOR,1,6,4,0,-0.46,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8638,6661,18588,3587,4708,4707,31,142989,4475,63,52,7222,575,25,5,3922,75,52,48,33,,0,0
Homebrew/homebrew-cask,1091205235,0,0,2021-12-30T16:43:00Z,2021-12-30T21:56:22Z,5.222777778,CONTRIBUTOR,1,6,4,0,-1.39,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8638,6661,18588,3587,4707,4706,30,142989,4475,26,1,7222,575,31,38,4118,46,1,36,1,,0,0
Homebrew/homebrew-cask,1091190493,0,0,2021-12-30T16:11:01Z,2021-12-30T16:23:35Z,0.209444444,CONTRIBUTOR,1,6,4,0,0.53,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8638,6661,18588,3587,4707,4706,30,142988,4474,62,51,7222,575,25,5,3922,73,50,48,33,,0,0
Homebrew/homebrew-cask,1091178370,0,0,2021-12-30T15:46:23Z,2021-12-30T15:57:37Z,0.187222222,CONTRIBUTOR,1,6,4,0,8.25,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8638,6661,18588,3587,4707,4706,30,142987,4473,533,41,7222,575,6,17,2837,538,26,610,44,,0,0
Homebrew/homebrew-cask,1091153918,0,0,2021-12-30T14:57:51Z,2021-12-30T15:00:39Z,0.046666667,CONTRIBUTOR,1,6,4,0,9.23,13.05,1,1,0,0,0,0,[],0,0,8637,6661,18588,3587,4710,4709,31,142986,4472,39,9,7222,575,5,0,2746,67,15,42,9,0.046666667,8,1
Homebrew/homebrew-cask,1091140025,0,0,2021-12-30T14:31:34Z,2021-12-30T14:42:16Z,0.178333333,CONTRIBUTOR,1,6,4,0,30.52,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8637,6661,18588,3587,4709,4708,31,142985,4471,1299,941,7222,575,20,12,2962,1166,1090,1314,949,,0,0
Homebrew/homebrew-cask,1091136218,0,0,2021-12-30T14:24:36Z,2021-12-30T15:07:45Z,0.719166667,CONTRIBUTOR,1,2,115,5,-1.61,22.59,18,22,0.40959596,0.656060606,0,0,[],0,0,8637,6661,18588,3587,4708,4707,30,142985,4471,39,9,7222,575,5,0,2746,65,13,42,9,0.736944444,7,1
Homebrew/homebrew-cask,1091120359,0,0,2021-12-30T13:56:14Z,2021-12-30T14:11:25Z,0.253055556,CONTRIBUTOR,1,6,4,0,11.15,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8637,6661,18588,3587,4707,4706,31,142983,4469,195,40,7222,575,4,0,1442,231,33,210,45,,0,0
Homebrew/homebrew-cask,1091112741,0,0,2021-12-30T13:41:18Z,2021-12-30T14:11:00Z,0.495,CONTRIBUTOR,1,6,4,0,-0.54,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8637,6661,18588,3587,4706,4705,30,142983,4469,12,12,7222,575,2,1,1480,20,20,13,13,,0,0
Homebrew/homebrew-cask,1091105336,0,0,2021-12-30T13:26:57Z,2021-12-30T13:34:29Z,0.125555556,CONTRIBUTOR,1,6,4,0,-2.38,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8637,6661,18588,3587,4705,4704,32,142980,4468,38,8,7222,575,5,0,2746,65,13,42,9,,0,0
Homebrew/homebrew-cask,1091104872,0,0,2021-12-30T13:26:08Z,2021-12-30T13:34:37Z,0.141388889,CONTRIBUTOR,1,6,4,0,1.52,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8637,6661,18588,3587,4704,4703,31,142980,4468,262,52,7222,575,35,10,1537,267,38,268,53,,0,0
Homebrew/homebrew-cask,1091103633,0,0,2021-12-30T13:23:52Z,2021-12-30T13:34:12Z,0.172222222,CONTRIBUTOR,1,6,4,0,3.43,13.05,1,1,0,0,2,1,"['bump-cask-pr', 'outdated']",0,0,8637,6661,18588,3587,4703,4702,30,142980,4468,262,52,7222,575,35,10,1537,266,37,268,53,,0,0
