repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
InfiniTimeOrg/InfiniTime,1091310388,0,0,2021-12-30T21:23:55Z,,None,NONE,0,6,87,3,7.18,14.65,15,11,0.385714286,0.632142857,0,0,[],0,0,92,229,1163,756,187,144,421,1444,319,0,0,86,22,70,7,4375,6,6,2,2,0.206666667,58,5
InfiniTimeOrg/InfiniTime,1091251258,0,0,2021-12-30T18:34:39Z,,None,NONE,1,8,14,0,7.9,4.94,3,2,0.125,0.458333333,0,0,[],0,0,90,228,1162,755,186,144,441,1422,297,0,0,84,20,18,56,3330,2,2,0,0,22.49027778,56,21
InfiniTimeOrg/InfiniTime,1091234823,0,0,2021-12-30T17:53:24Z,2022-01-02T13:49:55Z,67.94194444,NONE,1,6,58,1,5.27,15.42,2,8,-0.208333333,0.225,0,0,[],0,0,90,228,1162,755,185,143,440,1422,297,0,0,84,20,5,2,294,3,3,0,0,0.054722222,65,2
InfiniTimeOrg/InfiniTime,1091184741,0,0,2021-12-30T15:59:39Z,,None,COLLABORATOR,0,9,121,3,8.67,17.11,18,10,0.1,0.285,1,1,['feature request'],0,0,89,228,1162,755,184,143,442,1422,297,643,80,84,20,38,148,3406,282,282,52,12,5.330833333,57,2
InfiniTimeOrg/InfiniTime,1091018776,0,0,2021-12-30T10:36:35Z,2022-03-24T11:56:19Z,2017.328889,NONE,1,2,101,0,24.5,9.16,2,7,-0.061111111,0.466666667,0,0,[],0,0,89,227,1161,755,183,142,441,1422,297,0,0,84,20,10,1,3343,1,1,0,0,1281.161944,38,3
InfiniTimeOrg/InfiniTime,1090158807,0,0,2021-12-28T22:31:56Z,2021-12-29T15:03:53Z,16.5325,NONE,0,6,175,0,16.87,7.59,23,20,0.128571429,0.369875776,1,1,['feature request'],0,0,87,223,1157,754,190,147,442,1422,298,0,0,84,20,0,0,0,1,1,0,0,15.42166667,66,2
InfiniTimeOrg/InfiniTime,1089519495,0,0,2021-12-27T23:23:34Z,2022-01-22T12:05:28Z,612.6983333,NONE,0,2,23,0,15.8,16.1,0,2,0.2875,0.4,0,0,[],0,0,86,220,1155,753,190,146,441,1422,299,0,0,84,21,2,0,85,18,18,1,1,58.54388889,64,3
InfiniTimeOrg/InfiniTime,1088629611,0,0,2021-12-25T17:09:32Z,2021-12-25T22:04:29Z,4.915833333,NONE,0,5,59,0,9.6,5.8,0,5,0.25,0.744444444,0,0,[],0,0,82,204,1140,750,200,155,444,1422,304,0,0,84,23,1,0,45,0,0,0,0,0.970277778,68,5
InfiniTimeOrg/InfiniTime,1088597256,0,0,2021-12-25T12:47:25Z,2021-12-29T15:20:29Z,98.55111111,NONE,0,7,59,0,15.67,10.55,3,4,0.307777778,0.655555556,0,0,[],0,0,81,203,1139,750,200,155,443,1422,304,0,0,84,23,78,29,368,2,2,0,0,81.12416667,65,0
InfiniTimeOrg/InfiniTime,1088116293,0,1,2021-12-24T03:14:20Z,2022-02-20T14:43:49Z,1403.491389,CONTRIBUTOR,1,4,179,0,18.85,11.66,18,10,-0.088888889,0.272222222,0,0,[],0,0,79,199,1135,749,200,155,441,1422,306,16,9,84,23,4,6,148,73,73,11,7,161.9030556,56,0
InfiniTimeOrg/InfiniTime,1086878581,0,0,2021-12-22T14:32:30Z,2021-12-22T16:59:52Z,2.456111111,NONE,1,7,45,7,16.54,82.89,14,27,-0.066666667,0.016666667,0,0,[],0,0,78,196,1132,747,200,155,443,1420,305,0,0,84,23,7,0,1632,5,5,0,0,2.456111111,67,2
InfiniTimeOrg/InfiniTime,1086264786,0,1,2021-12-21T22:04:26Z,2021-12-22T20:34:20Z,22.49833333,CONTRIBUTOR,1,6,22,0,11.07,12.62,1,2,0,0.25,0,0,[],0,0,77,195,1131,747,200,155,442,1420,305,15,8,84,23,4,6,146,67,67,10,6,22.48638889,66,5
InfiniTimeOrg/InfiniTime,1086217469,0,0,2021-12-21T20:45:00Z,2021-12-21T20:45:15Z,0.004166667,CONTRIBUTOR,1,3,0,0,5.35,-22.21,0,0,0,0,0,0,[],0,0,77,195,1131,747,199,154,442,1419,304,0,0,84,23,13,2,2271,10,10,1,1,0.025,66,1
InfiniTimeOrg/InfiniTime,1084326420,0,0,2021-12-20T03:51:12Z,,None,NONE,0,8,34,0,12.25,12.57,10,2,0.228571429,0.535714286,1,1,['feature request'],0,0,74,193,1129,745,200,156,445,1418,306,0,0,84,23,23,3,2521,4,4,0,0,15.75555556,68,6
InfiniTimeOrg/InfiniTime,1084320001,0,0,2021-12-20T03:32:31Z,,None,NONE,0,3,43,0,5.35,12.23,10,2,0.25,0.65,1,1,['feature request'],0,0,74,193,1129,745,199,156,445,1418,306,0,0,84,23,0,6771,4968,0,0,2,0,28.4425,66,2
InfiniTimeOrg/InfiniTime,1084145702,0,0,2021-12-19T17:07:50Z,2021-12-19T19:46:24Z,2.642777778,CONTRIBUTOR,0,8,96,0,10.11,11.92,28,14,0.28,0.74,0,0,[],0,0,73,192,1128,744,201,157,445,1418,306,4,0,84,23,29,31,470,11,11,12,1,2.64,69,2
InfiniTimeOrg/InfiniTime,1084137735,0,1,2021-12-19T16:29:42Z,2022-02-12T17:44:06Z,1321.24,CONTRIBUTOR,1,7,200,1,6.56,9.61,22,16,0.063111111,0.474732804,0,0,[],0,0,73,192,1128,744,200,156,444,1418,306,0,0,84,23,16,5,3541,2,2,1,1,9.299722222,67,11
InfiniTimeOrg/InfiniTime,1083585554,0,0,2021-12-17T20:13:58Z,2021-12-22T23:05:25Z,122.8575,CONTRIBUTOR,0,4,247,0,20.3,11.07,20,21,0.108333333,0.540740741,0,0,[],0,0,72,186,1122,743,205,161,444,1418,308,14,7,84,23,4,6,142,55,55,9,5,53.42083333,67,10
InfiniTimeOrg/InfiniTime,1083577525,0,0,2021-12-17T20:01:21Z,2021-12-19T12:16:40Z,40.25527778,CONTRIBUTOR,1,8,8,0,2.1,2.1,0,0,0,0,0,0,[],0,0,72,186,1122,743,204,160,443,1418,308,83,28,84,23,13,3,3231,34,34,11,4,,0,0
InfiniTimeOrg/InfiniTime,1079110907,0,0,2021-12-13T22:49:39Z,2021-12-21T02:48:57Z,171.9883333,CONTRIBUTOR,1,4,24,0,8.7,9.61,2,2,0.5,0.5,0,0,[],0,0,72,172,1109,739,207,162,442,1418,321,14,7,84,23,4,6,138,53,53,8,4,136.0536111,67,4
InfiniTimeOrg/InfiniTime,1078442895,0,0,2021-12-13T12:00:32Z,2021-12-13T14:41:11Z,2.6775,CONTRIBUTOR,0,3,80,0,1.52,10.31,26,8,0.325,0.608333333,0,0,[],0,0,72,171,1108,738,206,161,443,1418,325,2,0,84,23,332,2490,4427,0,0,4,0,2.6775,72,2
InfiniTimeOrg/InfiniTime,1078388904,0,1,2021-12-13T11:05:00Z,2022-01-26T20:39:58Z,1065.582778,CONTRIBUTOR,1,3,34,0,5.35,10.55,5,2,0.258333333,0.395833333,0,0,[],0,0,72,171,1108,738,205,160,442,1418,325,2,2,84,23,5,3,2216,3,3,2,1,1065.583333,46,0
InfiniTimeOrg/InfiniTime,1077919141,0,0,2021-12-12T21:58:39Z,2021-12-13T10:28:10Z,12.49194444,CONTRIBUTOR,1,6,94,0,16.87,8.3,10,4,0.28125,0.408333333,0,0,[],0,0,72,170,1107,738,205,160,442,1416,323,0,0,83,22,5,3,2216,0,0,1,0,12.49194444,71,1
InfiniTimeOrg/InfiniTime,1077708833,0,1,2021-12-12T03:41:04Z,2021-12-12T16:40:05Z,12.98361111,CONTRIBUTOR,1,6,11,0,21.68,20.57,0,0,-0.2,0.05,0,0,[],0,0,72,166,1103,737,208,163,443,1415,333,14,7,83,23,4,6,136,51,51,7,3,12.98222222,71,2
InfiniTimeOrg/InfiniTime,1076765533,0,0,2021-12-10T11:52:05Z,,None,NONE,1,6,42,0,3.35,12.2,12,0,0,0,0,0,[],0,0,65,156,1094,735,212,166,445,1413,340,0,0,83,23,95,44,4319,3,3,0,0,25.88944444,72,3
InfiniTimeOrg/InfiniTime,1076418161,0,0,2021-12-10T04:31:33Z,2022-07-03T19:41:27Z,4935.165,CONTRIBUTOR,1,4,52,0,17.4,8.87,2,3,0.5,0.5,0,0,[],0,0,64,154,1092,735,211,165,444,1413,340,0,0,83,23,9,5,2697,2,2,0,0,951.0913889,49,0
InfiniTimeOrg/InfiniTime,1076003785,0,1,2021-12-09T20:51:57Z,2021-12-09T20:57:33Z,0.093333333,COLLABORATOR,1,8,0,0,6.45,-22.21,0,0,0,0,0,0,[],0,0,63,153,1091,735,213,165,444,1384,313,109,48,83,23,22,63,3017,267,267,66,12,,0,0
InfiniTimeOrg/InfiniTime,1074918524,0,0,2021-12-08T23:01:13Z,2021-12-08T23:40:35Z,0.656111111,NONE,0,6,57,1,13.97,20.09,27,10,0.13125,0.575,0,0,[],0,0,61,147,1088,734,214,166,459,1362,291,0,0,83,23,11,0,287,1,1,0,0,0.656111111,76,1
InfiniTimeOrg/InfiniTime,1071956838,0,1,2021-12-06T10:04:48Z,2021-12-09T20:29:31Z,82.41194444,CONTRIBUTOR,1,3,74,3,26.63,31.17,9,13,-0.034375,0.46875,0,0,[],0,0,60,142,1083,731,217,168,461,1362,291,79,24,83,23,13,3,3219,25,25,10,3,10.98,76,2
