repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
LibreVR/Revive,1087923596,0,0,2021-12-23T18:36:46Z,,None,NONE,0,4,61,0,2.9,8.75,3,4,0.069444444,0.541666667,1,1,['question'],1,0,368,3388,3125,2082,26,4,553,1700,13,0,0,20,3,1,0,834,1,1,0,0,,0,0
LibreVR/Revive,1084879772,0,0,2021-12-20T14:52:13Z,2021-12-22T00:11:39Z,33.32388889,CONTRIBUTOR,1,8,12,0,8.66,25.33,0,1,0.5,0.9,0,0,[],0,0,367,3386,3123,2079,25,3,555,1697,10,1,0,20,2,4,5,1796,80,7,1,0,33.32916667,164,1
LibreVR/Revive,1084152893,0,0,2021-12-19T17:42:43Z,2021-12-20T15:44:21Z,22.02722222,NONE,0,4,171,3,14.5,19.72,18,21,-0.127185133,0.411969697,1,1,['question'],1,0,367,3386,3123,2078,24,2,554,1697,10,0,0,20,2,0,0,1,4,4,1,1,8.174444444,166,3
LibreVR/Revive,1083808204,0,0,2021-12-18T11:05:27Z,,None,NONE,0,11,171,0,6.3,8.51,29,18,-0.058928571,0.566666667,1,1,['revive'],0,0,367,3386,3123,2076,23,2,554,1697,10,0,0,20,2,0,0,357,0,0,0,0,,0,0
LibreVR/Revive,1083689682,0,0,2021-12-17T23:53:09Z,2021-12-20T19:22:27Z,67.48833333,NONE,0,9,162,0,8.67,11.15,23,6,0.012037037,0.368055556,1,1,['revive'],0,0,367,3385,3122,2076,22,1,553,1697,10,0,0,20,2,0,0,0,2,2,0,0,384.7908333,162,4
LibreVR/Revive,1082837321,0,0,2021-12-17T03:07:16Z,,None,NONE,0,4,37,0,10.15,5.75,0,1,-0.121666667,0.415,0,0,[],0,0,367,3385,3122,2075,21,1,553,1697,10,0,0,20,2,9,1,3172,0,0,0,0,89.94944444,163,19
LibreVR/Revive,1070859512,0,0,2021-12-03T18:45:22Z,,None,NONE,0,7,139,0,9.87,7.32,8,8,0.024652778,0.409490741,1,1,['revive'],0,0,366,3375,3113,2062,20,1,553,1697,10,0,0,20,2,3,0,769,4,1,1,0,,0,0
LibreVR/Revive,1068045810,0,0,2021-12-01T07:11:38Z,,None,NONE,0,2,109,0,4.2,10.99,26,15,0.026388889,0.429166667,1,1,['revive'],0,0,366,3374,3112,2059,20,1,553,1697,10,0,0,20,2,3,0,0,1,1,0,0,78.15861111,163,0
LibreVR/Revive,1062060918,0,0,2021-11-24T06:46:13Z,,None,NONE,0,3,63,0,7.32,14.27,23,4,0.023214286,0.3875,1,1,['revive'],0,0,365,3365,3103,2052,20,1,553,1697,10,0,0,20,2,0,0,1962,18,0,9,0,1556.012778,157,0
LibreVR/Revive,1053647010,0,0,2021-11-15T13:08:09Z,,None,NONE,0,8,114,1,20.26,13.44,15,15,-0.00297619,0.522619048,1,1,['question'],1,0,365,3359,3098,2043,21,2,553,1697,10,0,0,20,2,0,0,0,1,1,0,0,,0,0
LibreVR/Revive,1052681482,0,0,2021-11-13T13:25:23Z,,None,NONE,0,4,120,1,2.9,9.96,27,14,0.126282051,0.402564103,1,1,['revive'],0,0,365,3359,3098,2042,20,2,553,1697,10,0,0,20,2,6,0,3527,1,1,0,0,,0,0
LibreVR/Revive,1051829806,0,0,2021-11-12T10:52:02Z,,None,NONE,0,7,116,0,10.74,8.09,18,16,-0.036538462,0.255128205,1,1,['revive'],0,0,365,3358,3097,2040,19,2,553,1697,10,0,0,20,2,1,4,3101,6,1,2,0,1427.396111,157,0
LibreVR/Revive,1051540989,0,0,2021-11-12T03:10:19Z,,None,NONE,0,25,147,0,9.9,8.59,16,7,-0.05625,0.416666667,1,1,['revive'],0,0,365,3358,3097,2040,18,2,553,1697,10,0,0,20,2,0,0,519,0,0,0,0,645.9322222,158,0
LibreVR/Revive,1046870680,0,0,2021-11-07T22:48:07Z,2022-03-11T04:22:52Z,2957.579167,NONE,0,6,206,2,12.05,16.62,34,32,-0.017777778,0.416587302,1,1,['revive'],0,0,365,3355,3096,2036,17,1,552,1697,10,0,0,20,2,0,0,162,1,1,0,0,,0,0
LibreVR/Revive,1045321415,0,0,2021-11-04T23:47:53Z,,None,NONE,0,6,59,0,15.88,12,15,4,0.128787879,0.322348485,0,0,[],0,0,365,3352,3093,2033,16,1,552,1697,10,0,0,20,2,1,0,1467,1,1,0,0,,0,0
LibreVR/Revive,1040485782,0,0,2021-10-31T14:30:18Z,,None,NONE,0,17,100,2,15.83,20.77,27,12,0.05,0.371428571,0,0,[],0,0,365,3348,3089,2029,15,1,552,1697,10,0,0,20,2,110,17,4607,1,1,0,0,21.57694444,157,2
LibreVR/Revive,1039482407,0,0,2021-10-29T11:49:21Z,,None,NONE,0,6,116,0,16.87,11.19,9,10,0.120833333,0.3175,0,0,[],0,0,364,3344,3085,2026,15,1,552,1697,10,0,0,20,2,0,0,1205,0,0,0,0,1878.373889,154,0
LibreVR/Revive,1034505511,0,0,2021-10-24T20:19:50Z,,None,NONE,0,4,46,0,2.9,5.82,1,1,-0.220833333,0.379166667,0,0,[],0,0,364,3344,3080,2022,14,1,552,1697,10,0,0,20,2,0,0,1967,15,0,3,0,3651.735278,148,0
LibreVR/Revive,1033849929,0,0,2021-10-22T18:33:41Z,,None,NONE,0,9,63,1,6.7,18.66,12,11,0.0625,0.4,1,1,['revive'],0,0,364,3344,3079,2020,13,1,552,1697,10,0,0,20,2,10,2,2198,4,0,1,0,5.565,155,3
LibreVR/Revive,1033242716,0,0,2021-10-22T06:54:54Z,,None,NONE,0,3,81,1,3.43,13.62,9,9,0.25,0.8125,0,0,[],0,0,364,3344,3079,2019,12,1,552,1697,10,0,0,20,2,1,0,663,0,0,0,0,0.618611111,155,4
LibreVR/Revive,1031963813,0,0,2021-10-21T01:22:12Z,,None,NONE,0,6,140,0,12.05,11.17,23,15,0.107738095,0.428571429,1,1,['revive'],0,0,364,3343,3078,2018,12,1,552,1697,10,0,0,20,2,0,0,204,2,1,0,0,,0,0
LibreVR/Revive,1028200292,0,0,2021-10-17T02:56:03Z,,None,NONE,0,5,172,0,11.92,7.87,29,15,-0.046568627,0.392647059,1,1,['revive'],0,0,364,3338,3068,2014,11,1,553,1687,0,0,0,19,0,0,0,0,0,0,0,0,12.33388889,157,2
LibreVR/Revive,1027368428,0,0,2021-10-15T11:55:33Z,,None,NONE,0,8,71,0,2.86,69.47,17,37,0,0,0,0,[],0,0,364,3335,3066,2012,10,1,553,1687,0,0,0,19,0,15,1,856,1,1,0,0,,0,0
LibreVR/Revive,1026423966,0,0,2021-10-14T13:48:33Z,,None,NONE,0,7,15,0,-1.74,3.01,1,1,0,0,1,1,['question'],1,0,364,3334,3065,2012,9,1,553,1687,0,0,0,19,0,0,0,1661,1,1,0,0,135.6547222,153,9
LibreVR/Revive,1024151690,0,0,2021-10-12T18:47:35Z,,None,NONE,0,6,44,0,13.97,2.34,0,0,0,0,1,1,['revive'],0,0,364,3334,3065,2010,8,1,553,1687,0,0,0,19,0,0,0,0,0,0,0,0,,0,0
LibreVR/Revive,1020457607,0,0,2021-10-07T20:59:33Z,,None,NONE,0,5,67,0,9.6,10.08,14,5,-0.243939394,0.409090909,1,1,['question'],1,0,364,3332,3060,2005,8,1,553,1687,0,0,0,19,0,0,0,0,0,0,0,0,117.7469444,154,0
LibreVR/Revive,1006921728,0,0,2021-09-25T01:28:38Z,,None,NONE,0,16,105,0,11.42,9.32,14,9,-0.105,0.435,1,1,['question'],1,0,364,3322,3050,1992,11,1,554,1687,0,0,0,19,0,1,0,521,1,1,0,0,,0,0
LibreVR/Revive,987208435,0,0,2021-09-02T22:09:41Z,,None,NONE,0,5,6,0,13.08,12.98,0,1,0,0,1,1,['question'],1,0,364,3314,3044,1970,12,1,554,1687,0,0,0,19,0,1,0,288,0,0,0,0,,0,0
LibreVR/Revive,982391147,0,0,2021-08-30T05:06:09Z,,None,NONE,0,3,46,1,18.92,12.37,10,6,-0.2,0.4,1,1,['question'],1,0,364,3312,3042,1966,12,2,554,1687,0,0,0,19,0,143,86,4568,2,2,0,0,,0,0
LibreVR/Revive,977968283,0,0,2021-08-24T10:53:06Z,2021-08-24T16:43:20Z,5.837222222,NONE,0,5,30,0,7.28,4.37,0,1,-0.141666667,0.508333333,0,0,[],0,0,364,3309,3039,1960,13,1,554,1687,0,0,0,19,0,8,4,2336,1,1,0,0,,0,0
LibreVR/Revive,977583145,0,0,2021-08-24T00:18:36Z,,None,NONE,0,8,211,4,15.15,25.63,43,30,-0.030952381,0.466774892,1,1,['revive'],0,0,364,3309,3039,1960,12,1,554,1687,0,0,0,19,0,108,28,4140,1,0,1,0,4082.794167,145,1
LibreVR/Revive,957607857,0,0,2021-08-01T23:03:24Z,,None,NONE,0,2,19,0,10,8.44,0,2,0.1,0.4,0,0,[],0,0,364,3297,3028,1938,18,2,554,1687,0,0,0,19,0,0,0,0,1,1,0,0,,0,0
LibreVR/Revive,951831552,0,0,2021-07-23T19:07:38Z,,None,NONE,0,10,141,1,11.4,12.86,29,38,-0.120284781,0.473506069,1,1,['revive'],0,0,364,3289,3021,1929,19,2,554,1687,0,0,0,19,0,0,0,0,1,1,0,0,1919.934722,149,0
LibreVR/Revive,944591378,0,0,2021-07-14T16:15:28Z,,None,NONE,0,8,137,0,11.56,7.84,10,7,0.02,0.43,1,1,['question'],1,0,363,3286,3018,1920,20,2,554,1687,0,0,0,19,0,0,0,0,1,1,0,0,979.0655556,152,0
LibreVR/Revive,936288485,0,0,2021-07-03T16:40:19Z,,None,NONE,0,9,13,0,1.53,3.23,0,1,0,0,1,1,['question'],1,0,362,3280,3013,1909,22,3,554,1687,0,0,0,19,0,0,0,1777,11,1,3,1,1242.6775,151,0
LibreVR/Revive,936139341,0,0,2021-07-03T01:22:19Z,,None,NONE,0,10,128,0,6.18,10.08,21,13,-0.145833333,0.454166667,1,1,['revive'],0,0,362,3279,3012,1908,21,3,554,1687,0,0,0,19,0,0,0,0,0,0,0,0,,0,0
LibreVR/Revive,935063797,0,0,2021-07-01T17:27:24Z,,None,NONE,0,9,14,0,10.58,7.82,0,1,0,0,1,1,['question'],1,0,362,3279,3012,1907,21,3,554,1687,0,0,0,19,0,0,0,1775,11,1,2,0,,0,0
LibreVR/Revive,934305555,0,0,2021-07-01T02:40:22Z,,None,NONE,0,7,35,0,4.07,13.25,10,4,-0.075,0.525,1,1,['question'],1,0,362,3278,3011,1906,20,3,554,1687,0,0,0,19,0,2,2,2459,7,1,1,0,444.6619444,150,0
LibreVR/Revive,926080009,0,0,2021-06-21T10:39:32Z,,None,NONE,0,5,42,0,11.92,11.24,11,3,0,0.4,1,1,['question'],1,0,361,3272,3005,1896,21,4,554,1687,1,0,0,19,1,1,0,0,1,1,0,0,6427.810833,139,0
LibreVR/Revive,914036633,0,0,2021-06-07T23:20:51Z,,None,NONE,0,10,125,0,15.46,12.06,21,10,0.169047619,0.516666667,1,1,['revive'],0,0,358,3267,3001,1883,29,5,554,1687,1,0,0,19,1,0,0,1950,0,0,0,0,74.39111111,152,1
LibreVR/Revive,909553001,0,0,2021-06-02T14:17:08Z,2021-06-02T14:48:01Z,0.514722222,NONE,1,5,8,1,25.84,21.75,0,2,0.183333333,0.4125,0,0,[],0,0,357,3265,2999,1878,30,5,554,1687,1,0,0,19,1,10,4,1937,2,2,0,0,,0,0
LibreVR/Revive,907224468,0,0,2021-05-31T08:16:31Z,,None,NONE,0,16,156,0,12.53,9.14,26,40,-0.129475309,0.461882716,1,1,['revive'],0,0,356,3265,2999,1875,29,5,554,1687,1,0,0,19,1,0,0,677,4,0,2,0,,0,0
LibreVR/Revive,904419294,0,0,2021-05-28T00:12:08Z,,None,NONE,0,7,43,0,7.37,8.05,0,3,-0.09375,0.25,0,0,[],0,0,355,3264,2998,1872,29,5,554,1687,1,0,0,19,1,0,0,286,1,1,0,0,489.9180556,150,0
LibreVR/Revive,898909847,0,0,2021-05-23T00:54:26Z,,None,NONE,0,8,197,1,6.45,11.6,25,18,-0.008954451,0.581625259,1,1,['revive'],0,0,355,3262,2995,1867,28,5,554,1687,1,0,0,19,1,1,0,0,0,0,0,0,7890.617222,137,0
LibreVR/Revive,893120907,0,0,2021-05-17T09:11:25Z,2021-05-17T09:30:06Z,0.311388889,NONE,0,8,74,0,3.55,6.01,4,9,-0.0125,0.475,0,0,[],0,0,355,3258,2991,1861,29,4,554,1687,1,0,0,19,1,0,0,244,1,1,0,0,0.326111111,150,1
LibreVR/Revive,892537164,0,0,2021-05-15T20:52:40Z,,None,NONE,0,11,36,0,2.13,1.73,2,11,-0.036458333,0.366666667,0,0,[],0,0,355,3256,2989,1860,29,4,554,1687,1,0,0,19,1,2,0,619,5,1,1,0,216.7538889,149,1
LibreVR/Revive,885155566,0,0,2021-05-10T21:31:48Z,,None,NONE,0,7,65,0,14.86,14.83,19,8,0.02,0.28,1,1,['revive'],0,0,355,3254,2986,1855,28,4,554,1687,2,0,0,19,1,0,0,571,14,0,1,0,3151.881944,144,0
LibreVR/Revive,884257050,0,0,2021-05-10T13:44:20Z,,None,NONE,0,14,242,0,14.03,8.47,11,12,-0.107037037,0.325925926,1,1,['revive'],0,0,355,3254,2986,1855,27,4,554,1687,2,0,0,19,1,0,0,632,3,0,2,0,,0,0
LibreVR/Revive,883250112,0,0,2021-05-10T03:11:09Z,,None,NONE,0,5,176,0,4.96,8.3,12,10,0.0435,0.531,1,1,['question'],1,0,355,3254,2986,1854,26,4,554,1687,2,0,0,19,1,0,0,271,0,0,0,0,1204.070833,145,0
LibreVR/Revive,882781343,0,0,2021-05-09T20:39:57Z,,None,NONE,0,3,20,0,13.12,8.21,0,2,0.05,0.65,0,0,[],0,0,355,3254,2986,1854,25,4,554,1687,2,0,0,19,1,0,0,0,0,0,0,0,,0,0
LibreVR/Revive,871073222,0,0,2021-04-29T14:24:25Z,,None,NONE,0,5,184,0,6.12,9.43,30,18,0.048358586,0.383712121,1,1,['revive'],0,0,355,3246,2975,1844,30,7,554,1687,2,0,0,19,1,43,7,1783,1,1,0,0,,0,0
LibreVR/Revive,866854028,0,0,2021-04-24T22:53:44Z,,None,NONE,0,12,78,0,3.12,9.28,13,7,0.041666667,0.569444444,1,1,['revive'],0,0,355,3242,2972,1839,29,7,554,1687,2,0,0,19,1,0,0,2490,0,0,0,0,337.2652778,144,0
LibreVR/Revive,862535354,0,0,2021-04-20T08:00:12Z,,None,NONE,0,7,275,0,10.74,9.92,17,17,0.088541667,0.495717593,1,1,['question'],1,0,355,3238,2970,1834,29,8,554,1687,15,0,0,19,1,0,0,1,1,1,0,0,114.2211111,144,0
LibreVR/Revive,860760580,0,0,2021-04-18T20:46:01Z,,None,NONE,0,4,63,0,-8.71,6.25,9,5,0.251,0.504833333,0,0,[],0,0,355,3238,2970,1833,28,8,554,1687,19,0,0,19,1,0,0,2248,1,1,0,0,0.442222222,144,2
LibreVR/Revive,855121676,0,0,2021-04-10T17:52:10Z,2021-10-17T21:05:58Z,4563.23,CONTRIBUTOR,1,5,8,0,25.84,23.95,0,2,-0.316666667,0.3,0,0,[],0,0,355,3232,2965,1825,37,11,554,1687,60,0,0,19,1,17,6,3298,2,2,0,0,,0,0
LibreVR/Revive,854077624,0,0,2021-04-09T01:57:57Z,,None,NONE,0,3,9,0,1.52,4.78,0,1,0,0,1,1,['question'],1,0,355,3229,2963,1823,36,11,554,1687,60,0,0,19,1,0,0,718,1,1,0,0,,0,0
LibreVR/Revive,852790580,0,0,2021-04-07T20:36:07Z,,None,NONE,0,3,23,0,7.32,7.72,0,1,0,0,0,0,[],0,0,355,3228,2962,1822,36,11,554,1687,60,0,0,19,1,0,0,34,6,6,3,3,11490.17083,130,0
LibreVR/Revive,849488755,0,0,2021-04-02T21:19:42Z,,None,NONE,0,10,68,0,5.02,5.72,5,7,-0.084775641,0.434134615,1,1,['revive'],0,0,355,3222,2956,1817,41,12,554,1687,71,0,0,19,1,5,2,2296,0,0,0,0,,0,0
LibreVR/Revive,844011851,0,0,2021-03-30T02:51:46Z,,None,NONE,0,3,43,0,-0.46,9.62,0,3,0.183333333,0.354487179,1,1,['question'],1,0,355,3219,2954,1813,41,12,554,1687,86,0,0,19,1,0,0,1858,1,1,0,0,278.9419444,142,0
LibreVR/Revive,843774509,0,0,2021-03-29T20:24:35Z,2021-04-15T02:34:38Z,390.1675,NONE,0,6,187,1,12.05,12.47,38,31,-0.127314815,0.47818287,0,0,[],0,0,355,3219,2954,1813,40,11,553,1686,92,0,0,19,1,0,0,1903,10,1,3,0,1.609166667,144,4
LibreVR/Revive,837597225,0,0,2021-03-22T10:56:17Z,,None,NONE,0,5,75,0,6.12,12.42,17,6,-0.113888889,0.409722222,1,1,['revive'],0,0,354,3211,2947,1805,42,13,553,1686,164,0,0,19,1,0,0,18,5,5,1,1,580.4588889,140,0
LibreVR/Revive,837446562,0,0,2021-03-22T08:12:18Z,,None,NONE,0,8,38,0,5,7.56,0,0,-0.4,0.4,1,1,['question'],1,0,354,3211,2947,1805,41,13,554,1686,165,0,0,19,1,0,0,750,1,1,0,0,277.1591667,141,0
LibreVR/Revive,837288451,0,0,2021-03-22T03:50:53Z,2021-03-22T10:52:01Z,7.018888889,NONE,0,4,31,0,2.9,4.29,0,1,-0.466666667,0.483333333,0,0,[],0,0,354,3211,2947,1805,40,12,554,1686,168,0,0,19,1,0,0,18,1,1,1,1,,0,0
LibreVR/Revive,836952937,0,0,2021-03-21T00:39:09Z,,None,NONE,0,7,113,0,14.86,12.08,24,23,-0.07,0.41,0,0,[],0,0,354,3211,2947,1804,41,13,554,1686,174,0,0,19,1,0,0,1491,1,1,0,0,12.5475,142,1
LibreVR/Revive,836912267,0,0,2021-03-20T21:14:37Z,,None,NONE,0,4,70,0,10.15,6.73,2,4,0.107671958,0.342857143,0,0,[],0,0,354,3211,2947,1804,40,13,554,1686,174,0,0,19,1,2,0,794,0,0,0,0,309.9113889,141,0
LibreVR/Revive,834793277,0,0,2021-03-18T13:13:11Z,,None,NONE,0,5,136,1,11.92,14.37,29,18,-0.015625,0.271875,0,0,[],0,0,354,3211,2947,1802,41,14,554,1686,174,0,0,19,1,1,0,1650,0,0,0,0,3.406666667,142,1
LibreVR/Revive,831451223,0,0,2021-03-15T06:03:08Z,,None,NONE,0,9,47,0,13.19,6.23,2,9,0.425,0.3875,0,0,[],0,0,354,3209,2945,1798,43,15,554,1686,175,0,0,19,2,6,1,1435,1,1,0,0,135.9722222,141,0
LibreVR/Revive,829108417,0,0,2021-03-11T12:31:33Z,,None,NONE,0,7,331,1,10.74,11.08,34,23,-0.066935484,0.381451613,1,1,['revive'],0,0,354,3207,2943,1794,43,15,554,1686,175,0,0,19,2,2,2,750,1,1,0,0,10029.92639,130,0
LibreVR/Revive,827154870,0,0,2021-03-10T05:43:04Z,,None,NONE,0,5,134,1,10.76,11.36,29,15,-0.003846154,0.328525641,1,1,['revive'],0,0,353,3205,2941,1793,42,15,554,1686,175,0,0,19,2,0,0,0,0,0,0,0,34.15972222,143,1
LibreVR/Revive,826779772,0,0,2021-03-09T23:14:13Z,2021-03-22T03:52:13Z,292.6333333,NONE,0,8,69,1,7.9,12.9,4,4,0,0.6,0,0,[],0,0,353,3205,2941,1793,41,14,553,1686,175,0,0,19,2,0,0,5,0,0,0,0,18.58666667,143,5
LibreVR/Revive,823917718,0,0,2021-03-07T13:22:32Z,,None,NONE,0,2,38,0,1.3,6.22,2,0,-0.055,0.421666667,1,1,['revive'],0,0,353,3203,2938,1791,41,15,553,1686,175,0,0,19,2,0,0,0,1,1,0,0,,0,0
LibreVR/Revive,818160710,0,0,2021-02-28T09:15:13Z,,None,NONE,0,14,131,0,4.92,9.61,30,29,-0.116503268,0.460866013,1,1,['revive'],0,0,352,3194,2930,1783,41,15,553,1686,175,0,0,19,2,0,0,0,1,1,0,0,,0,0
LibreVR/Revive,811621647,0,0,2021-02-19T02:11:43Z,,None,NONE,0,2,23,0,1.3,4.19,1,1,0.5,0.625,1,1,['question'],1,0,352,3182,2918,1774,41,16,553,1686,175,0,0,19,2,0,0,0,1,1,0,0,263.7372222,141,0
LibreVR/Revive,811407513,0,0,2021-02-18T19:49:27Z,,None,NONE,0,3,68,0,11.15,6.19,9,6,-0.066369048,0.48452381,0,0,[],0,0,352,3182,2918,1774,40,16,553,1686,175,0,0,19,2,0,0,0,1,1,0,0,,0,0
LibreVR/Revive,808227097,0,0,2021-02-15T06:35:07Z,,None,NONE,0,2,41,0,27.4,12.4,7,3,-0.266666667,0.4,1,1,['question'],1,0,352,3179,2915,1770,40,17,553,1686,175,0,0,19,2,0,0,0,0,0,0,0,,0,0
