repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
LuckSiege/PictureSelector,1090988432,0,0,2021-12-30T09:40:03Z,,None,NONE,0,4,5,0,76.85,260.16,1,2,0,0,0,0,[],0,0,2715,11648,11002,1821,76,33,538,3231,224,0,0,7,2,10,0,1574,0,0,0,0,,0,0
LuckSiege/PictureSelector,1090953894,0,0,2021-12-30T08:32:15Z,2022-03-13T14:52:41Z,1758.340556,NONE,0,1,1,0,291,557.8,0,0,0,0,0,0,[],0,0,2715,11645,10999,1821,75,32,537,3231,224,0,0,7,2,29,0,1873,2,2,0,0,,0,0
LuckSiege/PictureSelector,1090873416,0,0,2021-12-30T04:39:00Z,,None,NONE,0,1,320,1,-10.61,220.15,153,1055,0,0,0,0,[],0,0,2715,11645,10999,1820,74,32,537,3228,221,0,0,7,2,10,0,2757,0,0,0,0,,0,0
LuckSiege/PictureSelector,1090223497,0,0,2021-12-29T02:14:11Z,2022-02-16T08:47:31Z,1182.555556,NONE,0,2,5,0,1.3,10.76,0,0,0,0,0,0,[],0,0,2711,11637,10992,1819,73,31,536,3227,220,0,0,7,2,7,3,2133,0,0,0,0,1.329722222,210,1
LuckSiege/PictureSelector,1089935037,0,0,2021-12-28T14:30:57Z,2022-03-07T12:10:57Z,1653.666667,NONE,0,3,9,1,22.75,62.78,2,2,0.375,0.75,0,0,[],0,0,2709,11637,10992,1819,72,30,535,3227,220,0,0,7,2,4,0,1203,0,0,0,0,,0,0
LuckSiege/PictureSelector,1089776004,0,0,2021-12-28T10:27:13Z,,None,NONE,0,4,0,0,17.4,-22.21,0,0,0,0,0,0,[],0,0,2709,11637,10992,1819,71,30,536,3224,217,0,0,7,2,3,0,2204,2,2,1,1,,0,0
LuckSiege/PictureSelector,1089085724,0,0,2021-12-27T09:03:34Z,2021-12-27T09:20:57Z,0.289722222,NONE,0,3,4,0,45.95,65.25,0,0,0,0,0,0,[],0,0,2706,11629,10985,1818,72,29,536,3223,216,0,0,7,2,26,2,2575,10,4,3,1,0.289722222,209,1
LuckSiege/PictureSelector,1087625940,0,0,2021-12-23T11:22:31Z,2021-12-28T10:27:31Z,119.0833333,NONE,0,1,4,0,-4.81,13.05,0,0,0,0,0,0,[],0,0,2704,11616,10973,1814,76,30,535,3207,200,0,0,7,2,3,0,2199,1,1,0,0,119.095,208,0
LuckSiege/PictureSelector,1087491775,0,0,2021-12-23T08:31:21Z,2022-06-05T12:10:44Z,3939.656389,NONE,0,1,9,0,59,147.79,7,3,0,0,0,0,[],0,0,2704,11616,10973,1814,76,29,534,3206,199,0,0,7,2,11,0,1753,1,1,0,0,3939.656389,93,0
LuckSiege/PictureSelector,1086630952,0,0,2021-12-22T09:32:56Z,2022-03-14T10:19:03Z,1968.768611,NONE,0,1,1,0,76.4,99.6,0,0,0,0,0,0,[],0,0,2702,11611,10969,1813,76,28,533,3202,195,0,0,7,2,7,4,2101,1,0,0,0,,0,0
