repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
Masterminds/glide,975654232,0,0,2021-08-20T14:18:31Z,,None,NONE,0,3,236,6,18.92,23.08,44,68,0.10982906,0.478632479,0,0,[],0,0,722,8854,7999,2599,1,0,426,1093,0,0,0,69,0,660,138,4884,12,2,7,0,,0,0
Masterminds/glide,933544157,0,0,2021-06-30T10:29:23Z,,None,NONE,0,11,58,0,13.73,12.65,9,4,-0.5,0.3,0,0,[],0,0,717,8825,7973,2548,0,0,426,1093,0,0,0,69,0,1,0,411,0,0,0,0,,0,0
Masterminds/glide,839401478,0,0,2021-03-24T06:30:42Z,2021-03-24T15:29:16Z,8.976111111,NONE,0,6,20,0,0.53,5.57,0,3,-0.25,0.625,0,0,[],0,0,710,8780,7935,2450,4,1,427,1093,0,0,0,69,0,1,0,420,1,1,0,0,8.982222222,136,1
Masterminds/glide,815942657,0,0,2021-02-24T23:56:24Z,2021-03-17T18:56:33Z,499.0025,NONE,0,6,20,1,33.42,31.41,2,4,0,0,0,0,[],0,0,710,8764,7921,2422,3,0,427,1093,0,0,0,69,0,1,0,621,2,2,0,0,3852.248333,136,0
Masterminds/glide,812051333,0,0,2021-02-19T14:06:18Z,,None,NONE,1,8,12,0,7.21,13.73,4,1,0,0.25,0,0,[],0,0,710,8763,7920,2417,2,0,427,1093,0,0,0,69,0,158,12,2923,2,1,0,0,,0,0
Masterminds/glide,809945512,0,0,2021-02-17T07:50:26Z,,None,NONE,0,5,1,1,-5.61,175,0,2,0,0,0,0,[],0,0,709,8760,7917,2415,1,0,427,1093,0,0,0,69,0,109,82,2440,0,0,0,0,1.730555556,135,4
Masterminds/glide,791902897,0,0,2021-01-22T10:49:25Z,,None,NONE,0,11,98,6,4.21,23.53,21,26,-0.05,0.490909091,0,0,[],0,0,708,8743,7903,2389,0,0,427,1093,0,0,0,69,0,2,1,2282,0,0,0,0,,0,0
Masterminds/glide,707209547,0,0,2020-09-23T09:41:11Z,,None,NONE,0,6,25,0,4.28,8.98,0,3,-0.031818182,0.377272727,0,0,[],0,0,698,8651,7834,2268,1,0,428,1093,0,0,0,69,0,2,2,146,2,2,1,1,,0,0
Masterminds/glide,701927527,0,0,2020-09-15T13:24:51Z,,None,NONE,0,4,64,0,20.3,8.97,5,13,0.140170455,0.515568182,0,0,[],0,0,698,8647,7833,2260,0,0,428,1093,0,0,0,69,0,2,2,138,0,0,0,0,188.3458333,134,0
Masterminds/glide,634889956,0,0,2020-06-08T19:49:54Z,,None,NONE,0,8,113,0,0.65,8.94,3,7,0.133333333,0.726666667,0,0,[],0,0,695,8556,7752,2161,6,0,430,1093,0,0,0,69,0,27,6,1678,0,0,0,0,,0,0
Masterminds/glide,624650617,0,0,2020-05-26T07:09:46Z,,None,NONE,0,4,16,0,43.5,26.08,3,3,-0.5,0.4,0,0,[],0,0,690,8542,7740,2148,6,1,430,1093,0,0,0,69,0,4,0,138,1,1,0,0,,0,0
Masterminds/glide,622684046,0,0,2020-05-21T18:13:39Z,,None,NONE,0,9,77,0,8.03,12.3,12,5,-0.1875,0.309375,0,0,[],0,0,689,8540,7738,2143,5,1,431,1093,0,0,0,69,0,5,0,1062,3,3,1,1,11677.32222,130,0
Masterminds/glide,620958464,0,0,2020-05-19T13:02:32Z,,None,NONE,0,4,35,1,18.85,7.69,3,5,0.25,0.5125,0,0,[],0,0,689,8537,7735,2141,4,1,431,1093,0,0,0,69,0,5,0,1059,2,2,0,0,3742.006111,130,0
Masterminds/glide,614541212,0,0,2020-05-08T06:43:13Z,,None,NONE,0,3,31,1,7.32,71.68,9,16,0.35,0.55,0,0,[],0,0,688,8518,7719,2130,3,1,431,1093,0,0,0,69,0,25,0,2977,0,0,0,0,,0,0
Masterminds/glide,595761873,0,0,2020-04-07T10:26:25Z,,None,NONE,1,9,7,0,15.74,0.76,0,1,0,0,0,0,[],0,0,683,8474,7681,2099,3,2,431,1093,0,0,0,69,0,5,0,15,2,2,0,0,45.00555556,130,1
Masterminds/glide,579489270,0,0,2020-03-11T19:18:09Z,,None,NONE,0,10,66,0,10.18,10.73,1,3,0,0.341666667,0,0,[],0,0,681,8446,7660,2072,3,2,433,1093,0,0,0,69,0,27,3,1603,1,1,0,0,,0,0
Masterminds/glide,578418246,0,0,2020-03-10T08:39:27Z,2020-03-10T14:51:52Z,6.206944444,NONE,0,4,41,0,7.25,13.58,0,2,-0.2,0.05,0,0,[],0,0,681,8443,7657,2071,2,1,433,1093,0,0,0,69,0,7,0,1152,1,1,0,0,6.206944444,130,1
Masterminds/glide,554369897,0,0,2020-01-23T19:52:04Z,2020-01-23T20:03:22Z,0.188333333,NONE,0,10,113,0,10.82,9.23,0,5,-0.085714286,0.407142857,0,0,[],0,0,677,8399,7609,2024,3,1,433,1093,0,0,0,69,0,16,3,3354,0,0,0,0,0.040833333,130,2
Masterminds/glide,542728320,0,0,2019-12-27T03:22:17Z,,None,NONE,1,11,21,0,11.58,13.26,2,2,0,0,0,0,[],0,0,677,8376,7578,1996,2,1,433,1093,0,0,0,69,0,9,4,319,2,2,0,0,,0,0
Masterminds/glide,528261358,0,0,2019-11-25T18:30:32Z,,None,NONE,0,8,156,2,15.91,27.64,45,36,-0.08125,0.390625,0,0,[],0,0,676,8326,7537,1965,1,1,435,1093,0,0,0,69,0,109,12,2303,0,0,0,0,,0,0
Masterminds/glide,524716828,0,0,2019-11-19T01:28:33Z,2020-04-02T03:13:40Z,3241.751944,NONE,1,2,0,0,-1.61,-15.81,0,0,0,0,0,0,[],0,0,675,8322,7533,1958,0,0,434,1093,0,0,0,69,0,17,4,801,2,2,0,0,,0,0
Masterminds/glide,481490133,0,0,2019-08-16T07:55:15Z,2022-06-08T06:34:20Z,24646.65139,NONE,0,3,124,4,26.63,14.61,14,10,0.181601732,0.353950216,0,0,[],0,0,659,8178,7408,1864,9,7,435,1093,9,0,0,69,2,40,65,1324,1,1,0,0,24646.65139,123,0
Masterminds/glide,466318969,0,0,2019-07-10T13:45:40Z,2019-07-10T13:59:41Z,0.233611111,MEMBER,1,7,0,0,9.87,-15.81,0,0,0,0,0,0,[],0,0,654,8093,7336,1827,8,6,442,1086,2,714,1,69,2,170,480,3771,2227,1,125,0,,0,0
Masterminds/glide,465054574,0,0,2019-07-08T04:58:39Z,2019-07-10T13:47:55Z,56.82111111,NONE,1,8,69,1,13.7,18.67,16,6,-0.016666667,0.411111111,0,0,[],0,0,651,8088,7334,1824,7,5,441,1085,1,0,0,69,1,61,8,2935,1,1,0,0,56.82111111,134,1
Masterminds/glide,462678772,0,0,2019-07-01T12:10:31Z,2019-08-15T19:41:53Z,1087.522778,NONE,0,12,26,0,4.57,5.26,0,2,-0.023809524,0.613095238,0,0,[],0,0,650,8081,7329,1818,7,4,440,1085,1,0,0,69,1,67,81,1993,2,2,1,1,1087.522778,130,0
Masterminds/glide,461703507,0,0,2019-06-27T19:13:43Z,2019-07-11T15:26:34Z,332.2141667,NONE,0,7,17,2,7.37,29.87,5,3,-0.125,0.45,0,0,[],0,0,650,8077,7325,1814,7,4,439,1085,1,0,0,69,1,188,199,4166,4,1,0,0,332.2133333,130,0
Masterminds/glide,458045665,0,0,2019-06-19T14:24:21Z,2019-07-10T13:54:47Z,503.5072222,NONE,1,7,6,1,7.37,40.07,1,2,0,0,0,0,[],0,0,649,8056,7307,1806,6,3,438,1085,1,0,0,69,1,46,4,2106,2,2,0,0,503.5136111,131,0
Masterminds/glide,457990755,0,0,2019-06-19T12:42:08Z,,None,NONE,0,9,73,0,9.31,22.65,17,11,-0.066666667,0.316666667,0,0,[],0,0,649,8056,7307,1806,5,3,438,1084,0,0,0,69,0,46,4,2106,2,2,0,0,17.48888889,132,3
Masterminds/glide,455465174,0,0,2019-06-12T23:17:54Z,,None,NONE,0,5,97,5,13.08,24.28,21,33,0.13125,0.506944444,0,0,[],0,0,648,8038,7291,1799,5,3,439,1084,0,0,0,69,0,14,11,502,0,0,0,0,,0,0
Masterminds/glide,452825463,0,0,2019-06-06T04:24:31Z,2019-06-06T04:24:45Z,0.003888889,NONE,0,1,0,0,-39.61,-15.81,0,0,0,0,0,0,[],0,0,645,8029,7284,1792,4,2,440,1084,0,0,0,69,0,135,214,2889,2,1,0,0,,0,0
Masterminds/glide,452450310,0,0,2019-06-05T11:28:26Z,2020-07-01T18:51:36Z,9415.386111,NONE,0,7,29,1,9.06,32.05,5,6,0.5,0.5,0,0,[],0,0,645,8028,7283,1792,3,1,439,1084,0,0,0,69,0,67,81,1966,1,1,0,0,16254.42889,124,0
Masterminds/glide,430739425,0,0,2019-04-09T02:38:49Z,,None,NONE,0,8,299,1,4.31,24.11,65,69,-0.306818182,0.460353535,0,0,[],0,0,631,7856,7142,1734,7,3,439,1084,0,0,0,69,0,48,118,2791,3,0,1,0,,0,0
Masterminds/glide,428120567,0,0,2019-04-02T09:34:52Z,2019-04-04T07:04:04Z,45.48666667,NONE,0,17,0,0,8.95,-15.81,0,0,0,0,0,0,[],0,0,628,7841,7127,1728,6,2,439,1084,0,0,0,69,0,43,19,460,0,0,0,0,,0,0
Masterminds/glide,421880228,0,0,2019-03-17T04:16:58Z,,None,NONE,0,10,93,0,10.24,23.8,35,16,-0.08,0.76,0,0,[],0,0,623,7791,7085,1711,7,2,439,1084,0,0,0,69,0,35,52,3154,1,1,0,0,,0,0
Masterminds/glide,412869419,0,0,2019-02-21T11:07:27Z,,None,NONE,1,5,6,0,4.96,12.05,0,0,0,0,0,0,[],0,0,618,7725,7025,1688,8,2,439,1084,0,0,0,69,0,37,2,1729,2,2,0,0,1772.425833,133,0
Masterminds/glide,411732586,0,0,2019-02-19T03:49:53Z,,None,NONE,0,3,52,0,3.43,16.13,13,8,-0.5,0.45,0,0,[],0,0,617,7719,7019,1685,7,2,439,1084,0,0,0,69,0,2,0,0,1,1,0,0,31.11111111,134,1
Masterminds/glide,406638697,0,0,2019-02-05T05:44:21Z,2019-02-07T01:02:44Z,43.30638889,NONE,1,11,52,5,13.15,38.25,9,9,0.083333333,0.241666667,0,0,[],0,0,616,7681,6983,1671,11,3,439,1084,0,0,0,69,0,1588,14,67,2,2,0,0,,0,0
