repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
PyGithub/PyGithub,1091189391,0,0,2021/12/30 16:08,2022/4/28 15:31,2855.375278,NONE,0,8,21,3,18.85,66.39,8,9,0.3,0.5125,0,0,[],0,0,1648,4657,9574,3596,65,60,269,1996,0,0,0,255,0,2,0,2458,1,1,1,1,2561.520278,15,0
PyGithub/PyGithub,1091184046,0,0,2021/12/30 15:58,2021/12/31 7:19,15.36277778,NONE,0,5,0,0,-4.33,-22.21,0,0,0,0,0,0,[],0,0,1648,4657,9574,3596,64,59,268,1996,0,0,0,255,0,23,47,221,0,0,1,1,,0,0
PyGithub/PyGithub,1087746646,0,0,2021/12/23 14:06,2022/1/5 17:10,315.0661111,NONE,0,11,66,1,1.02,10.55,2,7,0.08125,0.435416667,0,0,[],0,0,1645,4641,9550,3589,67,60,267,1996,0,0,0,255,0,49,275,4803,1,1,1,1,298.0436111,57,0
PyGithub/PyGithub,1087527571,0,0,2021/12/23 9:20,2022/4/28 1:30,3016.168333,NONE,1,4,3,0,7.25,-0.46,0,0,0.136363636,0.454545455,0,0,[],0,0,1645,4641,9550,3588,67,60,266,1996,0,0,0,255,0,3,3,2529,6,5,3,3,2736.302222,17,0
PyGithub/PyGithub,1086237577,0,0,2021/12/21 21:17,2022/4/28 15:31,3066.231667,NONE,0,5,74,3,14.24,22.72,12,12,-0.3125,0.1,0,0,[],0,0,1645,4635,9540,3587,67,59,266,1996,0,0,0,255,0,50,6,1691,1,1,1,1,2772.376667,15,0
PyGithub/PyGithub,1085678308,0,0,2021/12/21 10:28,2022/4/28 23:30,3085.039444,NONE,0,7,137,3,14.86,16.17,12,17,0.095238095,0.203571429,0,0,[],0,0,1645,4635,9540,3586,66,58,265,1996,0,0,0,255,0,38,30,3523,0,0,1,1,823.9513889,17,0
PyGithub/PyGithub,1085340070,0,0,2021/12/21 1:15,2022/4/28 15:31,3086.263611,NONE,0,7,66,2,38.87,32.37,12,12,0.1,1,0,0,[],0,0,1645,4631,9532,3586,65,57,264,1996,0,0,0,255,0,34,21,2404,0,0,1,1,2792.409722,13,0
PyGithub/PyGithub,1082553605,0,0,2021/12/16 19:07,2022/4/28 15:31,3188.39,NONE,0,13,434,0,19.76,51.78,91,90,-0.028125,0.390625,0,0,[],0,0,1645,4626,9524,3582,68,60,266,1996,0,0,0,255,0,3,0,122,0,0,1,1,2894.536389,13,0
PyGithub/PyGithub,1082028285,0,0,2021/12/16 10:35,2021/12/17 5:48,19.21583333,NONE,0,3,10,0,22.75,30.94,9,5,0,0,0,0,[],0,0,1644,4625,9522,3581,67,59,265,1996,0,0,0,255,0,52,22,3632,0,0,1,1,19.21583333,53,1
PyGithub/PyGithub,1081417656,0,0,2021/12/15 19:24,2022/4/28 1:30,3198.111667,NONE,1,10,61,0,16.04,9.92,5,2,-0.112727273,0.490909091,0,0,[],0,0,1644,4625,9522,3581,66,58,264,1996,0,0,0,255,0,60,28,3992,1,1,1,1,617.4105556,15,0
PyGithub/PyGithub,1077662310,0,0,2021/12/11 22:10,,None,NONE,0,3,65,2,76.92,55.72,16,20,0.125,0.229166667,0,0,[],0,0,1641,4620,9512,3577,69,62,265,1996,0,0,0,255,0,297,175,3247,18,1,7,1,1578.131111,14,0
PyGithub/PyGithub,1074971473,0,0,2021/12/9 0:44,2022/4/28 15:31,3374.769722,NONE,0,15,528,6,18.84,32.42,123,53,0.23,0.471111111,0,0,[],0,0,1640,4615,9504,3574,68,61,264,1996,0,0,0,255,0,18,3,2724,1,1,1,1,3080.916944,12,0
PyGithub/PyGithub,1071735906,0,0,2021/12/6 5:10,2021/12/6 5:32,0.367222222,NONE,1,2,29,0,39,5.83,2,3,0.1,0.2,0,0,[],0,0,1636,4611,9496,3571,69,61,264,1996,0,0,0,255,0,21,8,2467,2,2,1,1,0.367222222,50,1
