repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
Shopify/shopify_app,1091049171,0,0,2021-12-30T11:34:47Z,2022-01-28T10:40:37Z,695.0972222,NONE,0,5,101,0,-0.85,8.51,17,10,0.192857143,0.456746032,1,1,['feature request'],0,0,645,1408,1456,4829,20,18,214,1697,7,0,0,181,5,51,13,3424,1,1,0,0,,0,0
Shopify/shopify_app,1085246318,0,0,2021-12-20T22:10:19Z,2021-12-21T17:05:50Z,18.92527778,CONTRIBUTOR,1,15,70,1,13.04,10.78,8,10,-0.108333333,0.525,0,0,[],0,0,642,1405,1453,4820,21,18,215,1694,4,0,0,179,3,0,0,174,3,3,0,0,,0,0
Shopify/shopify_app,1078659788,0,0,2021-12-13T15:21:14Z,2021-12-17T19:18:15Z,99.95027778,NONE,0,4,91,0,18.85,6.6,7,7,0.221875,0.454861111,1,1,['bug'],1,0,640,1404,1452,4813,20,17,215,1694,4,0,0,179,3,3,0,678,15,1,1,0,24.57222222,66,1
Shopify/shopify_app,1071277136,0,0,2021-12-04T19:19:50Z,2022-11-25T02:07:30Z,8526.794444,NONE,0,3,97,0,13.12,17.95,11,16,0.2,0.5,1,1,['bug'],1,0,639,1403,1451,4804,21,17,214,1694,4,0,0,179,3,95,31,4474,270,14,62,4,8166.945833,11,0
Shopify/shopify_app,1071017225,1,0,2021-12-03T22:25:08Z,2022-01-24T22:49:42Z,1248.409444,NONE,0,9,22,0,3.44,1.03,0,4,-0.03125,0.425,1,1,['bug'],1,0,639,1402,1450,4803,22,18,213,1694,4,0,0,179,3,95,31,4473,268,12,61,3,1177.373611,58,0
Shopify/shopify_app,1069024254,0,0,2021-12-02T01:13:00Z,,None,NONE,0,7,23,1,-0.87,29.34,5,5,0,0,1,1,['bug'],1,0,639,1402,1449,4801,21,18,213,1694,4,0,0,179,3,95,31,4471,268,12,60,2,7043.883056,24,0
Shopify/shopify_app,1048090760,0,0,2021-11-09T01:31:17Z,2022-10-06T02:17:27Z,7944.769444,NONE,0,8,387,0,19.5,13.74,34,32,0.133827404,0.447299078,0,0,[],0,0,638,1397,1441,4778,27,24,212,1694,4,0,0,179,3,8,0,3728,2,2,0,0,22.64111111,63,2
Shopify/shopify_app,1045164493,0,0,2021-11-04T20:20:00Z,2022-01-07T20:13:14Z,1535.887222,CONTRIBUTOR,1,6,580,16,3.43,27.7,125,103,0.065731838,0.38971688,2,1,"['dependencies', 'javascript']",0,0,638,1393,1438,4774,28,25,212,1694,4,10,0,179,3,0,0,932,70,3,26,3,1535.886944,58,0
Shopify/shopify_app,1044950213,1,0,2021-11-04T16:24:47Z,2021-11-04T20:18:14Z,3.890833333,CONTRIBUTOR,1,3,219,7,15.03,28.28,63,39,0.08015873,0.45952381,0,0,[],0,0,638,1393,1438,4774,27,24,212,1693,3,0,0,178,2,1,17,1910,1,1,0,0,3.888055556,64,1
Shopify/shopify_app,1043798664,0,0,2021-11-03T16:15:34Z,2021-12-22T17:42:56Z,1177.456111,NONE,0,5,151,7,9.6,24.09,29,23,0.054040404,0.383838384,1,1,['bug'],1,0,638,1391,1436,4773,26,23,212,1693,3,0,0,178,2,17,16,3782,0,0,0,0,1177.456111,61,0
