repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
ThinkUpLLC/ThinkUp,1049751211,0,0,2021-11-10T12:15:33Z,,None,NONE,0,4,167,0,30.45,31.21,69,14,-0.45,0.6,0,0,[],0,0,222,532,3299,4539,0,0,183,2866,0,0,0,95,0,17,12,2492,0,0,0,0,22.51944444,92,1
ThinkUpLLC/ThinkUp,253187452,0,0,2017-08-27T20:27:47Z,,None,NONE,0,14,25,1,7.8,24.91,3,8,0,0,0,0,[],0,0,185,420,3197,3004,0,0,186,2866,0,0,0,95,0,71,32,2482,1,1,0,0,1093.068056,93,0
ThinkUpLLC/ThinkUp,208159840,0,0,2017-02-16T15:47:38Z,,None,NONE,0,5,87,2,27,26.33,12,7,-0.20625,0.51875,0,0,[],0,0,173,379,3164,2811,1,0,186,2866,0,0,0,95,0,143,21,1284,1,1,0,0,145.4527778,93,0
ThinkUpLLC/ThinkUp,198268078,0,0,2017-01-01T13:57:54Z,,None,CONTRIBUTOR,1,6,0,0,1.38,-15.81,0,0,0,0,0,0,[],0,0,166,359,3150,2765,0,0,195,2866,0,1,0,95,0,5,40,2807,0,0,6,0,,0,0
ThinkUpLLC/ThinkUp,160701426,0,0,2016-06-16T16:14:30Z,2016-06-16T16:14:41Z,0.003055556,MEMBER,1,6,0,0,5.27,-15.81,0,0,0,0,0,0,[],0,0,121,290,3095,2566,3,0,197,2865,1,90,1,95,1,26,250,2590,43,1,221,0,,0,0
ThinkUpLLC/ThinkUp,154748407,0,0,2016-05-13T16:11:44Z,,None,NONE,0,10,53,0,11.4,19.72,3,8,0.5,0.9,0,0,[],0,0,114,274,3081,2532,3,0,197,2864,0,0,0,95,0,47,18,1820,1,1,0,0,,0,0
ThinkUpLLC/ThinkUp,148040082,0,0,2016-04-13T12:07:57Z,,None,NONE,0,5,30,0,17.72,5.5,4,2,-0.125,0.5,0,0,[],0,0,106,256,3069,2502,4,1,197,2864,3,0,0,95,1,3,0,1770,1,1,0,0,,0,0
ThinkUpLLC/ThinkUp,148031375,0,0,2016-04-13T11:36:02Z,,None,NONE,0,11,31,1,3.17,25.24,1,5,0,0.5,0,0,[],0,0,106,256,3069,2502,3,1,197,2864,3,0,0,95,1,3,0,1770,0,0,0,0,,0,0
ThinkUpLLC/ThinkUp,136734033,1,0,2016-02-26T15:54:09Z,,None,MEMBER,0,3,0,0,7.32,-15.81,0,0,0,0,0,0,[],0,0,93,231,3048,2455,9,6,197,2864,59,1944,55,95,2,13,2266,2548,423,73,602,0,,0,0
ThinkUpLLC/ThinkUp,128919266,0,0,2016-01-26T19:33:04Z,,None,NONE,0,6,116,0,16.95,20.42,19,42,-0.018470418,0.504256854,0,0,[],0,0,88,208,3032,2425,10,7,197,2863,61,0,0,95,2,21,1,1958,0,0,1,0,,0,0
ThinkUpLLC/ThinkUp,127570283,0,0,2016-01-20T00:02:11Z,2016-01-20T14:50:06Z,14.79861111,NONE,0,2,183,5,15.8,14.43,13,21,0.155357143,0.471230159,0,0,[],0,0,87,201,3026,2418,9,6,197,2863,61,0,0,95,2,1,0,1,0,0,0,0,14.79833333,92,1
ThinkUpLLC/ThinkUp,125765443,0,0,2016-01-09T15:43:48Z,2019-11-03T01:46:40Z,33442.04778,NONE,0,3,23,1,3.43,17.32,3,2,0,1,0,0,[],0,0,82,196,3022,2407,10,5,196,2861,59,0,0,95,2,155,72,1812,0,0,0,0,33442.04778,86,0
