repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
adobe/react-spectrum,1090861643,0,0,2021/12/30 4:06,2022/1/5 4:07,144.015,NONE,0,7,188,2,17.03,15.12,52,25,0.285554847,0.447193878,0,0,[],0,0,496,6247,5828,838,266,214,516,3553,0,0,0,194,0,8,0,669,6,6,2,2,132.5030556,102,0
adobe/react-spectrum,1089828140,0,0,2021/12/28 11:33,2022/1/18 3:28,495.9211111,NONE,0,7,183,3,18.97,17.55,54,26,0.246041667,0.415,0,0,[],0,0,495,6242,5823,836,284,225,515,3553,0,0,0,194,0,8,0,667,4,4,1,1,172.1586111,102,0
adobe/react-spectrum,1089523433,0,0,2021/12/27 23:38,2021/12/28 0:15,0.602777778,NONE,0,4,76,3,7.25,27.27,25,20,0.15,0.3875,0,0,[],0,0,495,6241,5822,836,283,224,515,3553,0,0,0,194,0,31,5,2382,2,2,2,2,0.599166667,102,2
adobe/react-spectrum,1089508331,0,0,2021/12/27 22:50,2022/1/6 23:46,240.9263889,NONE,0,11,79,3,7.93,15.07,18,9,0.061111111,0.333333333,0,0,[],0,0,495,6241,5822,835,282,223,514,3553,0,0,0,194,0,31,5,2382,0,0,1,1,0.320555556,102,1
adobe/react-spectrum,1087994210,0,0,2021/12/23 21:12,2021/12/24 0:26,3.231111111,COLLABORATOR,1,5,217,3,13.08,13.45,24,18,0.082284382,0.565497579,0,0,[],0,0,493,6222,5804,831,286,224,519,3553,0,446,0,194,0,27,12,3921,5087,805,419,38,0.066388889,103,2
adobe/react-spectrum,1087973798,0,0,2021/12/23 20:23,,None,MEMBER,1,5,21,0,31.64,5.02,0,1,-0.1,0.2,0,0,[],0,0,493,6222,5804,831,285,224,528,3553,0,1079,0,194,0,204,2615,4890,3917,401,432,22,,0,0
adobe/react-spectrum,1087941487,0,0,2021/12/23 19:14,2021/12/23 19:48,0.573611111,MEMBER,1,7,65,2,9.87,20.69,15,8,0.268181818,0.677272727,0,0,[],0,0,493,6222,5804,831,284,223,532,3553,0,109,0,194,0,10,11,4205,945,208,117,18,0.100555556,105,1
adobe/react-spectrum,1087871258,0,0,2021/12/23 17:01,2021/12/23 21:20,4.320833333,MEMBER,1,3,101,3,20.83,19.13,2,10,0.046875,0.427083333,0,0,[],0,0,493,6222,5804,831,283,222,533,3553,0,1079,0,194,0,204,2615,4890,3905,389,431,21,0.478333333,105,1
adobe/react-spectrum,1087263910,0,0,2021/12/22 23:53,2021/12/23 0:01,0.129444444,MEMBER,1,3,0,0,7.32,-22.21,0,0,0,0,0,0,[],0,0,493,6219,5801,831,283,222,534,3553,0,1079,0,194,0,204,2615,4889,3903,392,430,20,0.1075,106,1
adobe/react-spectrum,1087260681,0,0,2021/12/22 23:43,2021/12/23 17:23,17.67472222,MEMBER,1,8,84,2,19.5,19.28,17,11,0.042424242,0.39280303,0,0,[],0,0,493,6219,5801,831,282,221,533,3553,0,109,0,194,0,10,11,4204,942,207,116,17,17.67222222,105,1
adobe/react-spectrum,1087195385,0,0,2021/12/22 21:16,2021/12/23 19:18,22.02083333,COLLABORATOR,1,6,127,2,14.95,15,19,15,0.146266234,0.603030303,0,0,[],0,0,493,6218,5801,830,283,222,533,3553,0,446,0,194,0,27,12,3920,5048,777,418,37,0.319722222,107,2
adobe/react-spectrum,1086640632,0,0,2021/12/22 9:44,2021/12/23 17:00,31.265,NONE,0,5,182,4,21.2,20.34,53,30,0.33125,0.546428571,0,0,[],0,0,493,6216,5799,830,284,223,541,3553,0,0,0,194,0,2,0,1125,1,1,1,1,5.7475,110,8
adobe/react-spectrum,1086089932,0,0,2021/12/21 18:11,2021/12/21 23:03,4.878611111,COLLABORATOR,1,4,122,2,33.35,16.34,18,12,0.137121212,0.576515152,0,0,[],0,0,493,6211,5794,829,288,227,541,3553,0,6,0,194,0,5,0,1973,36,32,2,2,0.028888889,111,3
adobe/react-spectrum,1085219797,0,0,2021/12/20 21:29,2021/12/22 23:22,49.88083333,MEMBER,1,6,178,1,13.97,8.84,14,21,0.123181818,0.430050505,0,0,[],0,0,493,6208,5791,828,290,229,541,3553,0,1079,0,194,0,204,2615,4887,3851,360,429,19,0.014722222,112,7
adobe/react-spectrum,1085082762,0,0,2021/12/20 18:25,,None,NONE,0,7,311,4,7.37,14.02,54,43,0.28822683,0.52114817,0,0,[],0,0,493,6208,5791,828,289,229,543,3553,0,0,0,194,0,19,7,2636,1,1,1,1,46.03361111,109,1
adobe/react-spectrum,1083982174,0,0,2021/12/19 1:22,,None,NONE,1,3,70,2,15.03,20.56,17,11,0.380681818,0.677272727,0,0,[],0,0,492,6200,5783,827,296,236,543,3553,0,0,0,194,0,182,28,2897,1,1,1,1,64.35166667,110,1
adobe/react-spectrum,1083433004,0,0,2021/12/17 16:39,,None,MEMBER,1,9,300,10,15.74,28.86,119,45,0.094715571,0.428950216,0,0,[],0,0,490,6196,5779,825,295,236,545,3553,0,2,0,194,0,969,177,4203,13,6,2,2,,0,0
adobe/react-spectrum,1082829024,0,0,2021/12/17 2:49,2021/12/20 20:42,89.89111111,MEMBER,1,6,174,4,8.17,32.51,50,48,0.108766234,0.464935065,0,0,[],0,0,490,6190,5773,825,295,236,544,3553,0,2,0,194,0,969,177,4203,9,2,1,1,1179.899167,88,0
adobe/react-spectrum,1082781951,0,0,2021/12/17 1:13,2021/12/17 2:19,1.099722222,COLLABORATOR,1,5,70,2,-3.17,20.56,17,11,0.380681818,0.677272727,0,0,[],0,0,489,6190,5773,825,294,235,545,3553,0,446,0,194,0,27,12,3915,4981,761,417,41,0.218611111,110,2
adobe/react-spectrum,1082675043,0,0,2021/12/16 21:54,2021/12/17 0:42,2.7925,COLLABORATOR,1,4,0,0,11.6,-22.21,0,0,0,0,0,0,[],0,0,489,6190,5773,824,296,237,545,3553,0,201,0,194,0,3,17,2537,1761,159,96,6,0.250555556,110,4
adobe/react-spectrum,1082450613,0,0,2021/12/16 17:12,2021/12/17 21:44,28.52777778,COLLABORATOR,1,7,69,2,12.1,20.56,17,9,0.318181818,0.677272727,0,0,[],0,0,488,6188,5771,824,295,236,545,3553,0,189,0,194,0,50,15,4412,586,231,98,32,0.213888889,112,3
adobe/react-spectrum,1082370312,0,0,2021/12/16 15:56,2021/12/17 21:44,29.80166667,COLLABORATOR,0,8,192,5,13.05,19.64,50,31,0.246542508,0.431228956,0,0,[],0,0,488,6188,5771,824,294,235,544,3553,0,189,0,194,0,50,15,4412,584,229,97,31,4.734722222,110,1
adobe/react-spectrum,1081733255,0,0,2021/12/16 3:33,2021/12/16 19:04,15.51944444,CONTRIBUTOR,1,11,11,0,15.24,15.24,1,1,0.2,0.333333333,0,0,[],0,0,487,6182,5765,824,293,234,543,3553,0,2,0,194,0,2,0,2918,1,1,1,1,,0,0
adobe/react-spectrum,1081476359,0,0,2021/12/15 20:16,2021/12/15 21:38,1.36,COLLABORATOR,1,5,5,2,9.6,74.56,3,2,0.375,0.75,0,0,[],0,0,484,6178,5761,823,297,238,547,3553,0,201,0,194,0,3,17,2536,1755,153,95,5,0.376388889,111,1
adobe/react-spectrum,1081250084,0,0,2021/12/15 16:36,,None,NONE,0,8,137,1,10.8,13.56,21,17,0.165625,0.369444444,0,0,[],0,0,483,6173,5757,823,298,239,551,3553,0,0,0,194,0,19,3,3224,1,1,1,1,649.1944444,97,0
