repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
alibaba/BizCharts,1089769967,0,0,2021/12/28 10:18,,None,NONE,0,3,22,1,18.92,34.35,6,9,-0.75,1,0,0,[],0,0,710,5620,5733,1509,25,10,337,989,0,0,0,66,0,30,15,2108,1,1,1,1,,0,0
alibaba/BizCharts,1088290086,0,0,2021/12/24 10:07,,None,NONE,0,1,14,2,-4.81,69.94,5,5,0,0,0,0,[],0,0,710,5617,5730,1505,24,10,337,989,0,0,0,66,0,15,1,1919,2,2,2,2,,0,0
alibaba/BizCharts,1088247596,0,0,2021/12/24 8:48,,None,NONE,0,1,7,1,82.2,105.97,3,5,-0.9375,1,0,0,[],0,0,710,5617,5730,1505,23,10,337,989,0,0,0,66,0,16,0,795,1,1,1,1,,0,0
alibaba/BizCharts,1088110933,0,0,2021/12/24 2:59,,None,NONE,0,1,2,1,111.2,305.8,1,5,0,0,0,0,[],0,0,710,5617,5730,1504,22,10,337,989,0,0,0,66,0,10,0,1849,2,1,1,1,,0,0
alibaba/BizCharts,1087326069,0,0,2021/12/23 2:47,,None,NONE,0,1,15,2,99.6,60.23,9,7,0,0,0,0,[],0,0,709,5617,5730,1503,22,11,337,989,0,0,0,66,0,1,0,1750,1,1,1,1,,0,0
alibaba/BizCharts,1084645970,0,0,2021/12/20 10:57,,None,NONE,0,1,13,1,105.4,30.16,4,2,0,0,0,0,[],0,0,709,5616,5729,1501,23,12,337,989,0,0,0,66,0,12,2,717,1,1,1,1,,0,0
alibaba/BizCharts,1080968913,0,0,2021/12/15 12:15,,None,NONE,0,1,6,0,244.6,87.53,3,4,0,0,0,0,[],0,0,709,5612,5725,1496,26,13,337,989,0,0,0,66,0,31,19,1314,0,0,1,1,,0,0
alibaba/BizCharts,1074000155,0,0,2021/12/8 4:29,2021/12/9 2:36,22.11416667,NONE,0,1,14,2,76.4,60,6,7,0,0,0,0,[],0,0,708,5603,5717,1488,37,17,337,989,0,0,0,66,0,28,6,2393,0,0,1,1,0.0075,151,2
alibaba/BizCharts,1070168440,0,0,2021/12/3 2:58,,None,NONE,0,1,17,1,99.6,45.49,13,5,0,0,0,0,[],0,0,707,5596,5711,1483,41,19,337,989,0,0,0,66,0,10,0,1059,1,1,1,1,,0,0
alibaba/BizCharts,1065540216,0,0,2021/11/29 2:29,,None,NONE,0,1,4,0,30,50.75,2,1,0,0,0,0,[],0,0,706,5594,5709,1479,41,19,337,989,0,0,0,66,0,15,1,1893,1,1,1,1,,0,0
alibaba/BizCharts,1054378742,0,0,2021/11/16 2:55,2021/11/16 6:09,3.233055556,NONE,0,2,53,2,1.3,49.07,11,2,0,0,0,0,[],0,0,706,5583,5700,1466,43,19,337,989,0,0,0,66,0,23,0,165,1,1,1,1,,0,0
alibaba/BizCharts,1044305063,0,0,2021/11/4 2:40,,None,NONE,0,8,24,0,13.01,16.63,21,4,0,0,0,0,[],0,0,706,5565,5683,1454,47,22,338,989,0,0,0,66,0,23,2,534,0,0,1,1,95.65361111,151,0
alibaba/BizCharts,1040909463,0,0,2021/11/1 8:27,2021/11/1 9:16,0.805,NONE,1,1,6,0,6.8,10.08,2,7,0,0,0,0,[],0,0,706,5563,5681,1451,46,21,338,989,0,0,0,66,0,48,273,3736,3,3,1,1,0.000833333,151,1
alibaba/BizCharts,1039136044,0,0,2021/10/29 3:38,2021/11/11 8:43,317.08,NONE,0,1,11,1,128.6,81.71,7,6,0,0,0,0,[],0,0,705,5561,5678,1448,45,20,337,989,0,0,0,66,0,7,0,1304,0,0,1,1,,0,0
alibaba/BizCharts,1037033599,0,0,2021/10/27 6:39,,None,NONE,0,3,21,3,5.35,65,16,12,0,0,0,0,[],0,0,705,5561,5677,1446,48,20,337,989,0,0,0,66,0,232,78,2752,0,0,1,1,,0,0
alibaba/BizCharts,1036909671,0,0,2021/10/27 2:35,,None,NONE,0,5,34,2,20.04,27.44,12,15,0,0.5,0,0,[],0,0,705,5561,5677,1446,47,20,337,989,0,0,0,66,0,87,20,3397,0,0,1,1,,0,0
