repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
avast/retdec,1089366953,0,0,2021-12-27T17:09:38Z,,None,CONTRIBUTOR,0,8,0,0,18.81,-22.21,0,0,0,0,0,0,[],0,0,311,1907,6244,1476,18,12,417,2001,20,1,1,47,6,234,62,1026,4,3,0,0,432.9763889,178,0
avast/retdec,1089357092,1,0,2021-12-27T16:49:16Z,2021-12-31T14:01:12Z,93.19888889,CONTRIBUTOR,1,4,0,0,2.9,-22.21,0,0,0,0,1,1,['C-config'],0,0,311,1907,6244,1476,17,11,416,2001,20,1,1,47,6,234,62,1026,2,1,0,0,,0,0
avast/retdec,1087437544,0,0,2021-12-23T07:04:38Z,2021-12-25T13:40:15Z,54.59361111,NONE,0,7,297,0,8.24,16.47,48,46,-0.063333333,0.384761905,0,0,[],0,0,308,1902,6239,1471,20,13,416,2000,19,0,0,46,5,11,0,2061,1,1,0,0,54.59361111,179,1
avast/retdec,1072112888,0,0,2021-12-06T12:48:42Z,,None,NONE,0,6,18,0,23.65,7.04,1,2,0,0.3,0,0,[],0,0,306,1881,6221,1455,30,17,416,2000,23,0,0,46,5,13,239,3612,1,1,0,0,51.135,179,2
avast/retdec,1070031069,1,0,2021-12-02T22:17:45Z,2022-04-28T05:46:24Z,3511.4775,CONTRIBUTOR,0,5,125,0,13.08,36.82,24,10,0.095238095,0.614285714,0,0,[],0,0,306,1879,6219,1451,33,17,415,2000,23,3,2,46,5,205,123,4748,23,14,8,5,3377.715556,174,0
avast/retdec,1065090154,0,0,2021-11-27T17:18:55Z,,None,NONE,0,7,15,0,14.04,7.24,0,1,0,1,1,1,['Q-question'],1,0,306,1868,6208,1446,37,18,415,2000,31,0,0,46,5,85,8,1947,0,0,0,0,,0,0
avast/retdec,1064244022,0,0,2021-11-26T09:08:11Z,2022-01-14T10:18:54Z,1177.178611,CONTRIBUTOR,1,5,0,0,24.68,-22.21,0,0,0,0,0,0,[],0,0,306,1866,6206,1445,36,17,414,2000,31,3,2,46,5,205,123,4741,22,13,7,4,,0,0
avast/retdec,1063904578,0,0,2021-11-25T20:28:15Z,2022-01-14T18:23:42Z,1197.924167,NONE,0,4,72,2,30.45,62.99,25,11,0.007272727,0.698686869,0,0,[],0,0,306,1865,6205,1444,35,16,413,2000,31,0,0,46,5,24,1,1387,0,0,0,0,1197.924167,175,0
avast/retdec,1046853152,1,0,2021-11-07T21:23:26Z,2021-11-15T10:48:14Z,181.4133333,CONTRIBUTOR,1,5,9,1,2.64,25.43,3,2,-0.05,0.2,0,0,[],0,0,299,1830,6174,1426,43,21,415,1995,37,2,2,46,6,205,123,4723,15,15,5,5,11.9875,176,6
avast/retdec,1046771336,0,0,2021-11-07T15:10:31Z,2021-11-15T10:48:14Z,187.6286111,CONTRIBUTOR,0,3,60,0,3.43,40.98,12,15,-0.25,0.15,0,0,[],0,0,299,1829,6173,1426,42,20,414,1995,37,2,2,46,6,205,123,4723,13,13,5,5,,0,0
