repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
barteksc/AndroidPdfViewer,1091278131,0,0,2021-12-30T19:48:56Z,,None,NONE,0,5,9,1,3.8,69.86,5,5,0,0,0,0,[],0,0,1653,7147,6873,2036,11,2,640,129,0,0,0,14,0,124,52,4128,2,1,1,0,6500.156944,187,0
barteksc/AndroidPdfViewer,1082519889,0,0,2021-12-16T18:30:48Z,,None,NONE,0,7,11,1,15.67,45.28,1,7,0,0,0,0,[],0,0,1642,7116,6845,2022,15,2,640,129,0,0,0,14,0,19,0,1454,1,1,0,0,5012.711944,192,0
barteksc/AndroidPdfViewer,1080604728,0,0,2021-12-15T06:04:03Z,,None,NONE,0,9,18,0,4.78,7.82,0,3,-0.3,0.3,0,0,[],0,0,1641,7115,6844,2021,15,2,640,129,0,0,0,14,0,2,0,2276,2,2,1,1,1083.665,204,0
barteksc/AndroidPdfViewer,1073073400,0,0,2021-12-07T08:41:00Z,,None,NONE,0,4,32,0,8.7,4.56,0,3,-0.095238095,0.357142857,0,0,[],0,0,1631,7100,6829,2013,17,3,640,129,0,0,0,14,0,2,0,2269,1,1,0,0,935.9488889,205,0
barteksc/AndroidPdfViewer,1065621591,0,0,2021-11-29T05:17:07Z,,None,NONE,0,2,56,4,-7.41,49.06,10,44,0,0,0,0,[],0,0,1627,7079,6808,2005,17,3,640,129,0,0,0,14,0,66,1,2580,1,1,0,0,728.8280556,205,0
barteksc/AndroidPdfViewer,1061243122,0,0,2021-11-23T12:40:18Z,,None,NONE,0,8,57,0,-1.5,7.8,9,17,-0.03125,0.3125,0,0,[],0,0,1624,7067,6797,1999,17,3,640,129,0,0,0,14,0,26,8,3303,0,0,0,0,147.4975,209,0
barteksc/AndroidPdfViewer,1031123584,0,0,2021-10-20T08:27:59Z,,None,NONE,0,4,35,0,15.95,9.2,0,4,0,0,0,0,[],0,0,1601,7014,6731,1965,27,6,641,129,0,0,0,14,0,0,0,1819,0,0,0,0,,0,0
barteksc/AndroidPdfViewer,1024019975,0,0,2021-10-12T16:33:06Z,,None,NONE,0,12,22,0,9.38,10.39,0,1,0.114285714,0.294285714,0,0,[],0,0,1599,7002,6700,1957,28,6,641,129,0,0,0,14,0,9,10,650,3,1,0,0,,0,0
barteksc/AndroidPdfViewer,1022723243,0,0,2021-10-11T13:41:53Z,,None,NONE,0,4,16,1,15.95,27.72,2,2,0,0,0,0,[],0,0,1599,7000,6697,1956,27,6,641,129,0,0,0,14,0,29,31,1565,1,0,0,0,383.7913889,209,0
barteksc/AndroidPdfViewer,1018041670,0,0,2021-10-06T10:52:53Z,,None,NONE,0,8,20,1,13.7,26.48,6,4,-0.192460317,0.69047619,0,0,[],0,0,1599,6999,6696,1951,27,6,641,129,0,0,0,14,0,0,0,0,0,0,0,0,0.011111111,210,2
