repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
bqplot/bqplot,1084882970,0,0,2021-12-20T14:55:31Z,2022-01-07T08:21:13Z,425.4283333,MEMBER,1,3,23,1,9.23,32.46,5,4,0.5,1,0,0,[],0,0,92,571,3175,2277,26,22,242,3442,28,331,23,47,4,284,426,1945,872,76,214,7,425.9133333,81,0
bqplot/bqplot,1084613491,0,0,2021-12-20T10:23:06Z,2021-12-20T10:54:38Z,0.525555556,MEMBER,1,5,0,0,16.56,-22.21,0,0,0,0,0,0,[],0,0,92,571,3175,2277,25,21,242,3440,26,329,21,47,4,284,426,1944,870,74,214,7,429.9836111,81,0
bqplot/bqplot,1076624701,0,0,2021-12-10T09:33:20Z,2021-12-10T10:01:28Z,0.468888889,NONE,1,13,10,0,4.76,6.76,0,0,0,0,0,0,[],0,0,90,562,3166,2267,24,20,242,3439,25,0,0,47,4,43,5,1298,7,7,5,5,,0,0
bqplot/bqplot,1075724990,0,0,2021-12-09T15:49:33Z,2021-12-10T09:31:11Z,17.69388889,MEMBER,1,7,2,0,4.94,-10.31,0,0,0,0,0,0,[],0,0,90,562,3166,2266,23,19,243,3436,22,325,17,47,4,284,426,1934,857,61,213,6,1.818333333,82,5
bqplot/bqplot,1074485470,0,0,2021-12-08T14:42:37Z,2021-12-08T15:04:52Z,0.370833333,NONE,1,8,5,0,4.35,8.44,0,0,0,0,0,0,[],0,0,90,561,3165,2265,22,18,244,3436,22,0,0,47,4,43,5,1296,6,6,4,4,0.369444444,83,1
bqplot/bqplot,1073512176,0,0,2021-12-07T15:52:51Z,2021-12-09T13:18:00Z,45.41916667,MEMBER,1,7,25,0,9.06,7.35,2,2,0,0,0,0,[],0,0,90,560,3164,2264,21,17,243,3436,22,140,1,47,4,161,632,3485,196,12,90,1,23.80416667,82,5
bqplot/bqplot,1073293894,0,0,2021-12-07T12:26:38Z,,None,MEMBER,1,7,225,2,7.11,14.07,51,35,-0.278125,0.517708333,0,0,[],0,0,90,560,3164,2264,20,17,243,3436,22,140,1,47,4,161,632,3485,196,12,90,1,841.2430556,80,0
bqplot/bqplot,1072000427,0,0,2021-12-06T10:47:24Z,2021-12-10T09:31:11Z,94.72972222,NONE,0,3,255,1,20.83,27.1,69,96,-0.0625,0.2,0,0,[],0,0,90,558,3162,2263,19,16,242,3436,22,0,0,47,4,20,1,1116,0,0,0,0,,0,0
bqplot/bqplot,1069357004,0,0,2021-12-02T10:05:59Z,2021-12-02T10:07:18Z,0.021944444,CONTRIBUTOR,1,8,462,20,-2.41,28.65,62,79,0.060645604,0.388324176,1,1,['dependencies'],0,0,90,556,3160,2259,18,15,242,3435,21,22,3,47,4,0,0,960,39,3,24,3,,0,0
bqplot/bqplot,1068673632,0,0,2021-12-01T17:11:53Z,2021-12-02T10:05:21Z,16.89111111,MEMBER,1,2,0,0,4.2,-22.21,0,0,0,0,0,0,[],0,0,90,556,3160,2258,17,14,242,3432,18,322,14,47,4,284,426,1926,841,45,212,5,1696.684444,80,0
bqplot/bqplot,1062610780,0,0,2021-11-24T16:07:05Z,2021-11-24T16:30:47Z,0.395,NONE,0,3,102,2,7.32,15.37,36,22,0.078787879,0.316666667,0,0,[],0,0,90,554,3157,2251,18,15,242,3432,18,0,0,47,4,15,0,2469,0,0,0,0,1.630555556,81,2
bqplot/bqplot,1062169590,0,0,2021-11-24T09:06:23Z,2021-11-24T09:24:41Z,0.305,MEMBER,1,5,0,0,8.44,-22.21,0,0,0,0,0,0,[],0,0,90,554,3157,2251,17,14,243,3430,16,320,12,47,4,284,426,1918,833,44,211,4,,0,0
bqplot/bqplot,1038251321,0,0,2021-10-28T08:45:45Z,,None,NONE,0,6,128,2,12.05,31.16,50,34,0.20625,0.40625,0,0,[],0,0,85,532,3134,2224,26,23,243,3429,25,0,0,47,5,67,21,3957,0,0,0,0,798.4780556,80,0
bqplot/bqplot,1037368971,0,0,2021-10-27T12:36:22Z,,None,NONE,0,10,115,0,20.68,7.26,2,6,0.079251701,0.299489796,0,0,[],0,0,85,532,3133,2223,25,23,243,3429,25,0,0,47,5,42,31,3842,0,0,0,0,,0,0
bqplot/bqplot,1036445547,0,0,2021-10-26T15:24:53Z,2021-11-24T09:25:19Z,690.0072222,CONTRIBUTOR,1,8,475,19,-5.31,31.14,63,72,0.06112259,0.302100551,1,1,['dependencies'],0,0,85,532,3133,2222,24,22,242,3429,25,21,3,47,5,0,0,923,39,5,23,3,,0,0
bqplot/bqplot,1032300936,0,0,2021-10-21T10:04:32Z,2021-10-21T10:18:06Z,0.226111111,CONTRIBUTOR,1,8,1071,79,-3.86,38.08,171,205,0.048090243,0.24483683,1,1,['dependencies'],0,0,85,532,3131,2217,24,21,242,3427,23,20,2,47,5,0,0,918,39,5,22,2,,0,0
bqplot/bqplot,1032171484,0,0,2021-10-21T07:49:37Z,2021-10-21T08:17:29Z,0.464444444,MEMBER,1,2,0,0,4.2,-22.21,0,0,0,0,0,0,[],0,0,85,532,3131,2217,23,20,243,3422,18,314,13,47,5,284,426,1884,829,81,210,6,1158.880278,79,0
bqplot/bqplot,1025271348,0,0,2021-10-13T13:44:03Z,,None,NONE,0,9,164,0,15.11,24.2,50,35,0.266666667,0.316666667,0,0,[],0,0,85,531,3125,2209,24,22,243,3422,21,0,0,47,5,23,1,3169,0,0,4,0,,0,0
bqplot/bqplot,1012378042,0,0,2021-09-30T16:22:12Z,2021-10-01T07:20:30Z,14.97166667,NONE,1,13,10,0,5.16,7.34,0,0,0,0,0,0,[],0,0,85,527,3118,2196,27,24,246,3422,29,0,0,47,6,43,5,1227,4,4,0,0,,0,0
bqplot/bqplot,1012344254,0,0,2021-09-30T15:50:09Z,2021-09-30T16:23:55Z,0.562777778,NONE,1,18,15,0,5.13,6.49,0,0,0.4,0.4,0,0,[],0,0,85,527,3118,2196,26,23,248,3419,26,0,0,47,6,43,5,1227,4,4,0,0,,0,0
bqplot/bqplot,1012336814,0,0,2021-09-30T15:43:11Z,2021-09-30T16:23:49Z,0.677222222,NONE,1,15,12,0,11.27,14.72,0,0,0,0,0,0,[],0,0,85,527,3118,2196,25,22,248,3418,25,0,0,47,6,43,5,1227,2,2,0,0,,0,0
bqplot/bqplot,1012298360,0,0,2021-09-30T15:08:06Z,2021-09-30T15:42:38Z,0.575555556,NONE,1,10,7,0,5.54,9.06,0,0,0,0,0,0,[],0,0,85,526,3117,2196,24,21,249,3415,22,0,0,46,5,43,5,1227,1,1,0,0,,0,0
bqplot/bqplot,1011973122,0,0,2021-09-30T09:59:17Z,2021-09-30T15:20:22Z,5.351388889,MEMBER,1,4,0,0,7.25,-22.21,0,0,0,0,0,0,[],0,0,84,526,3117,2196,23,20,248,3414,21,308,13,46,5,284,426,1863,801,77,209,7,5.144722222,82,1
bqplot/bqplot,1009650402,0,0,2021-09-28T11:53:06Z,2021-09-30T15:48:33Z,51.92416667,MEMBER,1,9,85,1,15.74,27.75,23,43,0.061111111,0.481944444,0,0,[],0,0,84,524,3115,2194,22,19,247,3414,21,139,1,46,5,161,632,3415,187,17,89,2,51.50083333,81,2
bqplot/bqplot,1006531477,0,0,2021-09-24T14:34:26Z,2021-09-30T16:21:55Z,145.7913889,MEMBER,1,7,0,0,5.75,-22.21,0,0,0,0,0,0,[],0,0,84,522,3113,2190,22,18,246,3414,22,308,14,46,5,284,426,1858,799,80,207,5,145.795,80,0
bqplot/bqplot,1006373908,0,1,2021-09-24T11:39:34Z,2022-08-18T11:55:42Z,7872.268889,MEMBER,1,3,0,0,5.35,-22.21,0,0,0,0,0,0,[],0,0,84,522,3113,2190,21,17,245,3414,22,308,14,46,5,284,426,1857,798,79,207,5,3842.585,77,0
