repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
containerd/nerdctl,1090335745,0,0,2021-12-29T07:54:55Z,2021-12-29T08:43:16Z,0.805833333,NONE,0,4,44,0,20.3,12.58,1,3,0.0625,0.595833333,0,0,[],0,0,126,2077,2704,389,255,229,191,935,332,0,0,48,25,34,0,3122,0,0,0,0,0.805833333,36,1
containerd/nerdctl,1090241569,0,0,2021-12-29T03:19:59Z,2021-12-29T03:43:27Z,0.391111111,NONE,0,8,269,0,6.45,26.07,45,48,0.057142857,0.527380952,0,0,[],0,0,126,2075,2702,389,256,230,191,935,334,0,0,48,25,7,1,3248,2,2,0,0,5.217222222,36,3
containerd/nerdctl,1089012696,0,1,2021-12-27T06:55:35Z,2021-12-28T14:06:33Z,31.18277778,MEMBER,1,5,3,0,1.48,40.15,0,2,0,0,0,0,[],0,0,126,2065,2693,387,260,234,191,933,335,16,16,48,26,134,635,2729,50,49,17,17,1.106388889,37,1
containerd/nerdctl,1088919067,0,1,2021-12-27T02:46:39Z,2022-01-04T07:18:33Z,196.5316667,MEMBER,1,5,7,2,10.76,76.71,3,4,0,0,0,0,[],0,0,126,2063,2691,387,259,233,190,932,334,15,15,48,26,134,635,2729,49,48,17,17,7.643888889,36,3
containerd/nerdctl,1088651099,0,0,2021-12-25T20:14:02Z,2022-01-20T14:59:34Z,618.7588889,MEMBER,0,7,165,2,14.04,15.73,16,10,0.087605042,0.6495845,1,1,['proposal'],0,0,126,2061,2690,386,261,235,190,931,336,33,8,48,26,50,48,2467,386,118,46,9,9.475833333,38,3
containerd/nerdctl,1088279617,0,1,2021-12-24T09:47:33Z,2021-12-27T01:11:27Z,63.39833333,MEMBER,1,9,2,1,7.39,94.1,1,1,0,0,2,1,"['area/ci', 'area/rootless']",0,0,126,2054,2684,384,260,234,189,929,334,746,255,48,26,257,1122,2627,2100,932,259,89,59.60333333,36,1
containerd/nerdctl,1088027947,0,1,2021-12-23T22:47:43Z,2021-12-24T04:44:59Z,5.954444444,CONTRIBUTOR,1,7,40,1,5.75,13.73,4,4,-0.4,0.6,0,0,[],0,0,125,2052,2682,384,259,233,190,927,332,1,1,48,26,13,12,465,3,3,1,1,,0,0
containerd/nerdctl,1087639354,0,0,2021-12-23T11:41:12Z,2022-07-27T05:54:28Z,5178.221111,NONE,0,9,48,0,15.74,12.13,7,2,0.444444444,0.483333333,0,0,[],0,0,125,2048,2678,384,260,234,189,927,332,0,0,48,26,23,36,3436,1,1,0,0,3.609722222,37,3
containerd/nerdctl,1087377173,0,1,2021-12-23T05:00:57Z,2021-12-23T05:44:06Z,0.719166667,MEMBER,1,5,6,1,27,70.13,2,4,0,0,0,0,[],0,0,125,2047,2677,383,259,233,190,923,328,13,13,48,26,134,635,2725,43,42,16,16,,0,0
containerd/nerdctl,1087047269,0,1,2021-12-22T17:42:24Z,2021-12-23T11:22:17Z,17.66472222,MEMBER,1,4,3,0,10.15,40.15,0,2,0,0,0,0,[],0,0,125,2042,2672,383,258,232,189,923,328,13,13,48,26,134,635,2724,40,39,15,15,9.928055556,38,4
containerd/nerdctl,1085845996,0,0,2021-12-21T13:40:20Z,2022-01-31T06:53:30Z,977.2194444,CONTRIBUTOR,1,3,25,0,-0.46,8.46,2,3,-0.125,0.375,0,0,[],0,0,125,2030,2662,382,260,234,189,922,327,2,2,48,26,134,84,3456,32,6,6,2,401.6933333,32,2
containerd/nerdctl,1085409789,0,0,2021-12-21T03:57:10Z,2021-12-21T03:57:24Z,0.003888889,NONE,1,7,3,0,9.87,36.32,0,1,0,0,0,0,[],0,0,125,2028,2660,381,260,234,189,922,331,0,0,48,27,45,34,2661,2,2,0,0,,0,0
containerd/nerdctl,1085235921,1,0,2021-12-20T21:55:11Z,2022-04-21T09:25:18Z,2915.501944,MEMBER,1,2,22,1,-16.11,16.94,2,3,-0.0625,0.6875,0,0,[],0,0,124,2027,2659,381,260,234,188,922,333,33,8,48,27,50,48,2462,379,131,45,9,2218.101389,20,0
containerd/nerdctl,1084751412,0,1,2021-12-20T12:46:39Z,2022-01-11T06:15:02Z,521.4730556,MEMBER,1,2,5,1,94.1,44.4,5,1,0,0,2,1,"['enhancement', 'impact/major']",1,0,124,2023,2655,381,265,238,188,922,339,742,259,48,28,257,1122,2623,2061,938,256,88,,0,0
