repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
facebook/react,1091306585,0,0,2021/12/30 21:12,2022/1/21 15:38,522.4413889,NONE,0,9,73,1,5.42,14.71,37,7,0,0,3,1,"['Component: Developer Tools', 'Status: Unconfirmed', 'Type: Bug']",1,0,49433,195251,40000,3142,548,455,1344,15334,0,0,0,1553,0,49,27,2208,1,1,1,1,504.6908333,90,0
facebook/react,1091007343,0,0,2021/12/30 10:15,2021/12/31 9:29,23.22777778,NONE,1,10,48,0,14.3,19.14,7,3,0.5,0.5,1,1,['CLA Signed'],0,0,49424,195213,40000,3141,555,462,1343,15334,0,0,0,1553,0,12,2,1262,4,3,2,2,23.25,124,1
facebook/react,1090853134,0,0,2021/12/30 3:30,2022/1/7 18:48,207.2972222,NONE,0,2,12,0,-10.31,7.47,3,2,0,0,2,1,"['React 18', 'Type: Discussion']",0,0,49417,195183,40000,3141,554,461,1343,15334,0,0,0,1553,0,2,0,0,2,2,1,1,,0,0
facebook/react,1090844455,0,0,2021/12/30 2:59,,None,NONE,0,16,64,2,12.18,38.38,42,14,-0.025,0.23125,0,0,[],0,0,49417,195182,40000,3141,553,461,1343,15334,0,0,0,1553,0,5,4,1942,1,1,1,1,0.496388889,123,1
facebook/react,1090799316,0,0,2021/12/29 23:48,,None,NONE,0,13,267,7,11.3,15.66,17,19,-0.019047619,0.48452381,2,1,"['React 18', 'Type: Discussion']",0,0,49411,195169,40000,3141,552,461,1343,15334,0,0,0,1553,0,115,595,4281,8,5,3,2,2162.153333,78,0
facebook/react,1090541338,0,0,2021/12/29 14:02,2021/12/29 14:04,0.024166667,NONE,1,3,249,4,9.23,9.82,33,42,0.061532738,0.351289683,0,0,[],0,0,49406,195149,40000,3140,558,467,1343,15334,0,0,0,1553,0,6,2,688,1,1,1,1,0.001111111,122,2
facebook/react,1090341045,0,0,2021/12/29 8:06,,None,NONE,0,6,93,1,20.75,17.72,23,11,-0.092857143,0.603571429,2,1,"['Status: Unconfirmed', 'Component: DOM']",0,0,49400,195133,40000,3140,558,468,1343,15334,0,0,0,1553,0,12,2,1261,2,1,1,1,,0,0
facebook/react,1090041166,0,0,2021/12/28 17:43,2022/1/12 20:12,362.4719444,CONTRIBUTOR,1,9,339,6,10.58,12.27,49,49,0.064009042,0.377117954,0,0,[],0,0,49387,195090,40000,3140,565,474,1342,15334,0,3,0,1553,0,77,104,2776,122,68,6,4,0.083611111,124,1
facebook/react,1090031896,0,0,2021/12/28 17:23,2022/1/12 20:12,362.8075,CONTRIBUTOR,0,7,195,4,17.35,12.51,40,19,0.109722222,0.491512346,2,1,"['Status: Unconfirmed', 'Component: DOM']",0,0,49387,195089,40000,3140,564,473,1341,15334,0,3,0,1553,0,77,104,2776,121,67,5,3,,0,0
facebook/react,1089985169,0,0,2021/12/28 15:54,2021/12/30 7:38,39.72277778,NONE,0,1,76,1,-28.01,9.88,16,12,-0.016666667,0.4,1,1,['Status: Unconfirmed'],0,0,49384,195088,40000,3139,564,473,1340,15334,0,0,0,1553,0,41,5,1547,1,1,1,1,20.07527778,120,3
facebook/react,1089774936,0,0,2021/12/28 10:25,2022/1/7 18:38,248.2113889,NONE,0,8,43,0,7.9,5.95,1,3,0.366666667,0.666666667,1,1,['Status: Unconfirmed'],0,0,49377,195068,40000,3139,565,474,1339,15334,0,0,0,1553,0,2,0,1630,2,1,2,1,10.08083333,121,1
facebook/react,1089554347,0,0,2021/12/28 1:42,2022/1/11 17:14,351.5194444,CONTRIBUTOR,1,6,312,4,12.98,10.93,59,51,0.031531532,0.389714715,0,0,[],0,0,49364,195024,40000,3139,567,476,1338,15334,0,1,0,1553,0,170,367,3450,2,2,1,1,0.001111111,122,4
facebook/react,1089520091,0,0,2021/12/27 23:25,2021/12/28 0:06,0.681944444,NONE,1,3,74,0,18.92,10.79,4,5,0.135714286,0.403968254,0,0,[],0,0,49362,195021,40000,3139,566,475,1338,15334,0,0,0,1553,0,12,0,614,1,0,1,1,0.020555556,122,2
facebook/react,1089478622,0,0,2021/12/27 21:20,2021/12/27 22:58,1.628055556,NONE,0,10,204,1,16.62,21.31,89,38,0.009090909,0.430194805,0,0,[],0,0,49362,195018,40000,3139,566,475,1338,15334,0,0,0,1553,0,115,595,4279,4,1,2,1,0.967222222,122,2
facebook/react,1089460140,0,0,2021/12/27 20:33,2022/1/12 13:48,377.2561111,NONE,0,17,158,1,4.93,51.3,55,65,-0.1,0.5,3,1,"['Component: Developer Tools', 'Status: Unconfirmed', 'Type: Bug']",1,0,49362,195012,40000,3139,567,476,1337,15334,0,0,0,1553,0,16,5,738,1,1,1,1,26.8825,120,3
facebook/react,1089439448,0,0,2021/12/27 19:45,,None,NONE,0,7,36,0,5.75,7.25,4,3,-0.05,1,5,1,"['React 18', 'Type: Discussion', 'Type: Question', 'Status: Unconfirmed', 'Component: Developer Tools']",1,0,49362,195012,40000,3139,566,476,1337,15334,0,0,0,1553,0,6,28,60,1,1,1,1,,0,0
facebook/react,1089047336,0,0,2021/12/27 8:00,,None,NONE,0,9,60,1,16.38,26.34,14,6,-0.25,0.5,1,1,['Status: Unconfirmed'],0,0,49347,194987,40000,3138,568,479,1337,15334,0,0,0,1553,0,46,18,2267,2,1,1,1,274.9002778,112,0
facebook/react,1089002941,0,0,2021/12/27 6:32,2022/2/26 14:10,1471.649444,NONE,0,5,69,1,35.12,18.09,8,8,0.3875,0.65,2,1,"['React 18', 'Type: Discussion']",0,0,49346,194975,40000,3138,567,478,1336,15334,0,0,0,1553,0,93,279,1331,14,4,3,2,149.6813889,116,0
