repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
hhyo/Archery,1091062910,0,0,2021-12-30T12:03:34Z,2022-01-18T09:39:40Z,453.6016667,COLLABORATOR,0,2,9,2,36.1,194.84,8,4,0,0,0,0,[],0,0,1105,3286,3269,1189,122,115,194,1692,38,5,5,61,11,29,1,3260,35,20,12,11,261.8216667,40,0
hhyo/Archery,1091005153,0,0,2021-12-30T10:11:20Z,2021-12-30T10:16:31Z,0.086388889,CONTRIBUTOR,1,2,1,0,7.1,47.4,0,0,0,0,0,0,[],0,0,1104,3285,3268,1189,121,114,194,1692,38,3,3,61,11,8,7,1192,6,6,4,4,,0,0
hhyo/Archery,1090971340,0,0,2021-12-30T09:08:59Z,2022-01-08T06:58:49Z,213.8305556,NONE,0,2,14,0,-4.51,31.4,12,5,0,0,1,1,['question'],1,0,1104,3283,3266,1189,120,113,193,1692,38,0,0,61,11,12,3,2040,0,0,0,0,,0,0
hhyo/Archery,1090613696,0,0,2021-12-29T16:04:35Z,2021-12-30T14:15:14Z,22.1775,CONTRIBUTOR,0,3,82,2,22.75,51.48,40,18,0.08125,0.7,0,0,[],0,0,1102,3279,3263,1188,119,112,192,1692,38,3,3,61,11,8,7,1191,5,5,3,3,0.534166667,48,3
hhyo/Archery,1090245465,0,0,2021-12-29T03:30:48Z,2022-01-13T01:04:44Z,357.5655556,CONTRIBUTOR,1,1,3,0,134.4,198.72,2,0,0,0,0,0,[],0,0,1101,3277,3261,1188,118,111,191,1692,38,0,0,61,11,8,3,365,19,17,6,5,154.6969444,47,1
hhyo/Archery,1090002501,0,0,2021-12-28T16:25:08Z,2021-12-31T23:43:48Z,79.31111111,CONTRIBUTOR,1,1,4,0,24.2,81.2,1,1,0,0,0,0,[],0,0,1099,3275,3259,1187,117,110,190,1692,38,0,0,61,11,8,3,365,17,15,5,4,0.763055556,47,2
hhyo/Archery,1089919447,0,0,2021-12-28T14:06:10Z,2021-12-28T14:24:16Z,0.301666667,CONTRIBUTOR,1,1,6,0,18.4,27.48,2,3,0,0,0,0,[],0,0,1098,3275,3259,1187,116,109,192,1690,36,3,3,61,11,8,7,1190,4,4,2,2,0.039444444,48,1
hhyo/Archery,1089766368,0,0,2021-12-28T10:12:59Z,2021-12-28T14:25:00Z,4.200277778,COLLABORATOR,1,1,2,0,93.8,41.9,1,0,0,0,0,0,[],0,0,1097,3275,3259,1187,115,108,191,1687,33,3,3,60,10,5,4,1511,23,21,3,3,0.039444444,48,1
hhyo/Archery,1089742177,0,0,2021-12-28T09:36:19Z,2022-01-13T00:29:42Z,374.8897222,CONTRIBUTOR,1,1,1,0,157.6,157.6,0,0,0,0,0,0,[],0,0,1097,3275,3259,1187,114,107,190,1686,32,0,0,60,10,33,0,2217,1,0,0,0,0.489166667,48,3
hhyo/Archery,1089585535,0,0,2021-12-28T03:28:26Z,2021-12-28T04:06:19Z,0.631388889,CONTRIBUTOR,0,2,0,0,88.3,-22.21,0,0,0,0,0,0,[],0,0,1096,3272,3257,1187,114,107,192,1686,32,0,0,60,10,8,2,2608,71,44,16,9,0.631388889,51,2
hhyo/Archery,1089132421,0,0,2021-12-27T10:14:49Z,2021-12-28T06:46:08Z,20.52194444,NONE,0,2,63,0,59.3,33.18,15,22,0.1125,0.4,0,0,[],0,0,1095,3268,3253,1186,113,106,193,1685,31,0,0,60,10,62,0,1825,1,1,0,0,22.79111111,49,13
hhyo/Archery,1089093206,0,0,2021-12-27T09:13:41Z,2021-12-27T11:59:29Z,2.763333333,COLLABORATOR,1,2,2,0,27.4,27.4,0,0,0,0,0,0,[],0,0,1095,3267,3252,1186,112,105,192,1685,31,2,2,60,10,5,4,1510,16,14,1,1,3408.605556,31,2
hhyo/Archery,1089088922,0,0,2021-12-27T09:07:47Z,2021-12-28T07:37:25Z,22.49388889,COLLABORATOR,0,2,737,3,30.3,19.67,112,74,-0.151255411,0.485010823,0,0,[],0,0,1095,3267,3252,1186,111,104,191,1684,30,1,1,60,10,5,4,1510,15,13,1,1,22.49388889,49,1
hhyo/Archery,1088956077,0,0,2021-12-27T04:28:35Z,2021-12-28T15:53:30Z,35.41527778,CONTRIBUTOR,1,1,2,0,128.6,259.4,1,0,0,0,0,0,[],0,0,1094,3267,3252,1186,110,103,190,1684,30,0,0,60,10,8,3,363,13,11,4,3,35.41527778,47,1
