repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
josdejong/jsoneditor,1089752093,0,0,2021-12-28T09:52:52Z,,None,NONE,0,4,0,0,17.4,-22.21,0,0,0,0,0,0,[],0,0,1872,8103,9139,3539,28,18,221,1645,12,0,0,82,2,1,0,148,1,1,0,0,22.84777778,14,1
josdejong/jsoneditor,1089295779,0,0,2021-12-27T15:01:25Z,2021-12-29T10:28:19Z,43.44833333,NONE,0,6,53,1,20.75,22.04,6,7,-0.030952381,0.56984127,0,0,[],0,0,1872,8098,9134,3539,27,17,220,1643,10,0,0,82,2,49,5,3639,1,1,0,0,0.766666667,14,5
josdejong/jsoneditor,1087901754,0,0,2021-12-23T17:54:44Z,,None,NONE,0,5,81,0,8.44,7.69,18,14,0.268888889,0.479206349,0,0,[],0,0,1870,8090,9126,3535,27,17,221,1643,10,0,0,82,2,1,0,986,1,1,0,0,134.9383333,13,0
josdejong/jsoneditor,1085654125,0,0,2021-12-21T10:06:05Z,2021-12-23T08:50:30Z,46.74027778,NONE,0,10,1,1,8.5,488.2,1,4,0,0,0,0,[],0,0,1868,8081,9118,3532,26,16,221,1642,9,0,0,82,2,13,2,2210,4,4,1,1,21.24527778,13,9
josdejong/jsoneditor,1084998568,0,0,2021-12-20T16:46:27Z,2021-12-27T09:40:45Z,160.905,NONE,0,7,127,1,0.76,12.33,28,19,0.020247934,0.419008264,0,0,[],0,0,1867,8080,9117,3532,25,15,220,1642,12,0,0,82,2,0,0,9,9,9,2,2,0.314166667,13,5
josdejong/jsoneditor,1083527661,0,0,2021-12-17T18:40:49Z,,None,NONE,0,9,45,0,6.06,6.62,0,2,0.095238095,0.311904762,0,0,[],0,0,1866,8076,9113,3529,25,15,223,1639,9,0,0,82,2,0,0,7,8,8,1,1,2.22,15,1
josdejong/jsoneditor,1083441367,0,0,2021-12-17T16:49:37Z,2021-12-17T20:54:58Z,4.089166667,NONE,0,8,32,0,7.21,13.05,9,1,-0.25,0.65,0,0,[],0,0,1866,8076,9113,3529,24,14,222,1639,9,0,0,82,2,5,0,1424,1,1,0,0,4.088611111,14,1
josdejong/jsoneditor,1077074494,0,0,2021-12-10T17:28:41Z,2021-12-16T07:56:12Z,134.4586111,NONE,0,5,127,1,15.4,10.51,27,20,0.124747475,0.349775533,0,0,[],0,0,1861,8066,9104,3522,25,14,222,1639,9,0,0,82,2,0,0,0,1,1,0,0,2.186388889,14,2
josdejong/jsoneditor,1072595164,0,0,2021-12-06T20:46:02Z,2021-12-19T10:27:12Z,301.6861111,OWNER,1,9,12,0,8.67,8.63,2,2,0,0.6,0,0,[],0,0,1859,8054,9092,3518,25,13,222,1639,9,1322,8,82,2,59,1023,3976,4831,84,45,0,,0,0
josdejong/jsoneditor,1071533463,0,0,2021-12-05T19:07:56Z,,None,NONE,0,10,83,2,13.14,18.96,8,12,-0.018981481,0.587037037,0,0,[],0,0,1857,8051,9089,3517,24,13,222,1639,9,0,0,82,2,1,3,1988,1,1,0,0,25.72805556,13,3
josdejong/jsoneditor,1071513343,0,0,2021-12-05T17:28:47Z,2022-04-20T14:56:21Z,3261.459444,NONE,0,5,67,0,2.64,6.43,7,14,0.133333333,0.627777778,0,0,[],0,0,1857,8051,9089,3517,23,12,221,1639,9,0,0,82,2,1,0,1615,0,0,0,0,24.79416667,13,9
josdejong/jsoneditor,1068071188,0,0,2021-12-01T07:47:09Z,2021-12-01T08:51:03Z,1.065,NONE,0,7,0,0,8.24,-22.21,0,0,0,0,0,0,[],0,0,1856,8035,9073,3512,24,11,221,1639,9,0,0,82,2,13,2,2190,0,0,0,0,0.090555556,13,6
josdejong/jsoneditor,1063497315,0,0,2021-11-25T11:54:24Z,2021-11-27T08:16:21Z,44.36583333,NONE,0,9,22,0,10.58,12.1,16,2,0.2,0.2,0,0,[],0,0,1853,8023,9062,3506,26,13,221,1639,11,0,0,82,2,0,0,0,1,1,0,0,44.36055556,17,1
josdejong/jsoneditor,1060994661,0,0,2021-11-23T09:11:07Z,,None,NONE,0,7,19,0,14.86,8.65,0,1,-0.2,0.5,0,0,[],0,0,1852,8015,9054,3504,26,14,221,1639,18,0,0,82,3,10,1,1228,2,2,0,0,10.21055556,17,1
