repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
jumpserver/jumpserver,1090973307,0,0,2021-12-30T09:12:50Z,2021-12-30T09:25:00Z,0.202777778,CONTRIBUTOR,1,4,4,0,23.2,23.2,0,0,0,0,1,1,['类型:bug'],1,0,4768,17770,17400,2736,473,464,274,6776,234,130,20,87,11,0,2,527,1955,238,1513,261,,0,0
jumpserver/jumpserver,1090939845,1,0,2021-12-30T08:02:43Z,2022-02-10T00:03:19Z,1000.01,NONE,0,2,2,0,47.7,201.4,1,1,0,0,2,1,"['类型:需求', '状态:待处理']",0,0,4768,17770,17400,2736,472,463,273,6776,234,0,0,87,11,0,0,567,2,0,0,0,261.7866667,99,0
jumpserver/jumpserver,1090841981,0,0,2021-12-30T02:48:41Z,2021-12-31T06:47:02Z,27.9725,CONTRIBUTOR,1,2,2,0,-1.61,-1.61,0,0,0,0,0,0,[],0,0,4767,17766,17396,2735,471,462,273,6775,233,130,20,87,11,0,2,526,1954,237,1513,261,,0,0
jumpserver/jumpserver,1090827110,1,0,2021-12-30T01:46:09Z,2022-02-07T07:45:13Z,941.9844444,NONE,0,2,2,0,47.7,302.9,2,1,0,0,2,1,"['类型:需求', '状态:待处理']",0,0,4767,17760,17391,2735,470,461,275,6772,230,0,0,87,11,22,0,2726,2,2,0,0,268.0697222,98,0
jumpserver/jumpserver,1090477312,0,0,2021-12-29T12:09:09Z,2021-12-31T09:23:39Z,45.24166667,CONTRIBUTOR,1,2,2,0,24.5,24.5,0,0,0,0,1,1,['类型:新功能'],0,0,4767,17757,17389,2735,470,461,274,6772,230,130,20,87,11,0,2,526,1953,236,1512,260,,0,0
jumpserver/jumpserver,1090410757,1,0,2021-12-29T10:09:36Z,2022-01-10T05:54:25Z,283.7469444,NONE,0,1,230,5,76.4,28.89,43,77,0.106060606,0.193137255,2,1,"['类型:提问', '状态:待处理']",0,0,4767,17757,17389,2735,469,460,273,6772,230,0,0,87,11,4,0,2537,7,1,0,0,283.7,97,0
jumpserver/jumpserver,1090345112,1,0,2021-12-29T08:14:19Z,2022-02-10T00:03:20Z,1023.816944,NONE,0,2,5,0,7.1,69.92,4,2,0,0,2,1,"['类型:bug', '状态:待处理']",1,0,4767,17756,17388,2735,468,459,274,6772,230,0,0,87,11,0,0,744,60,1,9,0,285.7061111,96,0
jumpserver/jumpserver,1090343353,0,0,2021-12-29T08:10:47Z,2021-12-30T02:48:07Z,18.62222222,MEMBER,1,2,1,0,56.4,209.8,0,0,0,0,1,1,['类型:bug'],1,0,4767,17756,17388,2735,467,458,273,6772,230,12,8,87,11,3,3,294,32,16,16,8,,0,0
jumpserver/jumpserver,1089712297,1,0,2021-12-28T08:46:21Z,2022-02-11T00:03:37Z,1071.287778,NONE,0,1,5,3,88,380.8,7,12,0,0,2,1,"['类型:需求', '状态:待处理']",0,0,4763,17737,17372,2734,467,458,276,6767,225,0,0,87,11,9,0,318,1,1,0,0,336.9747222,94,0
jumpserver/jumpserver,1089633030,1,0,2021-12-28T05:59:25Z,2021-12-28T07:48:48Z,1.823055556,NONE,0,8,28,4,8,103.94,20,24,0,0,0,0,[],0,0,4763,17734,17369,2734,470,461,276,6767,233,0,0,87,11,7,0,1725,1,1,0,0,0.841944444,116,5
