repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
keras-team/autokeras,1087829291,0,0,2021-12-23T15:56:44Z,2022-02-15T01:32:11Z,1281.590833,CONTRIBUTOR,1,4,91,0,18.85,7.69,10,11,0.141782407,0.364814815,0,0,[],0,0,794,3781,8194,1494,23,4,109,1275,8,2,0,120,1,21,0,1102,6,0,3,0,0.255555556,21,1
keras-team/autokeras,1087189374,0,0,2021-12-22T21:05:36Z,2021-12-22T21:24:41Z,0.318055556,MEMBER,1,1,83,0,1,7.87,9,10,0.184201389,0.397777778,0,0,[],0,0,794,3777,8190,1493,22,3,109,1274,7,848,7,120,1,50,609,3018,3407,26,424,3,0.205277778,21,1
keras-team/autokeras,1083074357,0,0,2021-12-17T09:50:42Z,,None,NONE,0,11,247,0,21.61,22.63,62,41,0.139285714,0.382142857,0,0,[],0,0,790,3767,8180,1488,23,5,109,1274,7,0,0,120,1,7,6,2523,1,1,0,0,2685.330556,17,0
keras-team/autokeras,1083028922,0,0,2021-12-17T08:58:09Z,,None,NONE,0,3,90,1,13.12,45.25,16,15,0.325,0.46875,0,0,[],0,0,790,3767,8180,1488,22,5,109,1274,7,0,0,120,1,0,0,628,1,1,0,0,23.32777778,20,1
keras-team/autokeras,1076101174,0,0,2021-12-09T22:07:57Z,,None,NONE,0,3,73,0,24.72,9.16,6,5,0.15,0.557142857,0,0,[],0,0,785,3758,8170,1480,22,5,109,1274,7,0,0,120,1,22,27,280,3,3,1,1,,0,0
keras-team/autokeras,1074122966,0,0,2021-12-08T08:07:24Z,,None,NONE,0,4,31,0,17.4,19.79,6,0,0.466666667,0.666666667,0,0,[],0,0,785,3754,8167,1479,22,5,109,1274,7,0,0,120,1,4,0,1065,0,0,0,0,,0,0
keras-team/autokeras,1069084871,0,0,2021-12-02T03:18:44Z,,None,NONE,0,6,79,0,0.45,11.88,31,13,-0.029464286,0.427380952,0,0,[],0,0,783,3741,8154,1473,21,5,110,1271,4,0,0,120,1,6,1,2028,1,1,0,0,,0,0
keras-team/autokeras,1066597249,0,0,2021-11-29T23:09:17Z,,None,NONE,0,7,197,1,20.66,14.5,32,23,0.0375,0.498263889,0,0,[],0,0,782,3738,8151,1470,20,5,110,1271,4,0,0,120,1,8,2,2443,14,0,3,0,42.53527778,19,1
keras-team/autokeras,1059348330,0,0,2021-11-21T10:54:45Z,,None,NONE,0,7,153,0,9.87,7.36,7,13,0.197321429,0.484077381,0,0,[],0,0,779,3724,8137,1462,20,6,110,1271,5,0,0,120,2,44,5,1719,0,0,0,0,36.11888889,20,1
keras-team/autokeras,1059186616,0,0,2021-11-20T17:01:46Z,,None,NONE,0,11,81,0,3.17,7.2,6,4,0.23,0.3,0,0,[],0,0,779,3722,8135,1461,19,6,110,1271,5,0,0,120,2,22,27,261,0,0,0,0,556.0330556,17,0
