repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
lib/pq,1064811022,0,0,2021-11-26T21:28:31Z,,None,NONE,1,10,50,0,14.24,13.82,6,7,0.061111111,0.238888889,0,0,[],0,0,858,6216,6821,3546,15,10,297,685,18,0,0,105,6,401,605,4258,5,2,0,0,,0,0
lib/pq,1064808953,0,0,2021-11-26T21:22:10Z,,None,NONE,0,7,679,1,15.4,10.82,108,156,0.191727273,0.375424242,0,0,[],0,0,857,6216,6821,3546,14,10,297,685,18,0,0,105,6,401,605,4258,3,0,0,0,,0,0
lib/pq,1059132317,0,0,2021-11-20T12:14:27Z,,None,NONE,1,5,9,0,7.28,2.87,1,0,0,1,0,0,[],0,0,856,6192,6798,3539,13,10,297,685,18,0,0,105,6,37,3,2403,3,2,1,0,,0,0
lib/pq,1033688474,0,0,2021-10-22T15:10:50Z,,None,NONE,0,10,24,0,9.08,13.47,0,1,0.083333333,0.333333333,0,0,[],0,0,850,6138,6737,3510,14,12,305,682,15,0,0,105,6,57,0,2118,0,0,0,0,,0,0
lib/pq,1030432119,0,0,2021-10-19T15:11:07Z,2021-11-08T20:06:35Z,484.9244444,CONTRIBUTOR,1,15,88,1,9.76,15.34,12,14,0.253333333,0.5,0,0,[],0,0,850,6133,6724,3507,13,11,304,682,15,1,1,105,6,122,85,3462,4,2,1,0,472.9766667,87,0
lib/pq,1030294626,0,0,2021-10-19T13:14:05Z,2021-11-07T20:25:22Z,463.1880556,CONTRIBUTOR,1,5,3,1,7.28,55.63,0,1,0,0,0,0,[],0,0,850,6133,6724,3507,12,10,303,682,15,1,1,105,6,122,85,3462,3,1,1,0,463.1880556,87,0
lib/pq,1030287753,0,0,2021-10-19T13:07:57Z,2021-11-11T11:50:58Z,550.7169444,CONTRIBUTOR,0,8,171,0,28.3,13.52,11,30,-0.1,0.613541667,0,0,[],0,0,850,6133,6724,3507,11,9,302,682,15,1,1,105,6,122,85,3462,3,1,1,0,548.4594444,85,0
lib/pq,1029993985,0,0,2021-10-19T08:11:12Z,2021-11-07T20:31:52Z,468.3444444,CONTRIBUTOR,1,3,52,0,32.43,16.79,4,7,-0.042857143,0.489285714,0,0,[],0,0,850,6133,6724,3507,10,8,301,682,15,1,1,105,6,122,85,3461,2,0,1,0,0.065555556,87,1
lib/pq,1024910002,0,0,2021-10-13T07:48:30Z,2021-11-07T20:34:21Z,612.7641667,CONTRIBUTOR,1,4,44,2,1.45,39.54,10,12,-0.166666667,0.166666667,0,0,[],0,0,850,6130,6713,3501,9,7,300,680,13,1,1,104,5,100,13,2710,0,0,0,0,0.093888889,87,1
lib/pq,1010624744,0,0,2021-09-29T08:01:10Z,,None,NONE,0,5,155,3,15.4,36.73,22,48,0,0.7,0,0,[],0,0,849,6114,6693,3487,8,7,300,679,12,0,0,103,4,4,0,1632,0,0,0,0,1014.566944,85,0
lib/pq,1002548156,0,0,2021-09-21T14:00:35Z,,None,NONE,0,9,17,0,11.22,8,0,1,0,0.5625,0,0,[],0,0,847,6102,6681,3479,8,7,304,678,11,0,0,103,4,6,0,1100,1,1,0,0,,0,0
