repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
lynndylanhurley/devise_token_auth,1091179939,0,0,2021-12-30T15:49:39Z,2022-01-02T20:30:47Z,76.68555556,CONTRIBUTOR,1,4,25,1,8.7,15.42,6,4,0,0,0,0,[],0,0,1289,3314,3252,2740,12,8,194,1066,5,4,2,200,4,119,15,2288,7,1,4,1,76.665,45,1
lynndylanhurley/devise_token_auth,1090216503,0,0,2021-12-29T01:47:02Z,2022-09-09T12:54:09Z,6107.118611,COLLABORATOR,0,5,20,1,14.24,31.67,0,5,-0.2625,0.3875,0,0,[],0,0,1289,3313,3251,2739,11,7,193,1065,4,196,0,200,4,15,28,3788,824,8,20,0,1.275,45,3
lynndylanhurley/devise_token_auth,1086623556,0,0,2021-12-22T09:24:27Z,2021-12-29T01:21:06Z,159.9441667,CONTRIBUTOR,1,3,0,0,1.52,-22.21,0,0,0,0,0,0,[],0,0,1284,3306,3244,2732,12,6,194,1064,3,2,0,200,3,119,15,2279,6,0,3,0,159.9327778,46,0
lynndylanhurley/devise_token_auth,1080946384,0,0,2021-12-15T11:52:07Z,,None,NONE,0,12,104,0,1.38,11.75,14,14,0,0.15952381,0,0,[],0,0,1280,3301,3238,2725,12,7,194,1064,3,0,0,200,3,36,4,1976,0,0,0,0,,0,0
lynndylanhurley/devise_token_auth,1075519214,0,0,2021-12-09T12:30:34Z,2021-12-29T01:21:55Z,468.8558333,NONE,0,6,56,1,13.97,14.63,17,16,0.116666667,0.333333333,0,0,[],0,0,1279,3297,3234,2719,11,6,193,1064,3,0,0,200,3,6,9,1448,2,1,0,0,468.8555556,44,0
lynndylanhurley/devise_token_auth,1058128850,0,0,2021-11-19T04:42:05Z,,None,NONE,0,6,205,3,26.55,26.5,31,23,0.029761905,0.311904762,0,0,[],0,0,1279,3283,3223,2699,13,7,193,1064,3,0,0,200,3,55,30,3818,1,1,0,0,65.91305556,44,1
lynndylanhurley/devise_token_auth,1048290014,0,0,2021-11-09T07:49:09Z,2021-11-09T07:49:36Z,0.0075,NONE,1,3,0,0,13.12,-22.21,0,0,0,0,0,0,[],0,0,1274,3279,3219,2689,13,6,194,1064,6,0,0,200,6,37,5,3284,5,3,1,0,,0,0
lynndylanhurley/devise_token_auth,1048283761,0,0,2021-11-09T07:40:21Z,2021-11-10T14:40:48Z,31.0075,NONE,0,10,128,0,23,10.25,14,18,-0.013888889,0.363888889,0,0,[],0,0,1274,3279,3219,2689,12,5,193,1064,6,0,0,200,6,3,0,3659,0,0,0,0,31.00722222,44,1
lynndylanhurley/devise_token_auth,1048279564,0,0,2021-11-09T07:34:28Z,2021-11-09T07:35:05Z,0.010277778,NONE,1,3,0,0,13.12,-22.21,0,0,0,0,0,0,[],0,0,1274,3279,3219,2689,11,4,193,1064,6,0,0,200,6,37,5,3284,2,0,1,0,,0,0
lynndylanhurley/devise_token_auth,1042082270,0,0,2021-11-02T09:41:05Z,2022-03-16T00:22:55Z,3206.697222,NONE,0,8,61,0,19.5,18.53,10,10,0.25,0.3125,0,0,[],0,0,1274,3273,3214,2682,13,6,196,1061,3,0,0,197,3,1,6,1552,0,0,0,0,,0,0
lynndylanhurley/devise_token_auth,1034526640,0,0,2021-10-24T22:12:46Z,2022-01-22T14:51:47Z,2152.650278,OWNER,1,6,0,0,16.87,-22.21,0,0,0,0,0,0,[],0,0,1273,3272,3211,2673,14,6,195,1061,3,398,0,197,3,40,236,4007,586,0,5,0,,0,0
lynndylanhurley/devise_token_auth,1023479031,0,0,2021-10-12T07:46:24Z,,None,NONE,0,4,100,1,29,20.3,16,6,-0.060714286,0.472619048,0,0,[],0,0,1272,3270,3207,2661,16,9,195,1061,4,0,0,197,4,7,20,3635,10,0,0,0,,0,0
