repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
maplibre/maplibre-gl-js,1090050427,0,1,2021-12-28T18:04:26Z,2022-01-02T17:12:42Z,119.1377778,CONTRIBUTOR,1,4,61,0,13.05,8.3,5,3,-0.3125,0.888888889,0,0,[],0,0,212,2799,2629,384,300,293,213,9710,203,52,49,319,17,124,55,2588,283,192,77,67,119.1377778,29,1
maplibre/maplibre-gl-js,1089358445,0,1,2021-12-27T16:52:25Z,2022-01-23T20:58:36Z,652.1030556,MEMBER,1,3,122,0,30.52,11.51,21,14,0.163762626,0.415937149,0,0,[],0,0,211,2795,2625,383,305,297,212,9710,203,112,79,319,17,55,30,882,1673,552,162,95,620.5758333,23,1
maplibre/maplibre-gl-js,1089295861,0,1,2021-12-27T15:01:34Z,2021-12-28T20:34:29Z,29.54861111,MEMBER,1,3,111,0,47.92,11.39,19,13,0.067694805,0.391919192,0,0,[],0,0,211,2794,2624,383,305,297,211,9710,203,112,79,319,17,55,30,882,1673,553,162,95,,0,0
maplibre/maplibre-gl-js,1089279101,0,1,2021-12-27T14:29:00Z,2022-01-02T10:54:13Z,140.4202778,MEMBER,1,3,111,0,34.35,11.39,19,13,0.067694805,0.391919192,0,0,[],0,0,211,2794,2624,383,304,296,210,9710,203,112,79,319,17,55,30,882,1671,551,162,95,,0,0
maplibre/maplibre-gl-js,1088784021,0,0,2021-12-26T14:36:20Z,2022-01-02T12:17:05Z,165.6791667,MEMBER,0,6,87,1,9.15,15.32,18,15,0.071428571,0.556150794,0,0,[],0,0,211,2792,2622,382,305,297,209,9710,205,112,80,319,17,55,30,881,1670,562,161,96,0.198611111,29,1
maplibre/maplibre-gl-js,1088504980,0,1,2021-12-24T22:06:53Z,2022-01-08T10:26:55Z,348.3338889,CONTRIBUTOR,1,5,0,0,11.92,-22.21,0,0,0,0,0,0,[],0,0,210,2786,2621,380,313,305,208,9710,211,52,49,319,18,124,55,2584,281,190,76,66,0.080277778,29,1
maplibre/maplibre-gl-js,1087065812,0,0,2021-12-22T18:10:54Z,2021-12-22T20:52:24Z,2.691666667,CONTRIBUTOR,1,18,79,0,9.8,12.58,9,5,-0.058712121,0.558922559,0,0,[],0,0,210,2778,2614,378,333,325,209,9709,224,2,2,319,18,2,0,22,40,40,4,4,2.383055556,30,3
maplibre/maplibre-gl-js,1086797609,0,0,2021-12-22T12:57:47Z,2021-12-22T20:52:48Z,7.916944444,CONTRIBUTOR,0,18,78,1,9.16,16.27,20,14,-0.05,0.25,0,0,[],0,0,210,2777,2613,378,333,325,208,9709,224,2,2,319,18,2,0,22,39,39,4,4,7.916944444,29,1
maplibre/maplibre-gl-js,1085707715,0,0,2021-12-21T11:01:56Z,2022-08-21T13:12:14Z,5834.171667,NONE,0,6,337,1,23.65,12.39,53,48,0.053327922,0.525229978,0,0,[],0,0,210,2773,2609,377,333,325,213,9706,221,0,0,318,17,4,5,1646,1,1,0,0,263.0836111,28,2
maplibre/maplibre-gl-js,1085356974,0,0,2021-12-21T01:55:43Z,2021-12-22T07:17:45Z,29.36722222,CONTRIBUTOR,1,8,113,0,13.7,11.21,15,14,0.059232955,0.467929293,0,0,[],0,0,210,2771,2608,377,332,324,212,9706,221,1,1,318,17,82,13,1526,3,3,1,1,3.826111111,31,3
maplibre/maplibre-gl-js,1083555837,0,1,2021-12-17T19:25:07Z,2022-01-09T20:58:02Z,553.5486111,MEMBER,1,3,134,0,13.12,11.28,21,15,0.183933081,0.550841751,0,0,[],0,0,210,2767,2604,373,339,330,211,9706,222,112,84,318,17,55,30,872,1646,727,158,99,82.29527778,31,1
maplibre/maplibre-gl-js,1083455453,0,1,2021-12-17T17:07:20Z,2021-12-17T18:29:31Z,1.369722222,MEMBER,1,3,114,0,42.12,11.57,20,13,0.067694805,0.391919192,0,0,[],0,0,210,2767,2604,373,338,329,213,9703,219,109,81,318,17,55,30,872,1644,744,158,99,0.086111111,31,1
maplibre/maplibre-gl-js,1083435964,0,1,2021-12-17T16:42:56Z,2021-12-17T18:30:53Z,1.799166667,MEMBER,1,3,114,0,40.15,11.57,20,13,0.067694805,0.391919192,0,0,[],0,0,210,2767,2604,373,337,328,212,9703,219,109,81,318,17,55,30,872,1643,743,158,99,0.08,31,1
maplibre/maplibre-gl-js,1083393423,0,0,2021-12-17T15:52:45Z,2021-12-21T14:20:20Z,94.45972222,CONTRIBUTOR,1,8,102,1,10.8,14.98,13,13,0.053977273,0.373905724,0,0,[],0,0,210,2767,2604,373,346,337,211,9703,219,0,0,318,17,109,14,4220,12,11,1,1,94.45972222,30,1
maplibre/maplibre-gl-js,1082493853,0,0,2021-12-16T18:03:29Z,,None,NONE,0,6,317,7,8.17,16.85,72,73,0.088362069,0.566954023,0,0,[],0,0,210,2763,2599,372,349,341,211,9703,224,0,0,318,18,2,0,238,1,1,0,0,5947.128056,2,0
maplibre/maplibre-gl-js,1081711229,0,0,2021-12-16T02:48:15Z,2022-02-04T08:56:50Z,1206.143056,NONE,0,9,23,2,13.83,53.72,16,11,0,0,0,0,[],0,0,210,2762,2598,372,349,341,210,9703,224,0,0,318,18,9,0,913,1,1,0,0,698.8427778,23,1
maplibre/maplibre-gl-js,1081402194,0,0,2021-12-15T19:09:27Z,2022-05-25T11:06:30Z,3855.950833,CONTRIBUTOR,0,7,113,3,4.94,16.46,21,14,-0.18,0.4225,0,0,[],0,0,210,2762,2598,371,349,341,209,9703,224,0,0,318,18,67,34,4851,0,0,0,0,25.015,29,1
maplibre/maplibre-gl-js,1080057412,0,0,2021-12-14T17:59:37Z,2022-03-15T07:41:04Z,2173.690833,MEMBER,1,2,164,0,10,10.36,19,17,0.053693182,0.333164983,0,0,[],0,0,209,2759,2595,370,354,346,208,9703,227,109,86,318,18,55,30,869,1626,797,157,102,714.635,23,14
maplibre/maplibre-gl-js,1079803291,0,0,2021-12-14T14:08:13Z,2022-01-20T20:45:39Z,894.6238889,CONTRIBUTOR,0,4,4,2,-4.36,134.85,3,2,0,0,0,0,[],0,0,209,2758,2594,370,355,347,208,9703,227,51,48,318,18,124,55,2574,281,195,75,66,632.3122222,23,0
maplibre/maplibre-gl-js,1078517673,0,0,2021-12-13T13:14:04Z,,None,NONE,0,7,10,1,13.17,22.42,0,1,0,0,0,0,[],0,0,209,2755,2591,369,357,350,209,9703,227,0,0,318,18,5,3,1385,0,0,0,0,4434.534722,2,4
maplibre/maplibre-gl-js,1077822981,0,0,2021-12-12T14:39:21Z,2021-12-14T14:36:40Z,47.95527778,CONTRIBUTOR,1,2,189,2,7.1,11.93,15,17,-0.005681818,0.415937149,0,0,[],0,0,209,2754,2590,368,357,350,208,9703,228,0,0,318,19,57,19,3202,40,34,2,2,1.055555556,29,13
maplibre/maplibre-gl-js,1077656670,0,1,2021-12-11T21:38:20Z,2021-12-17T17:26:45Z,139.8069444,MEMBER,1,3,117,0,28.55,11.34,21,14,0.067694805,0.391919192,0,0,[],0,0,209,2753,2589,367,357,350,210,9700,225,106,83,318,19,55,30,866,1611,811,151,97,120.9822222,25,0
maplibre/maplibre-gl-js,1077653227,0,1,2021-12-11T21:23:07Z,2021-12-11T21:39:02Z,0.265277778,MEMBER,1,3,114,0,30.52,11.57,20,13,0.067694805,0.391919192,0,0,[],0,0,209,2753,2589,367,356,349,211,9698,223,104,81,318,19,55,30,866,1610,810,151,97,0.076666667,28,1
maplibre/maplibre-gl-js,1077651919,0,1,2021-12-11T21:16:59Z,2021-12-11T21:27:36Z,0.176944444,MEMBER,1,3,114,0,24.72,11.57,20,13,0.067694805,0.391919192,0,0,[],0,0,209,2753,2589,367,355,348,210,9698,223,104,81,318,19,55,30,866,1609,809,151,97,0.076111111,28,1
maplibre/maplibre-gl-js,1077650202,0,1,2021-12-11T21:09:06Z,2021-12-11T21:26:51Z,0.295833333,MEMBER,1,3,114,0,28.55,11.57,20,13,0.067694805,0.391919192,0,0,[],0,0,209,2753,2589,367,354,347,209,9698,223,104,81,318,19,55,30,866,1608,808,151,97,0.095833333,28,1
