repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
mbleigh/acts-as-taggable-on,1087852118,0,0,2021/12/23 16:29,,None,NONE,0,6,7,1,12.05,59.57,2,2,0,0,0,0,[],0,0,816,2655,4781,5024,22,12,298,1093,0,0,0,166,0,7,1,3882,1,1,2,2,,0,0
mbleigh/acts-as-taggable-on,1078778263,0,0,2021/12/13 17:10,,None,NONE,0,9,186,1,37.67,21.28,35,19,0.094642857,0.692857143,0,0,[],0,0,815,2650,4776,5014,22,13,298,1093,0,0,0,166,0,46,327,3366,1,1,1,1,0.093055556,104,1
mbleigh/acts-as-taggable-on,1071568059,0,0,2021/12/5 21:56,2021/12/5 21:57,0.007777778,COLLABORATOR,1,5,14,0,15.4,6.97,0,2,0,0,0,0,[],0,0,813,2644,4769,5007,21,12,298,1093,0,243,0,166,0,237,406,3362,463,51,42,6,,0,0
mbleigh/acts-as-taggable-on,1071546622,0,0,2021/12/5 20:13,2021/12/5 21:49,1.6025,COLLABORATOR,1,10,0,0,10.82,-22.21,0,0,0,0,0,0,[],0,0,813,2644,4769,5007,20,11,298,1093,0,243,0,166,0,237,406,3362,456,44,41,5,,0,0
mbleigh/acts-as-taggable-on,1071543500,0,0,2021/12/5 19:57,2021/12/5 20:00,0.037777778,COLLABORATOR,1,4,12,1,14.5,28.47,0,2,0,0,0,0,[],0,0,813,2644,4769,5007,19,10,298,1093,0,243,0,166,0,237,406,3362,450,38,40,4,,0,0
mbleigh/acts-as-taggable-on,1063861661,0,0,2021/11/25 18:49,,None,NONE,0,5,147,1,11.92,17.06,17,23,0.149242424,0.488636364,0,0,[],0,0,811,2642,4768,4996,20,11,298,1093,0,0,0,166,0,88,22,3581,1,1,2,2,10.59166667,106,2
mbleigh/acts-as-taggable-on,1063745911,1,0,2021/11/25 15:55,,None,NONE,0,6,1,1,7.18,291,0,2,0,0,0,0,[],0,0,811,2642,4768,4996,19,11,298,1093,0,0,0,166,0,192,94,4830,3,1,2,1,246.0922222,104,0
mbleigh/acts-as-taggable-on,1059232150,1,0,2021/11/20 21:21,2022/1/6 0:55,1107.574167,NONE,0,17,179,3,3.22,11.41,28,222,0,0.366666667,0,0,[],0,0,811,2640,4768,4992,18,10,297,1093,0,0,0,166,0,20,2,3837,0,0,1,1,1002.430556,103,0
mbleigh/acts-as-taggable-on,1053766008,0,0,2021/11/15 15:03,2021/11/16 19:56,28.88638889,NONE,1,2,14,0,10,8.24,0,1,0,0,0,0,[],0,0,811,2638,4766,4986,18,9,297,1093,0,0,0,166,0,33,12,3398,2,1,1,1,28.88638889,105,1
mbleigh/acts-as-taggable-on,1048642064,0,1,2021/11/9 14:01,2021/11/9 14:05,0.068611111,COLLABORATOR,1,3,38,0,20.83,15.55,2,2,-0.0625,0.3875,0,0,[],0,0,810,2638,4766,4980,17,8,298,1093,0,243,0,166,0,237,406,3335,436,24,39,3,,0,0
mbleigh/acts-as-taggable-on,1048520223,0,0,2021/11/9 11:56,,None,COLLABORATOR,1,4,0,0,7.25,-22.21,0,0,0,0,0,0,[],0,0,810,2638,4766,4980,16,8,298,1093,0,243,0,166,0,237,406,3335,430,18,38,2,,0,0
mbleigh/acts-as-taggable-on,1048036637,0,1,2021/11/8 23:50,2021/11/9 0:27,0.619166667,COLLABORATOR,1,3,7,0,15.03,7.92,0,2,0,0,0,0,[],0,0,810,2637,4765,4980,15,7,301,1093,0,243,0,166,0,237,406,3335,415,3,37,1,,0,0
