repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
microsoft/rushstack,1090931400,0,0,2021-12-30T07:43:16Z,,None,NONE,0,14,306,3,9.45,13.55,82,48,0.015036232,0.364130435,0,0,[],0,0,247,2339,3447,1917,187,136,777,14849,676,0,0,170,17,173,10,1962,0,0,0,0,515.5863889,149,1
microsoft/rushstack,1090859481,0,0,2021-12-30T03:58:54Z,2021-12-31T01:49:01Z,21.83527778,MEMBER,1,20,50,0,7.95,9.92,6,3,-0.25,0.35,0,0,[],0,0,247,2339,3447,1917,186,135,776,14848,675,3456,250,170,17,51,48,3089,3619,483,493,55,,0,0
microsoft/rushstack,1090265082,0,0,2021-12-29T04:41:51Z,2022-01-20T19:22:29Z,542.6772222,NONE,0,12,210,4,8.92,22.31,41,55,0.095833333,0.234375,0,0,[],0,0,247,2335,3443,1916,185,134,776,14826,653,0,0,170,17,15,1,1598,5,5,1,1,542.6772222,148,0
microsoft/rushstack,1090243364,0,0,2021-12-29T03:24:30Z,2022-01-20T19:26:54Z,544.04,NONE,0,10,306,2,5.6,11.3,65,54,0.063405797,0.370652174,0,0,[],0,0,247,2335,3443,1916,184,133,775,14826,653,0,0,170,17,113,213,2393,1,1,0,0,544.04,147,0
microsoft/rushstack,1090029641,0,0,2021-12-28T17:19:12Z,,None,NONE,0,7,367,2,20.66,11.52,75,64,0.021373457,0.396149324,0,0,[],0,0,247,2334,3443,1915,183,133,775,14826,653,0,0,170,17,53,30,4180,6,0,2,0,0.105833333,159,2
microsoft/rushstack,1088729335,0,0,2021-12-26T09:06:40Z,2022-01-03T21:49:07Z,204.7075,MEMBER,1,13,73,0,12.17,15.3,6,6,-0.133333333,0.3,0,0,[],0,0,247,2319,3428,1913,184,133,774,14822,657,3432,226,170,17,51,48,3086,3590,458,492,54,,0,0
microsoft/rushstack,1088661896,0,0,2021-12-25T22:09:06Z,2022-01-03T20:53:39Z,214.7425,MEMBER,1,19,44,2,9.28,15.78,12,6,-0.0625,0.4375,0,0,[],0,0,247,2319,3428,1912,183,132,773,14818,653,3428,222,170,17,51,48,3085,3575,443,490,52,,0,0
microsoft/rushstack,1088546556,0,0,2021-12-25T04:54:29Z,2021-12-30T02:31:26Z,117.6158333,MEMBER,1,6,84,2,9.15,19.47,10,7,0.068571429,0.408571429,0,0,[],0,0,246,2319,3428,1912,182,131,775,14807,642,3423,217,170,17,51,48,3084,3549,417,490,52,113.8813889,156,0
microsoft/rushstack,1088431119,0,0,2021-12-24T15:37:34Z,2021-12-25T06:39:40Z,15.035,CONTRIBUTOR,1,14,34,0,4.52,10.71,11,3,0,0,0,0,[],0,0,246,2319,3428,1911,181,130,774,14807,642,6,6,170,17,19,3,1808,46,31,9,6,,0,0
microsoft/rushstack,1087436675,0,0,2021-12-23T07:03:17Z,2021-12-25T06:39:40Z,47.60638889,NONE,0,13,211,2,23.77,13.19,41,52,0.07875,0.305,0,0,[],0,0,245,2312,3421,1910,184,129,773,14805,643,0,0,170,18,4,1,1840,2,2,1,1,,0,0
microsoft/rushstack,1086627756,0,0,2021-12-22T09:29:12Z,,None,NONE,0,9,106,0,8.03,8,6,5,0.205803571,0.58478836,0,0,[],0,0,245,2310,3419,1909,185,131,773,14805,655,0,0,170,19,15,1,1591,1,1,0,0,12.91583333,160,7
microsoft/rushstack,1086255918,0,0,2021-12-21T21:48:57Z,2022-01-20T23:30:23Z,721.6905556,CONTRIBUTOR,0,8,121,0,7.21,8.81,3,8,0.082628968,0.525753968,0,0,[],0,0,244,2308,3417,1908,188,132,772,14804,674,4,4,170,20,19,3,1805,43,28,8,5,1504.3475,134,2
microsoft/rushstack,1086224911,0,0,2021-12-21T20:57:26Z,2021-12-25T06:29:59Z,81.5425,MEMBER,1,4,38,1,40.6,17.56,7,2,0.075,0.425,0,0,[],0,0,244,2308,3417,1908,187,131,771,14804,674,579,65,170,20,10,16,3242,898,149,70,8,,0,0
