repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
omniauth/omniauth,1090516632,0,0,2021-12-29T13:20:08Z,,None,NONE,0,4,59,2,14.5,18.39,23,11,0,0.3,0,0,[],0,0,330,2088,7425,4291,3,2,100,1421,1,0,0,155,1,10,0,2863,0,0,0,0,1176.901944,27,0
omniauth/omniauth,1065314687,0,0,2021-11-28T12:08:15Z,,None,NONE,0,5,192,3,17.72,31.65,72,45,-0.237114846,0.570354809,0,0,[],0,0,325,2065,7403,4260,2,2,100,1421,1,0,0,155,1,5,0,3134,1,1,0,0,,0,0
omniauth/omniauth,1052303176,0,0,2021-11-12T18:45:04Z,2021-11-12T19:51:06Z,1.100555556,NONE,0,1,0,0,-39.61,-22.21,0,0,0,0,0,0,[],0,0,321,2057,7396,4244,1,1,100,1421,1,0,0,155,1,2,1,114,0,0,0,0,,0,0
omniauth/omniauth,1044778858,0,0,2021-11-04T13:45:16Z,2022-01-25T18:17:01Z,1972.529167,CONTRIBUTOR,1,5,10,0,-12.57,-2.59,0,2,0,0,0,0,[],0,0,319,2050,7390,4236,1,1,100,1421,1,1,1,155,1,126,59,4013,2,2,0,0,1971.680556,26,0
omniauth/omniauth,964771514,0,0,2021-08-10T09:20:29Z,2021-08-10T09:38:02Z,0.2925,NONE,0,5,259,0,14.24,19.97,77,60,-0.148358586,0.268434343,0,0,[],0,0,310,2012,7345,4150,2,0,100,1420,0,0,0,154,0,46,44,3353,0,0,0,0,0.183055556,27,2
omniauth/omniauth,944425030,0,0,2021-07-14T13:22:49Z,,None,NONE,1,9,66,0,18.3,11.33,0,2,0.275,0.566666667,0,0,[],0,0,308,1999,7335,4123,4,0,100,1420,0,0,0,154,0,20,1,787,2,2,0,0,,0,0
omniauth/omniauth,933851520,0,0,2021-06-30T15:47:38Z,,None,NONE,1,7,32,2,13.17,28.69,9,5,-0.2,0.1,0,0,[],0,0,305,1990,7326,4109,4,0,100,1420,4,0,0,154,1,33,8,3038,1,1,0,0,,0,0
omniauth/omniauth,871247200,0,0,2021-04-29T17:01:17Z,,None,NONE,0,6,296,1,20.75,26.66,111,66,-0.112794613,0.353030303,0,0,[],0,0,300,1936,7272,4047,14,8,101,1420,13,0,0,154,3,28,2,3674,1,0,0,0,9845.024444,23,0
omniauth/omniauth,870339635,0,0,2021-04-28T20:22:20Z,,None,NONE,0,7,8,1,15.67,29,0,2,0.4,0.4,0,0,[],0,0,300,1934,7270,4046,13,8,101,1420,13,0,0,154,3,54,21,3988,1,1,0,0,,0,0
omniauth/omniauth,859111418,0,0,2021-04-15T17:49:20Z,,None,NONE,0,8,123,1,22.4,20,27,15,-0.0875,0.43125,0,0,[],0,0,298,1922,7258,4033,17,10,101,1420,17,0,0,154,4,46,16,4473,1,1,0,0,,0,0
