repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
open-mmlab/mmsegmentation,1091050686,0,0,2021-12-30T11:38:01Z,2022-01-14T07:19:24Z,355.6897222,COLLABORATOR,1,4,58,0,8.7,11.24,8,3,0.355555556,0.438888889,0,0,[],0,0,962,3090,2860,564,243,233,337,330,71,10,10,66,18,20,22,1250,89,88,14,14,280.9822222,21,0
open-mmlab/mmsegmentation,1090958382,1,0,2021-12-30T08:42:17Z,2021-12-30T09:27:59Z,0.761666667,COLLABORATOR,1,4,5,0,2.9,7.28,0,2,0,0,0,0,[],0,0,962,3090,2860,564,243,233,337,329,70,47,34,66,18,13,79,1841,925,455,78,41,,0,0
open-mmlab/mmsegmentation,1090910467,1,0,2021-12-30T06:47:06Z,2021-12-30T08:22:49Z,1.595277778,NONE,0,1,0,0,82.2,-22.21,0,0,0,0,0,0,[],0,0,960,3089,2859,564,242,232,337,329,70,0,0,66,18,74,1,1029,0,0,0,0,1.595277778,23,1
open-mmlab/mmsegmentation,1090260963,0,0,2021-12-29T04:27:29Z,2022-01-11T04:27:24Z,311.9986111,COLLABORATOR,1,4,70,1,5.8,15.7,10,6,0.329166667,0.491666667,0,0,[],0,0,960,3082,2852,562,244,234,338,329,74,10,10,66,18,20,22,1249,85,84,13,13,0.188333333,26,1
open-mmlab/mmsegmentation,1089889760,1,0,2021-12-28T13:16:23Z,2022-01-22T12:27:51Z,599.1911111,COLLABORATOR,1,5,57,2,18.88,18.48,12,4,-0.020833333,0.595833333,0,0,[],0,0,957,3079,2849,562,246,236,337,329,74,47,37,66,18,13,79,1839,915,449,77,41,327.4663889,20,1
open-mmlab/mmsegmentation,1089870330,1,0,2021-12-28T12:43:50Z,,None,NONE,0,11,92,0,10.01,9.18,26,22,-0.131818182,0.577272727,0,0,[],0,0,957,3078,2848,562,245,236,337,329,74,0,0,66,18,27,62,1789,1,1,0,0,22.00888889,22,4
open-mmlab/mmsegmentation,1089582317,1,0,2021-12-28T03:17:42Z,2021-12-29T07:04:25Z,27.77861111,NONE,0,6,37,4,9.15,84.96,6,16,-0.2125,0.55,0,0,[],0,0,951,3071,2841,561,247,237,336,329,74,0,0,66,18,13,0,1261,1,1,0,0,3.276111111,24,3
open-mmlab/mmsegmentation,1089284435,1,0,2021-12-27T14:39:32Z,2021-12-27T16:43:39Z,2.068611111,NONE,0,3,28,0,11.15,6.41,4,5,-0.625,0.5,0,0,[],0,0,951,3065,2836,561,247,237,337,329,76,0,0,66,19,2,2,2350,0,0,0,0,2.068611111,24,1
open-mmlab/mmsegmentation,1088752713,1,0,2021-12-26T11:33:41Z,2021-12-26T17:22:50Z,5.819166667,COLLABORATOR,0,1,226,0,53.2,38.17,78,65,-0.15,0.423333333,0,0,[],0,0,948,3053,2828,560,252,242,339,329,77,0,0,66,20,7,11,808,10,4,4,2,5.819166667,25,1
open-mmlab/mmsegmentation,1088561128,1,0,2021-12-25T07:23:14Z,2021-12-26T17:26:03Z,34.04694444,NONE,0,8,390,1,4.31,27.11,85,100,0.059090909,0.509090909,0,0,[],0,0,948,3047,2822,559,255,244,339,329,79,0,0,66,20,13,27,535,1,1,0,0,0.646666667,26,1
open-mmlab/mmsegmentation,1088534592,1,0,2021-12-25T02:50:34Z,2021-12-26T17:26:12Z,38.59388889,NONE,0,5,48,0,20.04,14.92,2,1,-0.266666667,0.4,0,0,[],0,0,946,3045,2820,558,254,243,338,329,79,0,0,66,20,3,0,697,27,27,10,10,2.892222222,26,1
open-mmlab/mmsegmentation,1088205752,0,0,2021-12-24T07:22:17Z,2022-01-24T11:46:48Z,748.4086111,COLLABORATOR,1,7,58,0,9.87,11.65,8,3,0.355555556,0.438888889,0,0,[],0,0,945,3040,2815,558,255,244,339,327,79,0,0,66,22,3,3,57,2,2,0,0,0.001111111,28,3
open-mmlab/mmsegmentation,1088191040,1,0,2021-12-24T06:49:59Z,2021-12-24T15:30:00Z,8.666944444,COLLABORATOR,1,6,30,1,2.37,16.49,5,4,0,0.25,0,0,[],0,0,945,3040,2815,558,255,244,338,327,79,45,37,66,22,13,79,1834,901,460,75,40,,0,0
open-mmlab/mmsegmentation,1088166198,1,0,2021-12-24T05:47:15Z,2021-12-24T10:00:18Z,4.2175,COLLABORATOR,1,6,7,0,8.17,10.74,0,2,0,0,0,0,[],0,0,944,3040,2815,558,254,243,340,327,79,45,37,66,22,13,79,1834,896,455,75,40,2.443611111,26,2
open-mmlab/mmsegmentation,1088117253,0,0,2021-12-24T03:16:56Z,2022-03-01T02:16:08Z,1606.986667,CONTRIBUTOR,1,10,146,3,13.72,20,25,24,0.103571429,0.51547619,0,0,[],0,0,944,3040,2815,557,253,242,339,327,79,7,0,66,22,39,267,2979,32,1,8,0,1183.419722,14,1
open-mmlab/mmsegmentation,1088103418,0,0,2021-12-24T02:33:57Z,2021-12-24T02:47:02Z,0.218055556,NONE,0,6,31,0,15.88,11.08,0,2,0.139583333,0.670833333,0,0,[],0,0,944,3040,2815,557,253,242,339,327,79,0,0,66,22,5,20,1574,0,0,0,0,0.216666667,25,1
open-mmlab/mmsegmentation,1088063077,0,0,2021-12-24T00:36:45Z,2021-12-29T13:26:48Z,132.8341667,NONE,0,8,72,0,14.31,4.41,5,12,0.875,0.95,0,0,[],0,0,943,3038,2813,557,252,241,338,327,79,0,0,66,22,26,1,1029,103,29,27,7,128.5944444,21,1
open-mmlab/mmsegmentation,1087661892,1,0,2021-12-23T12:13:12Z,2021-12-27T16:44:05Z,100.5147222,NONE,0,9,171,0,16.38,27.91,32,78,-0.07962963,0.448148148,0,0,[],0,0,942,3035,2811,557,251,240,338,326,78,0,0,66,22,0,1,58,2,2,0,0,93.17638889,22,1
open-mmlab/mmsegmentation,1086799491,1,0,2021-12-22T13:00:16Z,2021-12-24T06:12:39Z,41.20638889,NONE,0,3,26,0,-4.29,3.15,4,2,0.1,0.6,0,0,[],0,0,939,3028,2807,556,257,245,339,324,77,0,0,65,21,9,1,2574,0,0,0,0,24.33055556,23,2
open-mmlab/mmsegmentation,1085396184,1,0,2021-12-21T03:21:46Z,2021-12-22T07:19:51Z,27.96805556,NONE,0,1,15,0,-10.61,7.65,0,1,0.33,0.58,0,0,[],0,0,931,3018,2799,554,264,252,339,324,80,0,0,65,22,59,0,1113,7,0,0,0,1.886944444,24,1
