repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
pinpoint-apm/pinpoint,1091010856,1,1,2021-12-30T10:21:58Z,2021-12-30T12:41:21Z,2.323055556,MEMBER,1,6,0,0,5.27,-22.21,0,0,0,0,0,0,[],0,0,401,1293,11794,2628,281,246,384,12218,157,537,4,101,10,13,13,3137,158,27,419,9,0.299166667,84,1
pinpoint-apm/pinpoint,1090952289,0,1,2021-12-30T08:28:47Z,2021-12-31T01:38:11Z,17.15666667,MEMBER,1,3,0,0,22.75,-22.21,0,0,0,0,0,0,[],0,0,401,1293,11794,2627,281,245,383,12218,157,4423,63,101,10,15,123,2788,1685,365,1812,110,0.296111111,84,1
pinpoint-apm/pinpoint,1090943264,0,1,2021-12-30T08:09:55Z,2021-12-31T01:38:11Z,17.47111111,MEMBER,0,4,3,0,24.65,15.03,0,0,0,0,1,1,['Continuous Integration'],0,0,401,1293,11794,2627,280,244,384,12218,157,4423,63,101,10,15,123,2788,1681,361,1812,110,,0,0
pinpoint-apm/pinpoint,1090936548,0,0,2021-12-30T07:54:56Z,2022-03-09T01:32:13Z,1649.621389,CONTRIBUTOR,1,5,110,0,2.64,12.82,18,12,0.083333333,0.191666667,0,0,[],0,0,401,1293,11794,2627,279,243,383,12218,158,82,9,101,10,95,22,3478,280,29,150,11,0.033055556,84,2
pinpoint-apm/pinpoint,1090509268,1,1,2021-12-29T13:07:37Z,2021-12-29T13:26:49Z,0.32,MEMBER,1,4,0,0,11.6,-22.21,0,0,0,0,0,0,[],0,0,400,1288,11789,2627,280,244,384,12217,157,1156,31,101,10,9,71,2583,770,101,1132,44,0.312222222,85,1
pinpoint-apm/pinpoint,1090504871,0,0,2021-12-29T13:00:02Z,,None,NONE,0,9,407,2,9.31,39.73,51,263,0.1,0.31,0,0,[],0,0,400,1288,11789,2627,279,244,384,12217,157,0,0,101,10,10,0,2497,2,2,0,0,2156.504722,67,0
pinpoint-apm/pinpoint,1090373618,0,0,2021-12-29T09:07:55Z,2021-12-30T08:10:59Z,23.05111111,MEMBER,1,3,0,0,28.55,-22.21,0,0,0,0,0,0,[],0,0,399,1288,11789,2626,278,243,384,12217,157,4423,63,101,10,15,123,2787,1680,360,1811,109,0.286111111,84,1
pinpoint-apm/pinpoint,1090346871,0,0,2021-12-29T08:17:50Z,,None,NONE,0,8,20,0,7.9,6.18,1,3,0,0,0,0,[],0,0,399,1288,11789,2626,277,243,384,12217,157,0,0,101,10,22,0,2856,6,6,1,1,42.21805556,80,1
pinpoint-apm/pinpoint,1090270659,1,1,2021-12-29T05:01:50Z,2022-01-03T07:24:38Z,122.38,CONTRIBUTOR,1,4,1,0,10.15,-22.21,0,0,0,0,0,0,[],0,0,398,1284,11785,2626,276,242,383,12217,157,800,4,101,10,9,11,2583,221,32,552,15,0.251944444,83,1
pinpoint-apm/pinpoint,1089685513,1,1,2021-12-28T07:56:21Z,2022-04-20T08:29:11Z,2712.547222,CONTRIBUTOR,0,4,1,1,8.7,24.2,0,1,0,0,2,1,"['enhancement', 'module:plugin']",1,0,397,1279,11780,2625,276,242,383,12217,157,800,4,101,10,9,11,2583,219,30,551,14,,0,0
pinpoint-apm/pinpoint,1089280629,0,0,2021-12-27T14:31:51Z,2021-12-29T04:49:07Z,38.28777778,NONE,0,15,29,0,9.6,4.85,3,6,0.1,0.2,0,0,[],0,0,395,1278,11779,2625,278,243,382,12217,158,0,0,101,10,0,0,620,1,1,0,0,13.53305556,82,1
pinpoint-apm/pinpoint,1089127154,0,0,2021-12-27T10:07:19Z,2021-12-27T10:09:20Z,0.033611111,MEMBER,1,5,0,0,7.28,-22.21,0,0,0,0,0,0,[],0,0,395,1278,11779,2625,279,244,382,12217,159,4423,65,101,10,15,123,2785,1671,357,1807,110,,0,0
pinpoint-apm/pinpoint,1089046414,0,0,2021-12-27T07:58:59Z,2021-12-30T07:51:53Z,71.88166667,CONTRIBUTOR,1,4,110,0,1.45,12.82,19,12,0.083333333,0.191666667,0,0,[],0,0,393,1273,11775,2624,279,244,385,12216,160,82,9,101,10,95,22,3475,273,25,149,11,2.386111111,82,3
pinpoint-apm/pinpoint,1088960857,0,0,2021-12-27T04:44:10Z,2021-12-27T08:07:15Z,3.384722222,MEMBER,1,5,0,0,7.28,-22.21,0,0,0,0,0,0,[],0,0,393,1273,11775,2624,283,248,384,12216,163,4422,66,101,10,15,123,2785,1668,362,1807,110,0.451666667,83,1
pinpoint-apm/pinpoint,1088934946,0,0,2021-12-27T03:31:54Z,2021-12-27T04:01:54Z,0.5,MEMBER,1,3,0,0,34.35,-22.21,0,0,0,0,0,0,[],0,0,393,1272,11774,2624,282,247,385,12215,162,4421,65,101,10,15,123,2785,1660,354,1807,110,0.264722222,83,1
pinpoint-apm/pinpoint,1088929986,0,0,2021-12-27T03:17:54Z,2021-12-27T03:43:19Z,0.423611111,MEMBER,1,4,0,0,11.6,-22.21,0,0,0,0,0,0,[],0,0,393,1272,11774,2624,281,246,384,12215,162,4421,65,101,10,15,123,2785,1659,353,1807,110,0.396944444,83,1
pinpoint-apm/pinpoint,1088177249,0,0,2021-12-24T06:15:39Z,,None,CONTRIBUTOR,0,6,129,1,11.07,11.35,12,11,0.054545455,0.461818182,0,0,[],0,0,391,1267,11770,2621,290,255,385,12214,175,82,9,101,10,95,22,3472,272,27,148,11,284.1497222,77,0
pinpoint-apm/pinpoint,1088121037,0,0,2021-12-24T03:28:33Z,,None,NONE,0,12,51,4,13.97,25.4,8,11,0.114090909,0.720909091,0,0,[],0,0,391,1266,11769,2621,289,255,385,12214,175,0,0,101,10,28,0,2180,1,1,7,0,,0,0
pinpoint-apm/pinpoint,1087554101,0,0,2021-12-23T09:53:47Z,2021-12-27T03:17:03Z,89.38777778,MEMBER,1,4,0,0,11.6,-22.21,0,0,0,0,0,0,[],0,0,391,1265,11768,2621,289,255,384,12214,175,4420,68,101,10,15,123,2781,1655,355,1806,115,16.04055556,81,1
pinpoint-apm/pinpoint,1086649757,0,0,2021-12-22T09:54:59Z,2021-12-27T08:38:48Z,118.7302778,NONE,0,10,29,0,9.08,11.03,8,6,0,0.4,0,0,[],0,0,390,1261,11764,2620,296,261,383,12214,180,0,0,101,10,95,6,3066,7,5,2,1,,0,0
pinpoint-apm/pinpoint,1086557171,0,0,2021-12-22T08:03:32Z,2021-12-22T08:05:25Z,0.031388889,MEMBER,1,5,0,0,2.52,-22.21,0,0,0,0,0,0,[],0,0,390,1259,11763,2619,295,260,388,12213,179,4419,69,101,10,15,123,2780,1645,359,1798,107,,0,0
pinpoint-apm/pinpoint,1086553714,0,0,2021-12-22T07:58:53Z,2021-12-22T08:45:00Z,0.768611111,MEMBER,1,3,0,0,7.32,-22.21,0,0,0,0,0,0,[],0,0,390,1259,11763,2619,294,259,387,12213,179,4419,69,101,10,15,123,2780,1643,357,1798,107,0.544722222,81,1
pinpoint-apm/pinpoint,1086481008,1,1,2021-12-22T06:02:06Z,2022-04-22T08:46:32Z,2906.740556,MEMBER,0,4,21,3,14.5,40.34,2,4,0.166666667,0.466666667,1,1,['module:flink'],0,0,389,1259,11763,2619,293,258,386,12213,179,537,4,101,10,13,13,3128,155,24,418,8,,0,0
pinpoint-apm/pinpoint,1086471857,1,0,2021-12-22T05:41:54Z,,None,NONE,0,2,61,1,4.2,40.78,5,28,-0.9375,1,0,0,[],0,0,389,1259,11763,2619,292,258,386,12213,179,0,0,101,10,1,0,70,8,8,4,4,191.5605556,78,0
pinpoint-apm/pinpoint,1086419141,1,1,2021-12-22T03:43:03Z,2021-12-22T03:59:58Z,0.281944444,CONTRIBUTOR,1,6,1,0,7.18,-22.21,0,0,0,0,2,1,"['enhancement', 'module:agent']",1,0,389,1258,11762,2619,291,257,394,12211,177,799,3,101,10,9,11,2576,212,23,547,10,,0,0
