repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
projectkudu/kudu,1087100331,0,0,2021-12-22T19:04:03Z,,None,NONE,0,6,105,0,15.88,10.7,22,12,0.001190476,0.305952381,0,0,[],0,0,616,2290,2824,3835,15,5,661,3314,6,0,0,84,2,39,0,915,1,1,0,0,,0,0
projectkudu/kudu,1086176931,0,0,2021-12-21T19:42:02Z,,None,NONE,0,19,357,0,10.21,42.28,46,130,0.002083333,0.231666667,0,0,[],0,0,616,2290,2824,3834,14,5,661,3314,6,0,0,84,2,10,4,3892,1,1,0,0,3040.242778,213,0
projectkudu/kudu,1081613317,0,0,2021-12-15T23:36:53Z,,None,NONE,0,12,105,5,12.75,31.71,19,20,-0.035227273,0.185909091,0,0,[],0,0,616,2288,2822,3828,14,5,661,3314,6,0,0,84,2,14,0,550,1,1,0,0,,0,0
projectkudu/kudu,1075849348,0,0,2021-12-09T17:58:11Z,,None,NONE,0,3,188,2,16.95,13.55,24,19,0.079783951,0.363205467,0,0,[],0,0,616,2286,2820,3822,14,5,661,3314,6,0,0,84,2,32,1,1710,3,1,0,0,,0,0
projectkudu/kudu,1073951246,0,0,2021-12-08T02:46:56Z,2021-12-08T06:51:26Z,4.075,NONE,0,3,32,0,51.75,11.95,2,2,-0.291666667,0.541666667,0,0,[],0,0,616,2282,2816,3820,13,4,661,3314,6,0,0,84,2,51,2,1331,1,1,0,0,,0,0
projectkudu/kudu,1070968980,0,0,2021-12-03T21:08:11Z,,None,NONE,0,9,467,1,9.31,96.57,87,572,-0.047321937,0.457207977,0,0,[],0,0,614,2280,2814,3816,14,4,661,3314,6,0,0,84,2,12,4,2739,0,0,0,0,,0,0
projectkudu/kudu,1064129580,0,0,2021-11-26T06:02:30Z,,None,NONE,0,5,60,0,29.32,9.57,5,3,0.527857143,0.537714286,0,0,[],0,0,613,2274,2809,3809,15,4,661,3314,6,0,0,84,2,13,5,1376,14,1,6,1,10.66222222,216,2
projectkudu/kudu,1063791929,0,0,2021-11-25T16:53:35Z,,None,NONE,0,7,150,3,26.46,23.19,42,20,-0.113464187,0.376475797,0,0,[],0,0,613,2274,2809,3808,15,5,661,3314,6,0,0,84,2,2,0,359,0,0,0,0,,0,0
projectkudu/kudu,1048032912,0,0,2021-11-08T23:42:41Z,2021-11-09T01:35:24Z,1.878611111,CONTRIBUTOR,1,6,7,0,7.18,10.74,0,0,0,0,0,0,[],0,0,613,2263,2799,3791,20,5,662,3313,8,1,1,84,3,35,2,2624,6,3,2,1,0.431111111,216,2
projectkudu/kudu,1046530476,0,0,2021-11-06T15:14:25Z,2021-11-13T15:13:17Z,167.9811111,NONE,0,10,263,0,17.2,11.03,19,15,0.12962963,0.415329218,0,0,[],0,0,613,2261,2798,3789,19,4,661,3313,8,0,0,84,3,15,2,2054,1,1,0,0,167.9811111,215,0
projectkudu/kudu,1045260862,0,0,2021-11-04T22:16:51Z,2021-11-05T00:06:21Z,1.825,CONTRIBUTOR,1,7,0,0,32.26,-22.21,0,0,0,0,0,0,[],0,0,613,2261,2798,3787,18,3,661,3312,7,0,0,83,2,35,2,2620,4,1,1,0,,0,0
projectkudu/kudu,1043560583,0,0,2021-11-03T13:01:48Z,,None,NONE,0,5,67,0,8.44,20.39,12,14,0.016666667,0.333333333,0,0,[],0,0,613,2261,2798,3786,18,3,661,3312,7,0,0,83,2,19,5,2860,1,1,0,0,43.48972222,215,2
projectkudu/kudu,1033648262,0,0,2021-10-22T14:30:52Z,,None,NONE,0,11,174,3,10.54,28.16,44,33,-0.05952381,0.135714286,0,0,[],0,0,613,2258,2788,3774,20,3,661,3311,7,0,0,83,2,34,51,3430,1,0,0,0,1.323055556,215,4
