repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
radix-ui/primitives,1089466030,0,0,2021-12-27T20:50:25Z,2022-01-13T18:03:21Z,405.2155556,CONTRIBUTOR,0,8,80,1,23.85,16.34,21,7,0.0625,0.476041667,0,0,[],0,0,82,2480,2577,556,130,114,203,860,82,0,0,8,4,30,13,1166,5,5,2,2,331.7677778,26,0
radix-ui/primitives,1087671682,0,0,2021-12-23T12:26:05Z,2021-12-23T14:17:54Z,1.863611111,CONTRIBUTOR,1,2,135,0,33.2,7.65,21,10,0.227604167,0.56875,0,0,[],0,0,82,2442,2540,551,135,118,203,860,84,0,0,8,4,30,13,1161,3,3,1,1,1.256388889,26,2
radix-ui/primitives,1086820853,0,0,2021-12-22T13:25:30Z,2022-01-12T22:43:10Z,513.2944444,CONTRIBUTOR,1,7,7,0,15.67,21.47,0,1,0,0,0,0,[],0,0,81,2429,2527,551,134,117,202,860,84,192,31,8,4,13,361,4371,2935,483,350,51,,0,0
radix-ui/primitives,1085152976,0,0,2021-12-20T19:59:46Z,2021-12-21T13:04:01Z,17.07083333,NONE,0,6,59,1,20.75,14.45,6,6,-0.176767677,0.541666667,0,0,[],0,0,80,2416,2516,549,135,118,202,860,86,0,0,8,4,10,6,4191,1,1,0,0,17.07083333,25,1
radix-ui/primitives,1085028552,0,0,2021-12-20T17:17:52Z,2022-05-13T08:50:15Z,3447.539722,NONE,0,5,181,1,17.72,19.87,46,32,-0.150985863,0.671130952,0,0,[],0,0,80,2416,2516,549,134,117,201,860,86,0,0,8,4,10,4,1816,1,1,0,0,0.55,25,2
radix-ui/primitives,1083266412,0,0,2021-12-17T13:33:39Z,2021-12-20T11:50:32Z,70.28138889,COLLABORATOR,1,4,35,0,18.85,11.77,1,2,-0.4,0.4,0,0,[],0,0,80,2388,2488,546,136,119,201,859,85,285,11,8,4,9,223,3564,3311,255,246,9,,0,0
radix-ui/primitives,1082535317,1,0,2021-12-16T18:45:17Z,2022-04-14T14:43:19Z,2851.967222,COLLABORATOR,1,4,153,0,26.1,9.54,11,1,0.192699725,0.537534435,1,1,['Type: Technical Debt'],0,0,78,2378,2478,545,136,119,200,859,87,285,11,8,4,9,223,3563,3304,249,245,8,,0,0
radix-ui/primitives,1081917277,1,1,2021-12-16T08:41:46Z,,None,NONE,0,8,221,2,10.11,13.85,38,19,0.019444444,0.586805556,0,0,[],0,0,78,2374,2474,544,135,119,200,859,91,0,0,8,4,82,1814,3285,1,1,0,0,7.66,24,2
radix-ui/primitives,1080093018,0,0,2021-12-14T18:40:24Z,2021-12-15T21:53:47Z,27.22305556,NONE,0,10,135,5,7.34,17.73,26,26,0.0496875,0.425,0,0,[],0,0,78,2363,2463,543,138,122,201,859,95,0,0,8,4,43,27,1301,1,1,0,0,3.34,24,5
radix-ui/primitives,1079878652,0,0,2021-12-14T15:12:30Z,2021-12-14T15:26:42Z,0.236666667,CONTRIBUTOR,1,5,2,0,35.12,-4.51,0,0,0,0,0,0,[],0,0,78,2359,2458,543,137,121,203,857,93,191,33,8,4,13,361,4363,2911,499,348,52,,0,0
radix-ui/primitives,1079716713,0,0,2021-12-14T12:47:37Z,2021-12-14T12:55:46Z,0.135833333,COLLABORATOR,1,5,0,0,25.84,-22.21,0,0,0,0,0,0,[],0,0,78,2358,2457,542,136,120,204,855,91,284,12,8,4,9,223,3561,3291,258,244,8,,0,0
radix-ui/primitives,1079673753,0,0,2021-12-14T12:03:22Z,2021-12-14T12:04:10Z,0.013333333,CONTRIBUTOR,1,4,0,0,18.85,-22.21,0,0,0,0,0,0,[],0,0,78,2356,2455,542,135,119,205,855,91,191,33,8,4,13,361,4363,2904,503,348,52,0.016666667,27,1
radix-ui/primitives,1079542841,0,0,2021-12-14T09:56:27Z,2021-12-14T15:26:42Z,5.504166667,NONE,0,11,105,2,15.81,17.71,33,23,0.048153409,0.356060606,0,0,[],0,0,78,2353,2452,542,135,119,204,855,93,0,0,8,4,174,56,4362,1,1,1,1,5.533888889,24,4
radix-ui/primitives,1079519847,0,0,2021-12-14T09:33:05Z,2021-12-14T09:39:16Z,0.103055556,COLLABORATOR,1,6,0,0,15.88,-22.21,0,0,0,0,0,0,[],0,0,78,2353,2452,542,134,118,204,853,91,30,10,8,4,19,88,2451,844,90,48,8,,0,0
radix-ui/primitives,1079203341,0,0,2021-12-14T01:22:15Z,2021-12-14T12:10:39Z,10.80666667,NONE,0,5,93,2,11.92,20.24,45,24,0.153125,0.479166667,0,0,[],0,0,78,2351,2450,542,134,118,203,853,91,0,0,8,4,96,76,3756,2,1,0,0,10.80666667,25,2
radix-ui/primitives,1079055707,0,0,2021-12-13T21:36:36Z,2021-12-14T12:55:09Z,15.30916667,CONTRIBUTOR,1,3,0,0,16.95,-22.21,0,0,0,0,0,0,[],0,0,78,2351,2450,542,133,117,202,853,91,191,34,8,4,13,361,4363,2901,537,346,50,14.63361111,24,2
radix-ui/primitives,1078745130,0,0,2021-12-13T16:38:08Z,2021-12-13T16:42:55Z,0.079722222,NONE,0,14,223,1,16.12,12.29,40,24,0.046022727,0.556797138,0,0,[],0,0,78,2348,2447,542,133,117,203,851,89,0,0,8,4,27,37,1595,0,0,0,0,0.078611111,25,1
radix-ui/primitives,1078612235,0,0,2021-12-13T14:41:05Z,2021-12-13T17:42:12Z,3.018611111,CONTRIBUTOR,1,5,14,0,15.4,6.55,0,1,0,0,0,0,[],0,0,78,2346,2445,542,132,116,202,851,89,190,33,8,4,13,361,4362,2880,532,346,50,,0,0
radix-ui/primitives,1077216169,0,0,2021-12-10T20:46:37Z,2021-12-10T21:41:14Z,0.910277778,CONTRIBUTOR,1,4,0,0,21.75,-22.21,0,0,0,0,0,0,[],0,0,77,2333,2435,539,136,120,203,849,89,189,33,8,4,13,361,4360,2870,584,341,49,,0,0
radix-ui/primitives,1077131086,0,0,2021-12-10T18:44:32Z,2021-12-10T19:18:13Z,0.561388889,CONTRIBUTOR,1,8,4,2,15.91,239.25,9,6,0,0,0,0,[],0,0,77,2332,2434,539,135,119,204,845,85,187,31,8,4,13,361,4360,2854,568,341,49,,0,0
radix-ui/primitives,1077085372,0,0,2021-12-10T17:43:00Z,2021-12-10T19:08:42Z,1.428333333,CONTRIBUTOR,1,9,34,2,13.83,25.38,2,6,-0.03125,0.4125,0,0,[],0,0,77,2331,2433,539,134,118,203,845,85,187,31,8,4,13,361,4360,2850,564,341,49,,0,0
radix-ui/primitives,1076964699,0,0,2021-12-10T15:28:44Z,2021-12-10T16:11:12Z,0.707777778,CONTRIBUTOR,1,5,34,0,29.32,9.06,0,1,0.05,0.311111111,0,0,[],0,0,77,2329,2431,539,133,117,203,843,83,186,30,8,4,13,361,4360,2839,553,341,49,,0,0
radix-ui/primitives,1076818483,0,0,2021-12-10T12:54:09Z,2021-12-11T13:01:22Z,24.12027778,NONE,0,6,135,0,19.77,10.47,23,23,-0.0125,0.555,0,0,[],0,0,77,2328,2430,538,132,116,202,843,83,0,0,8,4,4,10,3738,1,1,0,0,0.093611111,24,3
radix-ui/primitives,1076681287,0,0,2021-12-10T10:18:46Z,2021-12-10T10:42:38Z,0.397777778,CONTRIBUTOR,1,6,42,0,7.32,7.6,4,2,0.166666667,0.833333333,0,0,[],0,0,77,2328,2430,538,131,115,204,839,79,184,28,8,4,13,361,4359,2830,544,341,49,,0,0
radix-ui/primitives,1076231248,0,0,2021-12-10T00:48:40Z,,None,NONE,0,8,146,2,15.15,16.18,38,12,0.070694444,0.41957265,0,0,[],0,0,77,2325,2427,538,130,115,204,839,79,0,0,8,4,30,44,2790,0,0,0,0,2798.099722,10,0
radix-ui/primitives,1075935930,0,0,2021-12-09T19:42:14Z,2021-12-14T16:03:47Z,116.3591667,NONE,0,7,158,1,16.54,15.41,42,27,0.044368687,0.408080808,0,0,[],0,0,77,2324,2425,538,129,114,203,839,79,0,0,8,4,45,34,4031,0,0,0,0,0.865277778,23,4
radix-ui/primitives,1075866411,0,0,2021-12-09T18:18:40Z,2021-12-10T10:42:37Z,16.39916667,NONE,0,13,77,0,21.23,17.44,40,23,0.175,0.6,0,0,[],0,0,77,2324,2425,538,128,113,202,839,79,0,0,8,4,98,10,1287,2,2,0,0,1.457222222,23,4
radix-ui/primitives,1075721727,0,0,2021-12-09T15:46:26Z,2021-12-10T10:42:22Z,18.93222222,CONTRIBUTOR,1,5,73,0,22.36,6.43,2,5,0.4,1,0,0,[],0,0,77,2324,2425,538,128,113,201,839,79,184,28,8,4,13,361,4359,2824,540,339,47,0.878055556,23,1
radix-ui/primitives,1075682055,1,1,2021-12-09T15:09:40Z,2022-05-20T11:03:53Z,3883.903611,CONTRIBUTOR,0,6,13,1,35.25,30.16,2,2,0,0,1,1,['debt'],0,0,77,2323,2424,538,127,112,200,839,79,184,28,8,4,13,361,4358,2822,538,339,47,3715.267778,8,0
radix-ui/primitives,1075520289,0,0,2021-12-09T12:31:47Z,,None,NONE,0,6,28,0,16.87,7.04,4,5,0.390625,0.2,0,0,[],0,0,77,2318,2418,537,126,112,200,838,78,0,0,8,4,4,0,2110,2,2,0,0,3.4025,22,2
radix-ui/primitives,1073326139,0,0,2021-12-07T13:01:15Z,2021-12-07T16:30:57Z,3.495,CONTRIBUTOR,1,8,19,0,13.01,5.63,4,1,0,0,0,0,[],0,0,77,2302,2404,535,130,116,201,836,80,182,26,8,4,13,361,4356,2809,567,338,48,,0,0
radix-ui/primitives,1072382229,0,1,2021-12-06T17:02:55Z,,None,CONTRIBUTOR,0,4,112,1,8.7,13.76,6,5,0.225,0.515277778,4,1,"['debt', 'Priority: Medium', 'Difficulty: Good First Issue', 'Resolution: Backlog']",1,0,77,2296,2398,535,131,118,204,832,76,180,24,8,4,13,361,4356,2795,606,337,48,,0,0
radix-ui/primitives,1071432097,0,0,2021-12-05T11:11:22Z,2022-04-05T14:36:10Z,2907.413333,NONE,0,6,314,1,17.85,19.58,100,50,0.002205882,0.685784314,0,0,[],0,0,77,2283,2386,533,136,123,203,832,84,0,0,8,4,0,1,473,1,1,0,0,29.98944444,23,2
radix-ui/primitives,1070506826,0,0,2021-12-03T11:46:13Z,2021-12-03T13:43:24Z,1.953055556,CONTRIBUTOR,1,4,30,0,7.25,9.79,2,3,0.5,0.625,0,0,[],0,0,77,2274,2376,531,135,122,208,828,80,178,22,8,4,13,361,4352,2766,622,336,50,,0,0
radix-ui/primitives,1070490631,0,0,2021-12-03T11:25:09Z,2021-12-03T12:44:16Z,1.318611111,NONE,0,16,288,1,16.53,15.02,42,33,0.138320707,0.484101431,0,0,[],0,0,77,2274,2376,531,134,121,207,828,80,0,0,8,4,9,19,3363,0,0,0,0,1.318611111,25,1
radix-ui/primitives,1069922356,0,0,2021-12-02T19:47:25Z,2021-12-03T13:43:24Z,17.93305556,NONE,0,9,65,2,5.42,22.02,29,9,0.075,0.76,0,0,[],0,0,77,2273,2375,531,133,120,206,828,80,0,0,8,4,32,100,3064,2,1,1,0,18.13083333,24,1
radix-ui/primitives,1069578986,0,0,2021-12-02T13:56:42Z,2021-12-03T13:57:13Z,24.00861111,CONTRIBUTOR,1,3,33,0,18.92,9.51,4,2,-0.1875,0.631944444,0,0,[],0,0,77,2267,2368,531,133,120,205,828,80,178,22,8,4,13,361,4351,2765,645,335,50,,0,0
radix-ui/primitives,1068706279,0,0,2021-12-01T17:47:53Z,2021-12-03T13:57:13Z,44.15555556,NONE,0,4,145,2,21.75,12.73,39,25,0.13828125,0.538541667,0,0,[],0,0,77,2259,2360,530,132,119,204,828,80,0,0,8,4,31,34,3688,1,1,0,0,20.03722222,23,4
radix-ui/primitives,1068619897,0,0,2021-12-01T16:32:31Z,2021-12-07T10:09:31Z,137.6166667,CONTRIBUTOR,1,7,203,3,12.36,14.32,17,12,0.096611722,0.444230769,0,0,[],0,0,77,2259,2360,530,131,118,203,828,80,178,22,8,4,13,361,4351,2733,616,334,50,,0,0
radix-ui/primitives,1067398177,0,0,2021-11-30T15:54:12Z,2021-11-30T20:04:25Z,4.170277778,CONTRIBUTOR,1,6,43,2,18.78,23.25,8,5,0.055555556,0.444444444,0,0,[],0,0,76,2246,2347,529,131,118,204,826,78,177,21,8,4,13,361,4350,2706,593,333,49,161.6638889,21,0
radix-ui/primitives,1065926439,0,0,2021-11-29T11:29:35Z,2021-11-29T14:01:04Z,2.524722222,COLLABORATOR,1,4,5,0,30.45,11.92,0,0,0,0,0,0,[],0,0,76,2240,2341,527,130,117,204,824,76,282,14,8,4,9,223,3546,3207,261,243,10,,0,0
radix-ui/primitives,1064809237,0,0,2021-11-26T21:23:01Z,,None,COLLABORATOR,0,6,125,0,11.07,22.5,27,21,-0.345833333,0.494444444,3,1,"['debt', 'Difficulty: Medium', 'Resolution: Backlog']",0,0,75,2217,2319,525,130,118,205,824,76,282,14,8,4,9,223,3543,3203,259,242,9,,0,0
radix-ui/primitives,1063171247,0,0,2021-11-25T05:23:26Z,2021-12-07T16:30:57Z,299.1252778,NONE,0,9,176,2,14.47,13.25,50,30,0.070052083,0.501041667,0,0,[],0,0,75,2207,2310,523,130,118,205,822,76,0,0,8,4,2,1,2842,1,1,0,0,8.363611111,21,2
