repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
rails/rails,1091329732,0,0,2021/12/30 22:30,2021/12/30 23:19,0.809166667,CONTRIBUTOR,1,8,65,0,8.66,10.9,4,4,-0.032575758,0.28655303,0,0,[],0,0,21471,41226,40000,5011,665,622,969,82558,872,1,1,4316,159,15,11,4849,5,1,2,1,0.813333333,161,1
rails/rails,1091278828,0,0,2021/12/30 19:51,2022/1/30 6:40,730.8302778,NONE,0,11,200,5,20.05,25.62,28,29,0.113888889,0.534920635,0,0,[],0,0,21469,41224,40000,5011,665,621,968,82557,871,0,0,4315,158,50,7,4809,1,1,1,1,730.8302778,108,0
rails/rails,1091227119,0,0,2021/12/30 17:33,2022/1/4 16:37,119.0619444,NONE,0,5,6,0,6.12,16.87,1,0,0,0,0,0,[],0,0,21469,41221,40000,5011,664,620,967,82557,871,0,0,4315,158,13,2,39,1,1,1,1,119.0616667,152,0
rails/rails,1091138685,0,0,2021/12/30 14:29,2022/4/6 18:04,2331.588889,CONTRIBUTOR,1,10,102,0,7.34,7.72,9,5,0.028571429,0.253571429,0,0,[],0,0,21468,41220,40000,5011,669,623,967,82557,877,16,0,4315,160,108,37,4862,119,4,37,3,2.530277778,161,2
rails/rails,1090944442,0,0,2021/12/30 8:12,2021/12/30 14:28,6.270277778,NONE,0,12,218,1,11.3,11.95,36,21,-0.085705742,0.343992557,0,0,[],0,0,21465,41215,40000,5011,671,625,967,82557,878,0,0,4315,161,12,247,3647,0,0,1,1,6.270277778,162,1
rails/rails,1090913292,0,0,2021/12/30 6:55,2021/12/31 2:08,19.21472222,CONTRIBUTOR,1,8,56,2,23.2,28.2,7,12,-0.15,0.25,1,1,['docs'],0,0,21465,41212,40000,5011,670,624,966,82557,878,33,2,4315,161,112,8,2090,83,3,41,3,19.22055556,158,1
rails/rails,1090863314,0,0,2021/12/30 4:11,2022/1/2 2:58,70.7825,CONTRIBUTOR,1,9,40,0,18.3,11.89,7,1,0.075,0.441666667,1,1,['activerecord'],0,0,21465,41212,40000,5011,669,623,966,82557,878,0,0,4315,161,26,2,2700,3,3,2,2,70.80583333,155,3
rails/rails,1090860059,0,0,2021/12/30 4:01,2022/1/2 2:58,70.95611111,CONTRIBUTOR,0,7,196,1,17.35,12.36,25,20,-0.064880952,0.328571429,2,1,"['activerecord', 'attached PR']",0,0,21465,41212,40000,5011,668,622,965,82557,878,0,0,4315,161,26,2,2700,2,2,1,1,,0,0
rails/rails,1090726806,0,0,2021/12/29 20:10,,None,NONE,0,5,144,2,35.12,11.89,30,12,0.086904762,0.451020408,1,1,['security'],0,0,21462,41207,40000,5010,673,628,966,82556,881,0,0,4315,163,26,304,1441,1,1,1,1,,0,0
rails/rails,1090588714,0,0,2021/12/29 15:20,2021/12/29 15:46,0.436111111,CONTRIBUTOR,1,5,32,1,25.84,25.3,5,5,-0.075,0.775,0,0,[],0,0,21461,41203,40000,5010,675,630,968,82554,881,1,0,4315,164,33,4,4541,2,0,2,1,0.436111111,160,1
rails/rails,1090435152,0,0,2021/12/29 10:52,2022/4/11 15:35,2476.714167,NONE,0,4,125,1,53.65,17.91,24,10,0,0.266666667,0,0,[],0,0,21460,41200,40000,5010,676,631,968,82554,881,0,0,4315,164,6,3,2077,5,5,2,2,2140.256944,52,0
rails/rails,1090428527,0,0,2021/12/29 10:40,2021/12/29 23:18,12.63222222,CONTRIBUTOR,1,14,20,1,8.63,31.12,3,3,-0.05,0.1,1,1,['docs'],0,0,21460,41200,40000,5010,675,630,967,82554,881,8,0,4315,164,21,551,4605,67,1,11,1,12.63222222,158,1
rails/rails,1090225499,0,0,2021/12/29 2:20,2022/1/5 21:27,187.1177778,NONE,0,8,260,15,34.76,37.38,111,79,0.112962963,0.398148148,0,0,[],0,0,21459,41193,40000,5010,677,632,966,82554,881,0,0,4315,164,30,9,3295,0,0,1,1,187.1177778,139,0
rails/rails,1090203287,0,0,2021/12/29 0:56,2021/12/29 12:22,11.44805556,NONE,0,5,117,2,10.76,21.54,36,21,0.0125,0.516666667,0,0,[],0,0,21459,41193,40000,5009,676,631,965,82554,881,0,0,4315,164,23,4,1749,0,0,1,1,11.38416667,157,2
rails/rails,1090138919,0,0,2021/12/28 21:34,2022/1/5 21:17,191.7186111,CONTRIBUTOR,1,7,64,0,16.54,13.46,3,3,-0.127380952,0.777380952,2,1,"['activerecord', 'railties']",0,0,21459,41192,40000,5009,676,631,965,82553,880,1,0,4315,164,93,25,4467,22,0,6,1,191.7186111,139,0
rails/rails,1090101879,0,0,2021/12/28 20:03,2022/5/19 16:40,3404.608889,MEMBER,1,5,43,1,16.56,21.61,3,4,-0.129166667,0.275,0,0,[],0,0,21459,41191,40000,5009,675,630,966,82552,880,364,47,4315,164,87,81,3889,1957,228,217,21,0.876944444,157,3
rails/rails,1090019929,0,0,2021/12/28 17:00,2022/4/4 18:10,2329.174722,NONE,1,7,23,0,6.56,9.55,0,2,-0.0625,0.25,1,1,['activerecord'],0,0,21458,41188,40000,5009,674,629,966,82552,882,0,0,4315,165,68,99,4560,13,1,6,1,2160.5275,51,0
rails/rails,1090018364,0,0,2021/12/28 16:56,2021/12/28 17:14,0.295833333,NONE,0,12,142,5,8.92,26.2,28,30,-0.031363636,0.334343434,0,0,[],0,0,21458,41188,40000,5009,673,628,965,82552,882,0,0,4315,165,62,25,3625,1,1,1,1,0.293611111,157,1
rails/rails,1090007700,0,0,2021/12/28 16:35,2022/1/5 22:47,198.2108333,MEMBER,1,8,71,0,9.35,17.35,3,3,-0.0375,0.26875,1,1,['railties'],0,0,21458,41188,40000,5009,672,627,965,82551,881,363,47,4315,165,87,81,3889,1945,221,216,20,,0,0
rails/rails,1089962890,0,0,2021/12/28 15:16,,None,NONE,1,3,300,1,32.43,11.82,56,31,0.074508478,0.445203523,1,1,['actionpack'],0,0,21458,41188,40000,5009,672,628,965,82551,881,0,0,4315,165,67,13,3247,12,2,5,2,338.7580556,125,0
rails/rails,1089957920,0,0,2021/12/28 15:08,2021/12/28 16:35,1.448611111,CONTRIBUTOR,1,7,181,2,14.04,16.81,33,25,0.220089286,0.595634921,0,0,[],0,0,21458,41188,40000,5009,671,627,964,82551,881,23,2,4315,165,97,17,4157,13,1,26,2,1.451944444,155,1
rails/rails,1089628127,0,0,2021/12/28 5:45,2022/1/19 13:35,535.8327778,NONE,0,24,285,2,8.42,11.2,26,21,0.058065954,0.409729649,0,0,[],0,0,21454,41180,40000,5009,675,630,967,82549,880,0,0,4315,165,44,3,1429,2,2,1,1,535.8327778,117,1
rails/rails,1089488172,0,0,2021/12/27 21:47,,None,NONE,1,6,186,2,12.98,14.49,30,22,0.22875,0.599259259,1,1,['docs'],0,0,21452,41174,40000,5008,675,631,967,82548,879,0,0,4315,165,62,73,2617,2,1,1,1,3213.753333,39,0
rails/rails,1089463115,0,0,2021/12/27 20:41,2022/3/2 23:09,1562.458056,CONTRIBUTOR,1,8,25,1,9.35,39.83,7,3,-0.375,0.625,1,1,['activerecord'],0,0,21450,41174,40000,5008,674,630,966,82548,879,0,0,4315,165,22,13,3609,2,1,2,2,1562.458056,67,0
rails/rails,1089457835,0,0,2021/12/27 20:27,2022/7/19 19:04,4894.619722,CONTRIBUTOR,1,7,60,4,16.54,34.76,15,9,-0.133333333,0.509259259,0,0,[],0,0,21450,41174,40000,5008,673,629,965,82548,879,0,0,4315,165,22,13,3609,1,0,1,1,0.159722222,159,2
rails/rails,1089450773,0,0,2021/12/27 20:11,2021/12/28 8:16,12.07277778,MEMBER,1,6,9,2,11.07,52.38,4,2,0,0,1,1,['docs'],0,0,21450,41174,40000,5008,672,628,964,82548,879,94,14,4315,165,197,84,4040,1527,266,125,17,12.07138889,156,1
rails/rails,1089361900,0,0,2021/12/27 17:00,2022/5/31 4:03,3707.042222,CONTRIBUTOR,1,7,240,2,9.06,17.1,52,28,0.152227633,0.521909572,1,1,['actionmailbox'],0,0,21448,41171,40000,5008,675,631,964,82547,878,1,0,4315,165,62,21,2363,6,1,2,1,1829.638333,59,6
rails/rails,1089242250,0,0,2021/12/27 13:24,2022/1/6 6:22,232.9625,MEMBER,1,9,30,3,0.25,36.99,10,11,-0.316666667,0.3,0,0,[],0,0,21446,41171,40000,5008,674,630,963,82547,880,250,12,4315,165,187,99,4639,1126,42,404,20,12.77861111,156,4
rails/rails,1089170955,0,0,2021/12/27 11:19,2021/12/27 11:50,0.519722222,NONE,0,3,101,0,36.32,16.11,13,10,0.14,0.575,0,0,[],0,0,21445,41170,40000,5008,674,630,963,82547,881,0,0,4315,166,16,7,2802,1,1,1,1,,0,0
rails/rails,1088924928,0,0,2021/12/27 3:06,2022/4/11 19:50,2536.745556,CONTRIBUTOR,0,7,150,2,4.07,21.07,25,32,-0.021428571,0.542857143,0,0,[],0,0,21444,41169,40000,5008,673,629,965,82543,880,2,0,4315,166,37,233,3987,35,1,12,1,204.85,141,6
rails/rails,1088863349,0,0,2021/12/26 23:23,2021/12/28 22:12,46.80944444,CONTRIBUTOR,1,9,49,0,9.31,10.38,6,3,0.25,0.283333333,0,0,[],0,0,21444,41169,40000,5007,672,628,964,82542,879,0,0,4314,165,15,4,1958,25,1,17,3,0.122222222,160,7
rails/rails,1088858099,0,0,2021/12/26 22:47,2021/12/27 9:53,11.09222222,NONE,0,6,73,2,9.15,16.85,17,13,-0.06,0.32,0,0,[],0,0,21443,41168,40000,5007,671,627,963,82542,879,0,0,4314,165,156,32,3482,1,1,1,1,11.09222222,157,2
rails/rails,1088793688,0,0,2021/12/26 15:29,2021/12/26 15:35,0.096111111,CONTRIBUTOR,1,4,159,1,11.6,14.14,30,19,0.220089286,0.595634921,1,1,['docs'],0,0,21443,41164,40000,5007,677,633,966,82538,881,22,1,4314,165,97,17,4155,12,0,25,1,,0,0
rails/rails,1088743600,0,0,2021/12/26 10:33,2021/12/30 4:59,90.43361111,NONE,0,6,343,0,30.38,60.67,66,169,-0.018181818,0.291245791,0,0,[],0,0,21441,41160,40000,5007,680,636,965,82537,882,0,0,4314,165,0,0,124,1,1,1,1,64.59972222,148,2
rails/rails,1088705750,0,0,2021/12/26 6:03,2022/1/5 20:54,254.8588889,CONTRIBUTOR,1,13,80,0,27.77,12.85,24,16,0.03,0.617777778,1,1,['activerecord'],0,0,21441,41159,40000,5007,679,635,965,82536,881,2,1,4314,165,92,12,1928,4,1,2,1,,0,0
rails/rails,1088684745,0,0,2021/12/26 2:11,2021/12/26 8:16,6.085277778,MEMBER,1,8,34,4,6.55,33.56,15,10,0.2,0.333333333,1,1,['docs'],0,0,21441,41159,40000,5006,680,636,964,82535,881,250,12,4314,165,187,99,4638,1125,41,403,19,31.20166667,156,2
rails/rails,1088654420,0,0,2021/12/25 20:49,2022/1/6 22:08,289.3113889,NONE,0,6,143,0,7.18,57.97,51,123,0.072727273,0.380519481,0,0,[],0,0,21441,41159,40000,5006,680,636,964,82533,879,0,0,4314,165,0,6778,4974,0,0,279,4,273.8936111,129,9
rails/rails,1088633524,1,0,2021/12/25 17:42,2021/12/26 16:35,22.88305556,MEMBER,1,5,67,0,29.32,7.09,1,3,0.21,0.365,0,0,[],0,0,21441,41157,40000,5006,679,635,963,82533,880,361,47,4314,165,87,81,3886,1937,228,215,19,1.7175,159,2
rails/rails,1088573317,0,0,2021/12/25 9:12,2022/9/29 7:35,6670.381944,NONE,0,10,133,2,7.28,15.81,53,24,0.03125,0.325,0,0,[],0,0,21440,41154,40000,5006,679,635,963,82533,881,0,0,4314,166,192,105,4006,125,0,35,1,1999.529722,54,0
rails/rails,1088538966,0,0,2021/12/25 3:34,2021/12/25 13:17,9.714722222,NONE,0,6,212,2,8.17,12.45,27,22,-0.133333333,0.264814815,0,0,[],0,0,21439,41153,40000,5006,678,634,965,82531,880,0,0,4314,166,20,8,4487,21,13,7,4,0.353611111,162,2
rails/rails,1088534974,0,0,2021/12/25 2:55,2021/12/25 3:13,0.3025,CONTRIBUTOR,1,19,31,1,11.16,14.79,3,3,-0.166666667,0.333333333,0,0,[],0,0,21439,41153,40000,5006,678,634,965,82530,879,33,2,4314,166,112,8,2085,81,1,40,2,0.314444444,162,1
rails/rails,1088495807,0,0,2021/12/24 20:56,2021/12/25 5:32,8.593333333,CONTRIBUTOR,1,9,74,2,11.22,19.06,8,14,-0.015625,0.3375,1,1,['activerecord'],0,0,21439,41151,40000,5005,677,633,964,82529,878,34,3,4314,166,49,62,2997,201,12,67,4,,0,0
rails/rails,1088465753,0,0,2021/12/24 17:53,2021/12/25 5:39,11.76527778,MEMBER,1,7,6,1,36.37,25.65,2,1,0,0,1,1,['activerecord'],0,0,21439,41148,40000,5005,676,632,964,82526,875,92,13,4314,166,197,84,4037,1512,267,124,19,,0,0
rails/rails,1088465281,0,0,2021/12/24 17:50,2021/12/24 17:54,0.062777778,CONTRIBUTOR,1,7,44,0,36.37,31.55,13,24,-0.033333333,0.183333333,1,1,['activerecord'],0,0,21439,41148,40000,5005,675,631,963,82526,875,33,2,4314,166,49,62,2997,199,10,66,3,,0,0
