repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
revel/revel,1043291448,0,0,2021-11-03T09:35:38Z,2022-03-01T05:43:26Z,2828.13,CONTRIBUTOR,1,3,15,1,32.43,22.77,1,3,0.136363636,0.454545455,0,0,[],0,0,1254,9408,12265,3617,9,9,114,1630,2,2,1,132,2,2,2,3557,16,2,5,0,2828.103333,32,0
revel/revel,1043231708,0,0,2021-11-03T08:55:41Z,2022-03-01T05:43:48Z,2828.801944,CONTRIBUTOR,0,4,20,0,47.85,10.76,6,3,1,0.3,0,0,[],0,0,1253,9408,12265,3617,8,8,113,1629,1,1,0,132,1,2,2,3557,15,1,5,0,0.671388889,37,3
revel/revel,1041107674,0,0,2021-11-01T12:13:44Z,2021-11-09T07:17:07Z,187.0563889,NONE,0,11,93,1,3.17,23.1,10,39,0,0.55,0,0,[],0,0,1253,9407,12264,3615,7,7,112,1629,1,0,0,132,1,6,0,21,0,0,0,0,,0,0
revel/revel,1033468261,0,0,2021-10-22T11:16:24Z,2022-03-06T16:27:12Z,3245.18,NONE,1,2,5,0,1.3,6.12,0,1,0,0,0,0,[],0,0,1253,9405,12252,3605,6,6,111,1629,1,0,0,132,1,124,17,2873,0,0,0,0,,0,0
revel/revel,1027640326,1,0,2021-10-15T17:13:47Z,2022-04-12T06:58:21Z,4285.742778,NONE,0,3,15,2,24.72,65.28,4,5,0,0,1,1,['resolved'],0,0,1253,9404,12246,3598,5,5,110,1628,0,0,0,132,0,25,13,1703,0,0,0,0,,0,0
revel/revel,1021673907,0,0,2021-10-09T10:35:25Z,2022-03-05T16:26:24Z,3533.849722,NONE,0,7,36,1,8.24,20.63,12,4,0.136363636,0.454545455,0,0,[],0,0,1253,9403,12240,3592,4,4,109,1628,0,0,0,132,0,9,7,1289,0,0,0,0,3533.849722,29,0
revel/revel,1017254217,0,0,2021-10-06T02:13:13Z,2021-10-06T06:53:04Z,4.664166667,NONE,0,4,27,0,10.15,9.39,3,3,0,0,0,0,[],0,0,1253,9402,12230,3588,3,3,109,1628,0,0,0,132,0,1,0,1714,3,0,2,0,,0,0
revel/revel,996756183,1,0,2021-09-15T07:36:14Z,2022-03-05T16:28:57Z,4112.878611,NONE,0,9,43,1,24.73,26.17,4,19,0,0,0,0,[],0,0,1249,9375,12204,3568,4,4,108,1628,0,0,0,132,0,1,0,34,1,1,0,0,3355.656667,31,0
revel/revel,988315091,0,0,2021-09-04T15:29:42Z,2021-09-04T19:09:49Z,3.668611111,NONE,0,4,87,1,8.7,18.3,21,24,-0.04040404,0.272727273,0,0,[],0,0,1247,9355,12185,3557,4,4,108,1628,0,0,0,132,0,159,143,4821,1,1,0,0,3.672777778,33,1
revel/revel,979061826,1,0,2021-08-25T12:02:57Z,2022-03-05T17:12:05Z,4613.152222,NONE,0,7,27,0,8.24,4.78,0,3,0,0,0,0,[],0,0,1246,9345,12171,3547,3,3,107,1628,0,0,0,132,0,28,0,714,1,1,0,0,4613.152222,28,0
revel/revel,936372410,0,0,2021-07-04T04:08:43Z,2022-02-13T03:35:47Z,5375.451111,NONE,0,4,0,0,4.35,-15.81,0,0,0,0,0,0,[],0,0,1240,9249,12082,3494,3,3,106,1628,0,0,0,132,0,30,0,480,1,1,0,0,5375.450278,29,0
revel/revel,935036854,0,0,2021-07-01T16:53:17Z,2022-03-05T17:14:14Z,5928.349167,NONE,0,10,67,0,9.66,9.67,23,14,0,0,0,0,[],0,0,1239,9246,12079,3492,2,2,105,1628,0,0,0,132,0,48,27,4242,1,1,0,0,5928.349167,27,0
revel/revel,915401632,0,0,2021-06-08T19:37:30Z,2022-02-13T03:36:51Z,5983.989167,NONE,0,4,35,0,7.25,22.18,15,6,0,0,0,0,[],0,0,1238,9218,12054,3469,3,3,104,1628,0,0,0,132,0,4,0,1365,0,0,0,0,5983.989167,27,0
