repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
runatlantis/atlantis,1091296490,0,0,2021-12-30T20:41:55Z,2022-01-04T18:30:07Z,117.8033333,NONE,0,9,377,3,11.86,20,79,47,0.032447723,0.553351113,1,1,['bug'],1,0,672,4051,4206,1423,114,95,559,1976,59,0,0,178,20,1,2,3131,2,2,0,0,140.7130556,160,0
runatlantis/atlantis,1091125339,0,0,2021-12-30T14:05:39Z,2021-12-30T16:01:45Z,1.935,MEMBER,1,2,4,0,1.3,5.8,1,0,0,0,0,0,[],0,0,672,4050,4205,1422,113,94,563,1974,57,121,26,178,19,249,293,3564,891,166,119,20,,0,0
runatlantis/atlantis,1091087647,0,0,2021-12-30T12:53:44Z,2021-12-30T12:59:01Z,0.088055556,MEMBER,1,5,33,10,7.28,108.21,11,16,0,0.1,0,0,[],0,0,672,4050,4205,1422,113,94,566,1970,54,120,25,176,17,249,293,3564,876,154,119,20,,0,0
runatlantis/atlantis,1090675101,0,0,2021-12-29T18:07:19Z,2022-02-09T18:44:41Z,1008.622778,CONTRIBUTOR,1,8,0,0,13.01,-22.21,0,0,0,0,0,0,[],0,0,672,4046,4201,1421,113,94,565,1970,56,2,0,176,17,29,9,1195,22,6,3,1,21.90027778,165,1
runatlantis/atlantis,1089291138,0,0,2021-12-27T14:52:25Z,2022-01-05T16:16:28Z,217.4008333,CONTRIBUTOR,1,7,73,1,12.36,13.58,2,4,0.05,0.61,0,0,[],0,0,671,4039,4194,1419,115,94,564,1970,56,2,1,176,17,118,51,3964,9,6,2,1,202.315,163,0
runatlantis/atlantis,1089202211,0,0,2021-12-27T12:12:52Z,2021-12-30T14:01:54Z,73.81722222,CONTRIBUTOR,1,7,403,11,14.57,28.66,51,55,0.065972222,0.428703704,2,1,"['dependencies', 'go']",0,0,671,4039,4194,1419,115,94,563,1970,56,84,10,176,17,0,0,985,235,17,90,10,72.77361111,165,0
runatlantis/atlantis,1088402317,0,0,2021-12-24T14:18:16Z,2021-12-30T12:56:28Z,142.6366667,CONTRIBUTOR,1,5,26,0,3.8,4.16,1,2,-0.083333333,0.145833333,0,0,[],0,0,671,4030,4187,1416,116,94,562,1970,58,0,0,176,18,129,65,4560,2,1,0,0,142.6338889,166,0
runatlantis/atlantis,1086949284,0,0,2021-12-22T15:39:02Z,2021-12-30T16:01:45Z,192.3786111,NONE,0,6,174,4,11.07,16.22,14,26,0.183825266,0.449439197,1,1,['bug'],1,0,670,4024,4181,1414,116,94,564,1969,58,0,0,175,18,83,26,3222,2,0,0,0,190.3925,164,1
runatlantis/atlantis,1086256851,0,0,2021-12-21T21:50:34Z,2021-12-21T23:45:48Z,1.920555556,NONE,1,5,92,0,8.44,9.53,5,2,0.09,0.14,0,0,[],0,0,669,4021,4178,1414,115,93,566,1967,56,0,0,173,16,59,43,4009,2,2,1,1,1.920555556,171,1
runatlantis/atlantis,1085764907,0,0,2021-12-21T12:08:11Z,2021-12-21T23:55:56Z,11.79583333,CONTRIBUTOR,1,10,0,0,22.36,-22.21,0,0,0,0,0,0,[],0,0,668,4020,4177,1413,116,94,565,1967,59,0,0,173,17,13,19,4007,1,1,0,0,,0,0
runatlantis/atlantis,1084722058,0,0,2021-12-20T12:16:18Z,2021-12-20T17:17:52Z,5.026111111,CONTRIBUTOR,1,7,273,5,9.58,24.25,45,37,0.137152778,0.353472222,2,1,"['dependencies', 'go']",0,0,667,4020,4177,1412,117,95,565,1966,58,83,11,173,17,0,0,978,233,17,89,10,,0,0
runatlantis/atlantis,1084662644,0,0,2021-12-20T11:13:33Z,2022-01-13T11:35:56Z,576.3730556,NONE,0,3,265,3,34.35,12.41,14,16,0.117592593,0.393518519,0,0,[],0,0,667,4020,4177,1412,116,94,564,1966,58,0,0,173,17,42,89,3950,1,0,0,0,576.3730556,155,0
runatlantis/atlantis,1083957216,0,0,2021-12-18T22:22:05Z,2022-07-12T16:14:10Z,4937.868056,NONE,1,7,106,1,6.56,13.41,5,5,-0.123611111,0.340277778,0,0,[],0,0,667,4019,4176,1411,119,97,563,1966,58,0,0,173,17,19,0,1915,2,2,1,1,93.64694444,166,0
runatlantis/atlantis,1083745081,0,0,2021-12-18T04:38:40Z,2021-12-18T18:09:34Z,13.515,MEMBER,1,3,0,0,5.35,-22.21,0,0,0,0,0,0,[],0,0,666,4019,4176,1410,118,96,563,1965,57,119,26,173,17,249,293,3552,860,156,118,21,,0,0
runatlantis/atlantis,1082957561,0,0,2021-12-17T07:14:42Z,2021-12-30T16:01:45Z,320.7841667,NONE,0,4,108,0,18.85,11.48,18,13,0.1,0.283333333,0,0,[],0,0,666,4015,4172,1409,118,96,564,1961,54,0,0,173,17,0,0,2137,2,1,0,0,320.8502778,162,0
runatlantis/atlantis,1082597509,0,0,2021-12-16T20:03:13Z,2022-08-26T04:57:30Z,6056.904722,NONE,0,8,254,0,23.16,9.93,6,11,0.039427438,0.433767952,0,0,[],0,0,666,4015,4172,1408,117,95,563,1961,54,0,0,173,17,51,17,1495,0,0,0,0,697.1511111,154,0
runatlantis/atlantis,1082563936,0,0,2021-12-16T19:20:16Z,2021-12-17T19:44:40Z,24.40666667,MEMBER,1,2,13,0,1.3,9.5,0,0,0,0,0,0,[],0,0,666,4015,4172,1408,118,96,562,1961,54,115,23,173,17,249,293,3551,837,136,116,19,,0,0
runatlantis/atlantis,1082537162,0,0,2021-12-16T18:47:40Z,,None,NONE,0,11,86,0,9.49,9.69,1,4,0.235,0.405,0,0,[],0,0,666,4015,4172,1408,117,96,562,1961,54,0,0,173,17,8,4,3495,5,1,2,0,699.3255556,153,1
runatlantis/atlantis,1082219730,0,0,2021-12-16T13:49:48Z,2021-12-16T14:43:12Z,0.89,CONTRIBUTOR,1,6,0,0,16.87,-22.21,0,0,0,0,0,0,[],0,0,666,4012,4169,1408,118,97,562,1960,53,1,1,173,17,50,15,4136,9,9,1,1,0.893055556,168,1
runatlantis/atlantis,1082107070,0,0,2021-12-16T11:54:50Z,,None,CONTRIBUTOR,0,9,151,0,18.99,7.83,12,8,0.154545455,0.495359848,1,1,['feature'],0,0,666,4012,4169,1408,117,97,562,1960,53,0,0,173,17,5,0,400,9,2,2,0,,0,0
runatlantis/atlantis,1081777764,0,0,2021-12-16T05:09:30Z,2021-12-17T19:41:05Z,38.52638889,MEMBER,1,5,0,0,20.04,-22.21,0,0,0,0,0,0,[],0,0,666,4012,4169,1408,116,96,561,1959,52,114,22,173,17,249,293,3550,828,127,116,19,484.0811111,158,1
runatlantis/atlantis,1081612576,0,0,2021-12-15T23:35:16Z,2022-10-15T02:16:49Z,7274.6925,NONE,0,7,433,4,29.76,18.04,62,30,-0.016588745,0.426593074,1,1,['bug'],1,0,666,4012,4169,1408,115,95,560,1959,52,0,0,173,17,5,1,4145,1,1,0,0,6076.140833,89,0
runatlantis/atlantis,1081556089,0,0,2021-12-15T22:03:36Z,2021-12-15T22:07:44Z,0.068888889,MEMBER,1,3,0,0,-0.46,-22.21,0,0,0,0,0,0,[],0,0,666,4012,4169,1408,114,94,562,1953,46,108,16,173,17,249,293,3550,818,117,113,16,20.75388889,165,2
runatlantis/atlantis,1081552289,0,0,2021-12-15T22:00:01Z,2021-12-15T22:09:21Z,0.155555556,MEMBER,1,6,0,0,21.68,-22.21,0,0,0,0,0,0,[],0,0,666,4012,4169,1408,113,93,562,1953,46,108,16,173,17,249,293,3550,814,113,113,16,,0,0
runatlantis/atlantis,1081550658,0,0,2021-12-15T21:57:36Z,2021-12-15T22:03:41Z,0.101388889,MEMBER,1,3,0,0,5.35,-22.21,0,0,0,0,0,0,[],0,0,666,4012,4169,1408,112,92,561,1953,46,108,16,173,17,249,293,3550,811,110,113,16,,0,0
runatlantis/atlantis,1080910523,0,0,2021-12-15T11:14:31Z,,None,NONE,0,6,79,0,8.17,10.03,3,5,0.3,0.325,0,0,[],0,0,666,4011,4168,1407,114,95,561,1953,46,0,0,173,17,14,1,2229,1,1,0,0,6790.693611,72,0
runatlantis/atlantis,1080083377,0,0,2021-12-14T18:28:19Z,2021-12-30T14:52:53Z,380.4094444,CONTRIBUTOR,1,6,110,2,13.97,17.97,13,12,-0.0375,0.183333333,0,0,[],0,0,666,4011,4168,1406,114,95,560,1953,47,2,1,173,17,29,9,1180,16,1,2,1,71.14138889,163,1
runatlantis/atlantis,1078457319,0,0,2021-12-13T12:11:35Z,2021-12-13T15:27:16Z,3.261388889,CONTRIBUTOR,1,7,394,14,8.77,32.17,65,66,0.110516934,0.314483066,2,1,"['dependencies', 'go']",0,0,666,4002,4159,1405,115,96,560,1952,47,82,10,173,18,0,0,971,232,18,88,11,,0,0
runatlantis/atlantis,1078353426,0,0,2021-12-13T10:28:58Z,2022-08-26T06:57:05Z,6140.468611,NONE,0,6,285,2,16.87,11.95,28,19,0.032990119,0.425865801,1,1,['bug'],1,0,666,4001,4158,1405,114,95,559,1952,47,0,0,173,18,19,0,1910,1,1,0,0,108.8619444,162,0
runatlantis/atlantis,1077695530,0,0,2021-12-12T01:53:43Z,2021-12-15T22:00:18Z,92.10972222,MEMBER,1,6,0,0,21.68,-22.21,0,0,0,0,0,0,[],0,0,666,3999,4155,1404,115,96,558,1952,49,108,17,173,18,249,293,3546,807,120,112,16,92.10972222,162,0
runatlantis/atlantis,1077223484,0,0,2021-12-10T20:58:01Z,2021-12-22T19:54:14Z,286.9369444,CONTRIBUTOR,1,9,75,0,6.7,11.49,2,3,-0.05,0.1,0,0,[],0,0,666,3997,4153,1403,114,95,557,1952,49,0,0,173,18,40,18,3450,2,2,0,0,286.4263889,161,0
runatlantis/atlantis,1074857525,0,0,2021-12-08T21:43:09Z,2021-12-08T22:07:09Z,0.4,MEMBER,1,3,0,0,5.35,-22.21,0,0,0,0,0,0,[],0,0,665,3994,4150,1401,116,97,557,1951,49,107,16,173,18,249,293,3543,804,118,111,15,,0,0
runatlantis/atlantis,1074426320,0,0,2021-12-08T13:43:10Z,,None,NONE,0,3,49,0,7.32,11.09,0,2,0.029166667,0.565277778,0,0,[],0,0,665,3990,4148,1400,116,98,559,1950,50,0,0,172,19,12,4,1109,0,0,0,0,849.1791667,151,0
runatlantis/atlantis,1072080210,0,0,2021-12-06T12:12:38Z,2021-12-06T15:47:58Z,3.588888889,CONTRIBUTOR,1,7,453,45,11.26,50.08,65,97,0.188988095,0.374404762,2,1,"['dependencies', 'go']",0,0,665,3981,4139,1398,120,101,559,1949,52,81,13,172,20,0,0,964,229,20,87,12,,0,0
runatlantis/atlantis,1070326853,0,0,2021-12-03T08:11:47Z,,None,CONTRIBUTOR,0,6,62,3,12.98,26.31,8,6,-0.429166667,0.8,0,0,[],0,0,664,3967,4126,1395,125,107,561,1947,52,4,2,172,20,64,116,2816,19,11,6,3,,0,0
runatlantis/atlantis,1067463961,0,0,2021-11-30T16:56:19Z,2022-01-05T19:57:37Z,867.0216667,CONTRIBUTOR,0,9,235,5,6.69,19.48,22,31,0.192372385,0.530521485,1,1,['bug'],1,0,663,3955,4113,1392,131,113,560,1947,61,0,0,172,20,52,4,2143,2,0,1,0,863.2686111,152,0
runatlantis/atlantis,1067410398,0,0,2021-11-30T16:05:28Z,2021-12-08T20:28:27Z,196.3830556,CONTRIBUTOR,1,7,2,0,16.54,4.2,0,0,0,0,0,0,[],0,0,663,3954,4112,1392,130,112,559,1947,61,0,0,172,20,50,15,4120,1,1,0,0,381.7622222,158,0
runatlantis/atlantis,1066451117,0,0,2021-11-29T20:10:31Z,2022-03-04T19:49:55Z,2279.656667,NONE,0,6,126,0,18.78,12.8,17,11,0.366666667,0.703968254,1,1,['bug'],1,0,661,3951,4109,1391,130,112,558,1947,62,0,0,172,20,2,1,1083,2,1,0,0,2282.790556,132,0
runatlantis/atlantis,1066213680,0,0,2021-11-29T16:03:30Z,2022-10-05T10:28:26Z,7434.415556,NONE,1,4,250,3,14.5,14.9,26,23,0.129966518,0.317857143,0,0,[],0,0,661,3951,4109,1391,129,111,558,1947,62,0,0,172,20,9,11,1968,2,0,1,0,92.95416667,159,1
runatlantis/atlantis,1065965037,0,0,2021-11-29T12:12:35Z,2021-12-04T03:16:40Z,111.0680556,CONTRIBUTOR,1,7,407,19,10.39,36.88,68,61,0.119047619,0.313690476,2,1,"['dependencies', 'go']",0,0,661,3950,4108,1391,128,110,557,1947,62,79,12,172,20,0,0,957,229,26,85,13,110.8136111,158,0
runatlantis/atlantis,1065964582,0,0,2021-11-29T12:12:07Z,2021-12-04T03:24:21Z,111.2038889,CONTRIBUTOR,1,7,324,16,12.07,38.56,46,50,0.086309524,0.268452381,2,1,"['dependencies', 'go']",0,0,661,3950,4108,1391,127,109,557,1947,62,79,12,172,20,0,0,957,223,20,85,13,,0,0
