repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
saulpw/visidata,1090892984,0,0,2021-12-30T05:54:45Z,2022-01-03T07:49:03Z,97.905,COLLABORATOR,1,6,24,3,16.02,39.12,4,6,0,0.1,0,0,[],0,0,237,4709,4623,1890,95,84,73,5192,173,1447,82,54,11,32,77,2795,3117,207,180,13,,0,0
saulpw/visidata,1087919429,0,0,2021-12-23T18:28:07Z,,None,NONE,0,10,76,2,12.56,21.21,15,17,-0.019387755,0.332653061,1,1,['bug'],1,0,236,4662,4579,1883,107,97,74,5189,181,0,0,54,11,29,23,3398,6,5,2,1,9.793611111,9,1
saulpw/visidata,1087901070,0,0,2021-12-23T17:53:19Z,2021-12-29T11:37:45Z,137.7405556,NONE,0,10,68,5,11.4,39.19,18,27,-0.34,0.5,1,1,['bug'],1,0,236,4662,4579,1883,106,96,73,5189,181,0,0,54,11,29,23,3398,5,4,2,1,119.8836111,7,0
saulpw/visidata,1087785651,0,0,2021-12-23T14:58:09Z,2022-01-03T05:28:35Z,254.5072222,NONE,1,3,28,2,1.52,24.46,3,5,0,0.1,0,0,[],0,0,236,4662,4579,1883,106,96,72,5189,181,0,0,54,11,29,23,3398,3,2,2,1,180.3561111,6,1
saulpw/visidata,1087728184,0,0,2021-12-23T13:42:11Z,2022-01-05T04:48:57Z,303.1127778,NONE,0,4,79,0,8.7,14.07,14,11,-0.09,0.26,1,1,['bug'],1,0,236,4662,4579,1883,105,95,71,5189,181,0,0,54,11,0,0,0,1,1,0,0,14.58277778,6,2
saulpw/visidata,1087005809,0,0,2021-12-22T16:47:36Z,2022-01-03T05:44:28Z,276.9477778,NONE,0,3,22,1,1.52,15.29,4,3,0.625,0.25,0,0,[],0,0,235,4660,4577,1882,105,95,70,5189,182,0,0,54,11,29,23,3397,2,1,1,0,11.14277778,6,3
saulpw/visidata,1084593608,0,0,2021-12-20T10:05:35Z,2021-12-20T10:19:19Z,0.228888889,NONE,0,5,111,1,3.8,12.98,26,14,-0.016666667,0.370833333,0,0,[],0,0,234,4653,4570,1880,105,95,70,5189,186,0,0,54,12,59,8,3511,1,1,0,0,0.2275,6,2
saulpw/visidata,1083276166,0,0,2021-12-17T13:45:21Z,,None,NONE,0,7,121,2,22.34,16.41,20,12,-0.100833333,0.430833333,0,0,[],0,0,234,4645,4563,1877,106,97,72,5183,199,0,0,54,12,1,1,3715,1,1,0,0,1.440833333,8,2
saulpw/visidata,1080097205,0,0,2021-12-14T18:45:37Z,2021-12-15T17:16:39Z,22.51722222,CONTRIBUTOR,1,5,6,0,14.24,12.98,0,0,0,0,0,0,[],0,0,234,4639,4556,1874,106,97,73,5172,197,19,11,54,13,29,17,2482,354,71,134,36,23.46305556,8,3
saulpw/visidata,1077872893,0,0,2021-12-12T18:16:52Z,2021-12-19T05:35:24Z,155.3088889,CONTRIBUTOR,0,4,77,0,21.75,6.69,9,8,0.164285714,0.264285714,1,1,['wishlist'],0,0,234,4634,4551,1872,107,98,72,5170,221,3,0,54,13,9,6,3946,348,17,130,4,155.3088889,6,0
saulpw/visidata,1077736102,0,0,2021-12-12T07:15:10Z,2022-01-03T05:28:09Z,526.2163889,NONE,0,10,196,0,8.5,9.11,21,11,0.041666667,0.422433862,1,1,['wishlist'],0,0,234,4633,4550,1872,106,97,71,5170,221,0,0,54,13,38,48,4443,0,0,0,0,542.48,5,0
saulpw/visidata,1076012111,0,0,2021-12-09T21:00:58Z,2021-12-10T02:38:30Z,5.625555556,CONTRIBUTOR,1,6,16,0,11.07,12.27,0,2,0,0,0,0,[],0,0,234,4625,4542,1869,105,96,75,5163,221,14,6,54,13,29,17,2477,353,70,126,28,,0,0
saulpw/visidata,1075910953,0,0,2021-12-09T19:15:23Z,2021-12-09T20:56:26Z,1.684166667,CONTRIBUTOR,1,6,17,0,11.07,11.99,0,2,0,0,0,0,[],0,0,234,4625,4542,1869,104,95,75,5163,221,14,6,54,13,29,17,2477,351,68,126,28,,0,0
saulpw/visidata,1075890384,0,0,2021-12-09T18:49:15Z,2021-12-10T04:35:52Z,9.776944444,CONTRIBUTOR,1,8,23,0,16.6,11.26,0,0,-0.047619048,0.476190476,0,0,[],0,0,234,4625,4542,1869,103,94,75,5163,221,14,6,54,13,29,17,2477,347,64,126,28,,0,0
saulpw/visidata,1075885165,0,0,2021-12-09T18:42:25Z,2021-12-10T03:16:03Z,8.560555556,CONTRIBUTOR,1,5,8,0,15.4,10.8,0,0,0,0,0,0,[],0,0,234,4625,4542,1869,102,93,74,5163,221,14,6,54,13,29,17,2477,346,63,126,28,,0,0
saulpw/visidata,1075882262,0,0,2021-12-09T18:38:38Z,2021-12-09T18:39:52Z,0.020555556,CONTRIBUTOR,1,5,8,0,15.4,10.8,0,0,0,0,0,0,[],0,0,234,4625,4542,1869,101,92,74,5163,221,14,6,54,13,29,17,2477,342,59,126,28,0.020555556,9,1
saulpw/visidata,1075877015,0,0,2021-12-09T18:31:52Z,2021-12-10T05:04:57Z,10.55138889,CONTRIBUTOR,0,6,145,3,18.78,26.14,30,22,0.075,0.2625,1,1,['bug'],1,0,234,4625,4542,1869,100,91,73,5163,221,14,6,54,13,29,17,2477,341,58,126,28,10.55138889,6,2
saulpw/visidata,1075865293,0,0,2021-12-09T18:17:14Z,2021-12-10T04:36:47Z,10.32583333,CONTRIBUTOR,1,6,24,0,12.98,11.27,1,2,0.1,0.45,0,0,[],0,0,234,4625,4542,1869,99,90,72,5163,221,14,6,54,13,29,17,2477,340,57,126,28,,0,0
saulpw/visidata,1075844142,0,0,2021-12-09T17:51:56Z,2021-12-09T18:01:35Z,0.160833333,CONTRIBUTOR,1,6,24,0,12.98,11.27,1,2,0.1,0.45,0,0,[],0,0,233,4625,4542,1869,98,89,72,5163,221,14,6,54,13,29,17,2477,336,53,126,28,0.160833333,7,2
saulpw/visidata,1075156473,0,0,2021-12-09T05:14:30Z,2021-12-09T06:53:27Z,1.649166667,COLLABORATOR,1,5,3,1,21.2,171.63,1,4,0,0,0,0,[],0,0,233,4623,4539,1869,97,88,73,5159,217,1428,89,54,13,32,77,2774,3075,215,179,17,,0,0
saulpw/visidata,1074035733,0,0,2021-12-08T05:47:16Z,2021-12-09T05:04:47Z,23.29194444,COLLABORATOR,0,9,199,1,11.22,30.39,48,47,0.182407407,0.466666667,0,0,[],0,0,233,4620,4537,1868,96,87,73,5159,228,1428,89,54,13,32,77,2773,3069,209,178,16,22.42138889,8,2
saulpw/visidata,1073464086,0,0,2021-12-07T15:08:52Z,2021-12-07T21:21:44Z,6.214444444,COLLABORATOR,1,8,39,3,11.56,27.67,8,10,0,0.1,0,0,[],0,0,233,4616,4533,1867,95,86,75,5158,227,56,1,54,13,50,31,2023,141,8,43,2,6.221111111,10,1
saulpw/visidata,1072954307,0,0,2021-12-07T06:06:51Z,2021-12-16T04:01:31Z,213.9111111,COLLABORATOR,1,1,0,0,-28.01,-22.21,0,0,0,0,0,0,[],0,0,233,4614,4531,1867,94,85,74,5156,225,1427,88,54,13,32,77,2772,3060,200,177,15,59.85944444,7,1
saulpw/visidata,1071506124,0,0,2021-12-05T16:55:50Z,2021-12-08T05:41:43Z,60.76472222,NONE,0,6,102,0,15.88,11.86,19,14,0.029166667,0.272916667,1,1,['bug'],1,0,233,4610,4528,1865,94,85,73,5156,229,0,0,54,13,70,142,3146,1,1,0,0,60.76472222,8,1
saulpw/visidata,1070837357,0,0,2021-12-03T18:11:47Z,2021-12-04T07:50:04Z,13.63805556,CONTRIBUTOR,1,6,106,0,15.88,6.15,8,5,0.083974359,0.261538462,0,0,[],0,0,233,4603,4521,1863,96,87,73,5155,228,14,6,54,13,29,17,2471,332,52,125,28,13.63805556,9,2
saulpw/visidata,1070189784,0,0,2021-12-03T03:48:19Z,2021-12-08T05:46:18Z,121.9663889,COLLABORATOR,0,7,267,4,6.56,22.07,39,56,0.09496337,0.528617216,1,1,['bug'],1,0,232,4599,4517,1862,95,86,72,5155,228,56,1,54,13,50,31,2019,138,5,42,1,61.02027778,8,2
saulpw/visidata,1068011239,0,0,2021-12-01T06:22:06Z,2021-12-01T06:58:38Z,0.608888889,CONTRIBUTOR,1,2,5,0,4.2,9.6,3,0,0,0,0,0,[],0,0,232,4596,4515,1861,96,86,73,5149,230,1,1,54,13,1,3,3686,1,1,0,0,0.6075,8,1
saulpw/visidata,1067320230,0,0,2021-11-30T14:44:31Z,,None,CONTRIBUTOR,0,8,71,1,15.15,20.52,16,10,0.038053613,0.418298368,1,1,['bug'],1,0,231,4595,4514,1860,95,86,73,5146,229,14,6,53,12,29,17,2468,330,51,124,27,7.462222222,8,3
saulpw/visidata,1065369829,0,0,2021-11-28T16:03:50Z,,None,CONTRIBUTOR,0,9,101,0,12.5,6.39,4,4,0.095454545,0.557575758,1,1,['wishlist'],0,0,231,4590,4509,1858,94,86,74,5144,236,3,0,53,12,9,6,3932,343,22,129,6,,0,0
saulpw/visidata,1065143787,0,0,2021-11-27T23:45:51Z,2021-11-28T00:55:13Z,1.156111111,CONTRIBUTOR,0,10,132,0,9.08,9.97,14,9,0.005555556,0.522222222,1,1,['bug'],1,0,231,4589,4508,1857,93,85,75,5141,233,3,0,53,12,9,6,3931,341,20,127,4,1.156111111,9,3
saulpw/visidata,1065138628,0,0,2021-11-27T23:15:28Z,2021-12-09T05:35:56Z,270.3411111,CONTRIBUTOR,0,7,136,2,6.56,17.09,22,20,-0.001666667,0.488333333,0,0,[],0,0,231,4589,4508,1857,92,84,74,5141,233,3,0,53,12,9,6,3931,338,17,127,4,0.836666667,9,3
saulpw/visidata,1062183711,0,0,2021-11-24T09:20:55Z,2021-11-28T01:09:29Z,87.80944444,CONTRIBUTOR,0,10,88,0,14.3,11.54,3,4,0.039225589,0.431986532,1,1,['wishlist'],0,0,231,4583,4502,1854,91,83,77,5136,234,14,6,53,12,29,17,2462,330,51,123,26,87.80944444,8,0
saulpw/visidata,1061566064,0,0,2021-11-23T17:56:30Z,2021-11-25T05:15:04Z,35.30944444,CONTRIBUTOR,1,4,62,0,2.9,6.96,2,3,0.06,0.4,0,0,[],0,0,231,4581,4500,1853,91,83,77,5136,244,14,6,53,12,29,17,2461,326,47,118,21,,0,0
saulpw/visidata,1061564852,0,0,2021-11-23T17:54:53Z,2021-12-01T19:38:19Z,193.7238889,CONTRIBUTOR,1,8,0,0,10.8,-22.21,0,0,0,0,0,0,[],0,0,231,4581,4500,1853,90,82,76,5135,243,13,5,53,12,29,17,2461,325,46,118,21,0.206666667,10,1
saulpw/visidata,1061438462,0,0,2021-11-23T15:46:31Z,,None,CONTRIBUTOR,0,6,103,1,11.07,17.84,36,15,-0.058333333,0.388888889,1,1,['bug'],1,0,231,4581,4500,1853,89,82,76,5134,242,12,4,53,12,29,17,2461,325,46,118,21,372.3161111,6,0
saulpw/visidata,1061331007,0,0,2021-11-23T14:09:37Z,2021-11-23T17:56:38Z,3.783611111,CONTRIBUTOR,1,4,62,0,2.9,6.96,2,3,0.06,0.4,0,0,[],0,0,231,4580,4499,1853,88,81,75,5134,242,12,4,53,12,29,17,2461,324,45,118,21,,0,0
saulpw/visidata,1061256027,0,0,2021-11-23T12:54:52Z,2021-11-23T14:01:19Z,1.1075,CONTRIBUTOR,1,5,0,0,6.12,-22.21,0,0,0,0,0,0,[],0,0,231,4580,4499,1853,87,80,75,5134,242,12,4,53,12,29,17,2461,323,44,118,21,1.091111111,9,1
saulpw/visidata,1060572059,0,0,2021-11-22T20:38:04Z,2021-12-19T04:59:44Z,632.3611111,NONE,0,8,127,1,17.36,38.26,46,46,-0.75,1,1,1,['wishlist'],0,0,231,4578,4498,1852,87,80,74,5134,243,0,0,53,12,70,54,3911,0,0,0,0,632.3611111,4,0
saulpw/visidata,1060447140,0,0,2021-11-22T18:03:08Z,2021-11-26T21:09:01Z,99.09805556,NONE,0,10,134,0,11.4,5.64,3,5,0.044444444,0.313888889,1,1,['wishlist'],0,0,231,4578,4498,1852,86,79,73,5132,241,0,0,53,12,60,31,1390,2,2,0,0,99.09777778,7,0
saulpw/visidata,1059207188,0,0,2021-11-20T18:53:07Z,2021-11-20T19:37:07Z,0.733333333,CONTRIBUTOR,0,6,175,1,10.08,44.66,14,14,0.0125,0.2875,0,0,[],0,0,231,4576,4496,1850,85,78,73,5127,245,2,1,53,13,283,160,4776,270,11,75,3,0.733333333,7,4
saulpw/visidata,1058270497,0,0,2021-11-19T08:27:20Z,2021-11-27T07:11:52Z,190.7422222,NONE,0,7,56,0,0.76,5,4,7,0.066666667,0.233333333,1,1,['wishlist'],0,0,231,4572,4492,1849,88,79,72,5125,244,0,0,53,13,15,10,1496,4,4,1,1,190.7166667,6,1
saulpw/visidata,1056898130,0,0,2021-11-18T03:37:28Z,2021-11-18T04:19:41Z,0.703611111,NONE,0,16,16,0,9,9,1,1,0,0.6,1,1,['wishlist'],0,0,231,4568,4489,1847,88,79,74,5124,243,0,0,53,13,266,6,2071,5,1,2,0,,0,0
saulpw/visidata,1056498466,0,0,2021-11-17T18:59:37Z,2021-11-18T05:45:02Z,10.75694444,NONE,0,5,99,2,-3.17,15.11,21,17,0.066369048,0.368452381,1,1,['bug'],1,0,231,4567,4488,1847,87,78,73,5124,243,0,0,53,13,15,10,1494,1,1,0,0,10.75694444,7,3
