repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
stellar/stellar-core,1087084549,0,0,2021-12-22T18:40:39Z,2022-01-03T20:10:30Z,289.4975,CONTRIBUTOR,1,5,61,2,43.24,26.14,13,8,0.25,0.25,0,0,[],0,0,975,2757,2808,2585,62,59,294,7597,147,77,7,74,9,30,8,2769,459,21,40,3,287.8658333,130,0
stellar/stellar-core,1084134864,0,0,2021-12-19T16:16:37Z,2022-06-24T01:00:36Z,4472.733056,NONE,0,9,633,4,18.99,16.88,180,57,-0.039399586,0.57410743,1,1,['bug'],1,0,975,2756,2807,2581,67,64,293,7591,173,0,0,74,9,2,1,1226,0,0,0,0,370.2294444,128,0
stellar/stellar-core,1082717331,0,0,2021-12-16T23:05:32Z,2021-12-17T21:20:28Z,22.24888889,CONTRIBUTOR,1,4,190,3,4.35,15.24,22,22,0.11595689,0.449843074,0,0,[],0,0,975,2754,2805,2579,67,64,294,7586,170,72,2,74,9,30,8,2763,459,21,39,2,0.144444444,132,2
stellar/stellar-core,1077553801,0,0,2021-12-11T14:34:24Z,2022-06-24T01:01:59Z,4666.459722,NONE,0,11,562,1,5.26,9.22,41,40,0.080479955,0.451430767,1,1,['bug'],1,0,974,2751,2802,2573,77,73,293,7586,204,0,0,74,9,1,2,2813,5,0,2,0,2.036388889,132,5
stellar/stellar-core,1077323685,0,0,2021-12-11T00:04:09Z,2022-02-01T17:40:22Z,1265.603611,CONTRIBUTOR,1,4,66,2,13.05,27.59,17,9,0.125,0.25,0,0,[],0,0,974,2751,2802,2573,76,72,292,7586,204,337,39,74,9,27,6,3066,1070,58,118,18,1265.030833,120,0
stellar/stellar-core,1077320992,0,0,2021-12-10T23:57:02Z,,None,CONTRIBUTOR,1,9,95,0,21.54,8.83,0,3,-0.088726551,0.550108225,0,0,[],0,0,974,2751,2802,2573,75,72,292,7586,204,1414,28,74,9,569,4714,4924,1838,29,449,5,,0,0
stellar/stellar-core,1075830919,0,0,2021-12-09T17:36:46Z,2021-12-09T18:35:27Z,0.978055556,CONTRIBUTOR,1,9,0,0,10.58,-22.21,0,0,0,0,0,0,[],0,0,973,2749,2800,2572,79,76,292,7584,203,1749,47,74,9,27,90,3154,6129,147,879,20,0.17,131,1
stellar/stellar-core,1074956543,0,0,2021-12-09T00:13:43Z,2022-01-12T01:10:38Z,816.9486111,CONTRIBUTOR,1,2,143,0,7.1,14.57,4,6,0.16553288,0.380045351,0,0,[],0,0,973,2748,2799,2571,79,76,291,7582,210,281,14,74,9,10,16,2598,1109,36,194,9,816.1225,124,0
stellar/stellar-core,1074644001,0,0,2021-12-08T17:21:12Z,2021-12-08T18:50:42Z,1.491666667,CONTRIBUTOR,1,9,0,0,1.59,-22.21,0,0,0,0,0,0,[],0,0,973,2748,2799,2571,79,76,291,7579,211,1747,45,74,9,27,90,3153,6127,148,878,19,0.065833333,130,1
stellar/stellar-core,1073798253,0,0,2021-12-07T22:16:25Z,2022-02-01T17:40:22Z,1339.399167,CONTRIBUTOR,0,3,60,1,34.35,18.51,2,4,0.065178571,0.352678571,1,1,['bug'],1,0,973,2748,2799,2570,79,76,290,7578,211,279,13,74,9,10,16,2597,1106,35,193,9,,0,0
