repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
the-tcpdump-group/tcpdump,1082919668,0,0,2021-12-17T06:07:09Z,,None,NONE,1,6,136,0,16.87,12.29,13,8,0.107792208,0.381331169,0,0,[],0,0,719,1733,1710,3168,26,20,104,6823,53,0,0,136,9,22,8,4417,8,8,1,1,0.047777778,24,1
the-tcpdump-group/tcpdump,1079376792,0,0,2021-12-14T06:49:50Z,2022-01-17T19:43:59Z,828.9025,NONE,1,9,50,0,5.42,13.51,5,3,0.114274892,0.299686147,0,0,[],0,0,719,1733,1710,3165,25,19,104,6820,51,0,0,136,9,22,8,4414,2,2,0,0,17.92944444,25,18
the-tcpdump-group/tcpdump,1077946849,0,0,2021-12-13T00:05:21Z,,None,NONE,1,5,96,0,9.6,11.67,14,2,0,0.5,0,0,[],0,0,717,1732,1709,3164,24,19,104,6820,51,0,0,136,9,18,14,4601,1,1,0,0,,0,0
the-tcpdump-group/tcpdump,1067545128,0,0,2021-11-30T18:25:36Z,2021-12-23T11:11:54Z,544.7716667,CONTRIBUTOR,1,8,0,0,5.76,-22.21,0,0,0,0,0,0,[],0,0,711,1718,1695,3151,27,22,106,6816,49,0,0,136,10,26,35,3560,14,14,3,3,528.2880556,22,0
the-tcpdump-group/tcpdump,1060244548,1,0,2021-11-22T14:47:45Z,2021-11-24T15:15:54Z,48.46916667,NONE,0,2,87,1,15.8,15.6,8,8,0.4,0.433163265,0,0,[],0,0,711,1710,1687,3143,28,21,110,6811,45,0,0,136,10,199,25,1646,1,1,0,0,0.355,26,4
the-tcpdump-group/tcpdump,1059488163,0,0,2021-11-21T21:12:20Z,2022-02-02T10:21:59Z,1741.160833,CONTRIBUTOR,1,3,0,0,3.43,-22.21,0,0,0,0,0,0,[],0,0,711,1710,1687,3142,27,20,109,6811,45,2,2,136,10,127,69,3224,17,17,4,4,1740.3125,20,0
the-tcpdump-group/tcpdump,1059135240,0,0,2021-11-20T12:31:36Z,2021-11-24T15:16:52Z,98.75444444,NONE,0,6,38,0,4.28,4.8,9,11,-0.1,0.5,0,0,[],0,0,710,1708,1685,3141,26,19,111,6809,43,0,0,136,10,1,0,93,0,0,0,0,0.058333333,27,12
the-tcpdump-group/tcpdump,1056648437,0,0,2021-11-17T21:26:44Z,,None,CONTRIBUTOR,1,9,2,0,9.94,-7.41,0,1,0,0,0,0,[],0,0,709,1706,1683,3138,25,19,111,6808,44,0,0,136,11,26,35,3547,11,11,2,2,67.54638889,25,2
the-tcpdump-group/tcpdump,1056514545,0,0,2021-11-17T19:11:31Z,,None,MEMBER,0,4,61,1,11.6,29.43,14,21,0.1,0.1,0,0,[],0,0,709,1706,1683,3138,24,19,111,6808,44,1261,11,136,11,55,23,3284,2343,53,43,0,0.414166667,26,5
the-tcpdump-group/tcpdump,1056304174,0,0,2021-11-17T16:04:43Z,2022-03-31T07:42:30Z,3207.629722,NONE,1,6,13,0,17.85,16.63,0,1,0,0.125,0,0,[],0,0,709,1706,1683,3138,23,18,110,6808,44,0,0,136,11,19,0,1212,1,1,0,0,,0,0
the-tcpdump-group/tcpdump,1049129491,0,0,2021-11-09T21:16:09Z,2021-11-10T12:29:31Z,15.22277778,CONTRIBUTOR,1,8,0,0,2.86,-22.21,0,0,0,0,0,0,[],0,0,707,1695,1674,3130,24,19,112,6792,37,0,0,136,12,26,35,3539,7,7,1,1,15.22666667,27,1
the-tcpdump-group/tcpdump,1044336115,0,0,2021-11-04T03:50:31Z,2021-11-20T12:41:20Z,392.8469444,NONE,0,9,77,0,11.22,6.24,4,7,0.505,0.605,0,0,[],0,0,704,1684,1665,3125,25,20,114,6786,39,0,0,136,11,37,13,2886,2,2,0,0,392.8469444,24,1
the-tcpdump-group/tcpdump,1044250254,1,0,2021-11-04T00:36:10Z,2022-04-14T15:22:28Z,3878.771667,NONE,1,13,235,0,6.37,16.53,25,30,-0.010330579,0.257988981,0,0,[],0,0,704,1682,1663,3125,24,19,113,6785,38,0,0,135,10,5,1,2211,1,1,0,0,3683.398056,17,0
the-tcpdump-group/tcpdump,1043318544,1,0,2021-11-03T09:51:12Z,2021-11-04T11:40:57Z,25.82916667,CONTRIBUTOR,1,5,45,1,23.52,27.3,8,11,0,0,0,0,[],0,0,704,1682,1663,3124,23,18,112,6784,38,0,0,135,10,41,20,1882,3,3,0,0,0.315555556,25,6
the-tcpdump-group/tcpdump,1040564485,0,0,2021-10-31T19:39:01Z,2022-01-23T10:01:43Z,2006.378333,CONTRIBUTOR,1,5,0,0,27,-22.21,0,0,0,0,0,0,[],0,0,703,1680,1661,3121,24,19,113,6781,42,2,2,134,9,127,69,3203,13,13,2,2,1533.937778,18,0
the-tcpdump-group/tcpdump,1040560997,1,0,2021-10-31T19:22:21Z,2021-12-16T18:27:50Z,1103.091389,CONTRIBUTOR,1,5,0,0,17.72,-22.21,0,0,0,0,0,0,[],0,0,703,1680,1661,3121,23,18,112,6781,42,2,2,134,9,127,69,3203,12,12,2,2,1103.034444,18,0
the-tcpdump-group/tcpdump,1040526061,0,0,2021-10-31T16:55:11Z,2021-11-02T09:30:22Z,40.58638889,CONTRIBUTOR,1,5,0,0,2.64,-22.21,0,0,0,0,0,0,[],0,0,703,1680,1661,3121,22,17,111,6781,42,0,0,134,9,11,11,2186,5,5,0,0,40.58888889,23,1
the-tcpdump-group/tcpdump,1040504915,0,0,2021-10-31T15:34:00Z,2021-10-31T15:40:43Z,0.111944444,CONTRIBUTOR,1,5,0,0,2.64,-22.21,0,0,0,0,0,0,[],0,0,702,1680,1661,3121,21,16,111,6781,42,0,0,134,9,11,11,2186,1,1,0,0,,0,0
the-tcpdump-group/tcpdump,1035259767,0,0,2021-10-25T15:12:02Z,,None,NONE,1,3,21,1,-4.29,23.52,5,5,0,0,0,0,[],0,0,700,1678,1657,3115,20,16,112,6779,50,0,0,134,9,1,1,698,1,1,1,1,5259.123056,16,0
the-tcpdump-group/tcpdump,1033605512,0,0,2021-10-22T13:50:26Z,2021-10-25T14:45:56Z,72.925,NONE,1,4,12,0,0,8.4,0,0,0,0,0,0,[],0,0,700,1677,1653,3112,19,15,112,6779,59,0,0,134,9,1,1,695,1,1,0,0,2.619166667,24,1
the-tcpdump-group/tcpdump,1027031968,0,0,2021-10-15T03:08:33Z,,None,NONE,0,8,268,3,20.26,13.51,43,33,0.245833333,0.491666667,0,0,[],0,0,700,1674,1647,3105,19,16,112,6777,68,0,0,134,9,28,5,2564,0,0,0,0,2.445833333,25,1
the-tcpdump-group/tcpdump,1016477300,1,0,2021-10-05T15:35:34Z,2022-03-11T23:53:28Z,3776.298333,MEMBER,1,8,69,1,13.7,11.99,7,8,-0.093333333,0.573333333,0,0,[],0,0,699,1671,1638,3095,20,17,116,6772,75,200,2,132,9,192,157,4760,310,25,11,0,1.258888889,26,1
the-tcpdump-group/tcpdump,1015647084,0,0,2021-10-04T21:21:16Z,2021-10-07T12:02:49Z,62.6925,NONE,1,12,48,0,9.38,6.09,3,3,-0.03,0.4,0,0,[],0,0,699,1671,1638,3094,19,16,115,6772,75,0,0,132,9,44,39,2373,1,1,0,0,19.21388889,26,10
the-tcpdump-group/tcpdump,1012878536,0,0,2021-10-01T04:35:14Z,,None,NONE,1,9,45,0,9.31,17.86,4,3,0,0,0,0,[],0,0,698,1670,1637,3091,19,17,116,6772,84,0,0,132,9,45,5,2628,4,4,1,1,10.55472222,26,5
the-tcpdump-group/tcpdump,1012786939,1,0,2021-10-01T01:43:31Z,2021-11-09T08:21:26Z,942.6319444,CONTRIBUTOR,1,6,423,0,10.08,13.78,23,58,0.047959184,0.119387755,0,0,[],0,0,698,1670,1637,3091,18,16,115,6772,84,0,0,132,9,26,35,3499,2,2,0,0,774.8066667,22,1
the-tcpdump-group/tcpdump,1007405365,1,0,2021-09-26T14:21:07Z,2022-10-03T16:57:07Z,8930.6,CONTRIBUTOR,1,8,205,1,10.11,11.28,39,4,0.1,0.828571429,0,0,[],0,0,696,1667,1635,3086,17,15,114,6770,82,0,0,132,9,18,10,3373,1,1,0,0,3360.054722,16,0
the-tcpdump-group/tcpdump,1004011278,0,0,2021-09-22T08:34:50Z,2021-10-09T20:34:30Z,419.9944444,CONTRIBUTOR,1,7,57,0,21.47,18.88,20,11,0.25,0.333333333,0,0,[],0,0,694,1664,1632,3082,17,15,113,6770,83,0,0,132,9,127,69,3163,9,9,1,1,8.573055556,24,2
the-tcpdump-group/tcpdump,993888450,0,0,2021-09-11T17:20:55Z,2021-09-12T22:37:52Z,29.2825,NONE,0,8,48,0,8.66,6.64,7,8,-0.2125,0.6,0,0,[],0,0,690,1658,1626,3071,16,14,115,6768,82,0,0,132,9,17,13,569,1,1,0,0,29.2825,25,2
the-tcpdump-group/tcpdump,992595677,0,0,2021-09-09T20:16:46Z,2021-09-16T12:01:08Z,159.7394444,CONTRIBUTOR,1,3,7,0,13.12,31.93,2,3,0,0,0,0,[],0,0,689,1651,1619,3069,15,13,114,6768,82,0,0,132,9,127,69,3151,1,1,0,0,87.64972222,24,2
the-tcpdump-group/tcpdump,989265371,0,0,2021-09-06T15:09:48Z,2022-09-19T23:03:04Z,9079.887778,NONE,0,7,65,1,18.16,14.91,3,9,0.1,0.6,0,0,[],0,0,687,1649,1618,3066,15,13,113,6768,83,0,0,132,9,1,0,1510,1,1,0,0,25.18333333,24,2
the-tcpdump-group/tcpdump,988107666,0,0,2021-09-03T21:22:46Z,2021-09-04T07:52:29Z,10.49527778,CONTRIBUTOR,1,5,37,0,21.2,12.65,0,2,0.068181818,0.260606061,0,0,[],0,0,687,1646,1615,3063,14,12,113,6767,83,0,0,131,8,42,5,1285,2,2,0,0,10.50083333,24,1
the-tcpdump-group/tcpdump,978520871,0,0,2021-08-24T22:03:52Z,,None,NONE,0,11,160,0,10.54,10.21,44,9,0.110416667,0.416666667,0,0,[],0,0,683,1638,1606,3054,14,13,114,6766,90,0,0,131,8,58,714,4247,2,2,0,0,2271.869722,16,0
the-tcpdump-group/tcpdump,978514004,0,0,2021-08-24T21:51:38Z,,None,NONE,0,7,344,0,33.94,19.38,119,22,0.148322917,0.801333333,1,1,['feature request'],0,0,683,1638,1606,3054,13,13,114,6766,90,0,0,131,8,58,714,4247,0,0,0,0,,0,0
the-tcpdump-group/tcpdump,972002127,0,0,2021-08-16T18:38:47Z,2021-08-18T22:03:15Z,51.40777778,CONTRIBUTOR,1,5,10,1,13.08,34.02,2,2,-0.2,0.05,0,0,[],0,0,681,1632,1599,3045,13,13,116,6759,93,0,0,130,7,5,18,1260,4,4,0,0,25.33277778,26,2
the-tcpdump-group/tcpdump,971866536,0,0,2021-08-16T15:40:29Z,2021-08-18T22:03:14Z,54.37916667,CONTRIBUTOR,0,5,115,2,13.08,12.19,11,9,0.242592593,0.397839506,0,0,[],0,0,681,1632,1599,3045,12,12,117,6759,94,0,0,130,8,5,18,1260,2,2,0,0,5.287777778,26,6
the-tcpdump-group/tcpdump,966979410,0,0,2021-08-11T15:55:02Z,2021-10-01T17:52:50Z,1225.963333,NONE,0,2,94,1,10,12.36,2,6,0.140625,0.458333333,0,0,[],0,0,678,1631,1598,3040,11,11,116,6755,93,0,0,130,9,45,5,2578,0,0,0,0,0.738611111,26,4
the-tcpdump-group/tcpdump,963965770,0,0,2021-08-09T12:54:45Z,2021-08-16T17:19:22Z,172.4102778,NONE,0,6,14,0,11.07,2.83,1,2,0,0.125,0,0,[],0,0,678,1630,1597,3038,12,11,116,6749,89,0,0,130,9,2,0,252,1,1,0,0,51.59611111,26,2
the-tcpdump-group/tcpdump,960540253,0,0,2021-08-04T14:26:04Z,2021-08-09T16:17:39Z,121.8597222,CONTRIBUTOR,0,4,129,0,13.05,9.76,22,25,0.15,0.383333333,0,0,[],0,0,677,1621,1588,3033,12,11,115,6746,88,25,0,130,10,13,47,3659,158,2,12,0,16.15666667,26,12
the-tcpdump-group/tcpdump,960215006,0,0,2021-08-04T10:26:49Z,2021-08-16T17:21:43Z,294.915,NONE,0,12,56,0,10.83,7.04,11,12,0.25,0.2,0,0,[],0,0,677,1621,1588,3033,11,10,114,6746,89,0,0,130,10,16,1,2474,0,0,0,0,13.83305556,26,3
the-tcpdump-group/tcpdump,951825774,1,0,2021-07-23T18:58:12Z,2021-07-23T19:12:38Z,0.240555556,NONE,0,11,151,1,7.93,10.9,14,13,-0.093822844,0.44993525,0,0,[],0,0,674,1611,1579,3021,10,9,114,6718,65,0,0,130,11,0,7,2828,1,1,0,0,171.4161111,26,12
the-tcpdump-group/tcpdump,943582360,0,0,2021-07-13T16:01:02Z,2021-09-13T21:50:44Z,1493.828333,CONTRIBUTOR,1,12,37,0,10.37,6.35,0,6,0,0,0,0,[],0,0,673,1601,1570,3011,9,8,114,6706,55,1,1,129,10,5,2,1459,9,9,2,2,3.5675,26,1
the-tcpdump-group/tcpdump,939071481,0,0,2021-07-07T16:38:56Z,2021-07-08T19:19:02Z,26.66833333,MEMBER,1,10,0,0,9.08,-15.81,0,0,0,0,0,0,[],0,0,672,1596,1565,3005,8,7,119,6697,48,1241,23,129,9,55,23,3150,2258,87,42,1,24.89861111,30,1
the-tcpdump-group/tcpdump,936453328,0,0,2021-07-04T13:03:09Z,2021-08-25T15:44:08Z,1250.683056,CONTRIBUTOR,1,11,72,0,12.62,7.35,2,7,0.068181818,0.277272727,0,0,[],0,0,672,1594,1564,3002,7,6,118,6689,40,1,1,129,9,5,2,1450,4,4,1,1,1161.308333,25,0
the-tcpdump-group/tcpdump,930906355,0,0,2021-06-27T11:14:39Z,2021-06-27T19:00:00Z,7.755833333,CONTRIBUTOR,1,12,49,0,10.37,4.2,0,1,0,0,0,0,[],0,0,672,1588,1559,2995,6,5,118,6687,41,0,0,128,8,5,2,1442,1,1,0,0,4.703055556,29,3
the-tcpdump-group/tcpdump,917055978,0,0,2021-06-10T08:20:23Z,2021-06-11T20:30:18Z,36.16527778,NONE,0,4,49,0,-5.81,8.47,2,6,0.4875,0.5875,0,0,[],0,0,665,1572,1545,2978,8,7,118,6685,54,0,0,128,8,142,143,3897,0,0,0,0,36.14138889,29,1
the-tcpdump-group/tcpdump,910424897,1,0,2021-06-03T12:03:20Z,2021-06-03T16:04:58Z,4.027222222,MEMBER,1,6,4,0,5.27,0,0,0,0,0,0,0,[],0,0,664,1569,1542,2971,9,8,118,6683,53,1236,23,128,9,55,23,3116,2230,74,41,0,,0,0
the-tcpdump-group/tcpdump,900041135,1,0,2021-05-24T21:49:00Z,2021-10-07T08:40:55Z,3250.865278,NONE,0,7,77,1,21.47,17.01,9,15,0,0.6,0,0,[],0,0,661,1562,1534,2962,10,8,117,6669,46,0,0,128,8,24,13,2605,0,0,0,0,7.400277778,29,11
the-tcpdump-group/tcpdump,890167882,1,0,2021-05-12T14:46:40Z,2021-07-12T15:27:05Z,1464.673611,CONTRIBUTOR,1,5,15,1,9.6,36.03,3,4,0,0,0,0,[],0,0,658,1552,1525,2949,10,8,119,6662,48,2,0,126,7,24,5,1967,9,0,3,0,1460.646667,25,0
the-tcpdump-group/tcpdump,889034667,0,0,2021-05-11T23:02:49Z,,None,NONE,1,7,17,1,16.54,30.85,2,2,0,0,0,0,[],0,0,658,1552,1525,2949,9,8,119,6661,49,0,0,126,7,4,9,707,7,1,2,1,0.299166667,29,2
the-tcpdump-group/tcpdump,881160756,0,0,2021-05-08T18:39:01Z,2021-07-10T20:45:11Z,1514.102778,CONTRIBUTOR,1,7,191,1,4.07,13.1,31,12,0,0,0,0,[],0,0,658,1551,1523,2945,9,8,118,6659,57,2,1,126,7,8,9,2923,26,0,4,0,,0,0
the-tcpdump-group/tcpdump,838990303,1,0,2021-03-23T18:11:05Z,2021-05-06T09:52:58Z,1047.698056,NONE,1,5,77,0,8.44,8.93,10,5,0.071590909,0.296969697,0,0,[],0,0,647,1515,1489,2899,16,14,120,6642,148,0,0,125,7,21,17,2875,1,1,0,0,1047.699722,28,0
the-tcpdump-group/tcpdump,836012666,1,0,2021-03-19T13:47:08Z,2021-04-09T12:01:27Z,502.2386111,CONTRIBUTOR,1,6,49,0,12.05,6.12,2,14,-0.133928571,0.419047619,0,0,[],0,0,646,1509,1485,2895,15,13,119,6639,151,0,0,125,7,19,3,2426,13,0,2,0,0.269166667,28,4
the-tcpdump-group/tcpdump,830581093,0,0,2021-03-12T22:30:29Z,2021-03-30T03:28:42Z,412.9702778,NONE,0,5,125,1,24.68,19.76,39,18,-0.025,0.15,0,0,[],0,0,645,1502,1479,2889,16,14,118,6631,151,0,0,125,7,113,483,1789,0,0,0,0,22.72388889,28,3
the-tcpdump-group/tcpdump,826761944,0,0,2021-03-09T22:57:01Z,2021-05-18T17:09:43Z,1674.211667,CONTRIBUTOR,1,5,43,1,1.48,14.31,4,6,0.5,0.9,0,0,[],0,0,645,1502,1478,2886,15,13,117,6631,162,0,0,125,7,85,45,3863,0,0,0,0,1674.223333,27,0
the-tcpdump-group/tcpdump,823330425,1,0,2021-03-05T18:46:48Z,2021-03-05T20:33:06Z,1.771666667,CONTRIBUTOR,1,6,69,1,17.85,20.23,6,7,0.18,0.557777778,0,0,[],0,0,642,1501,1476,2881,14,12,117,6630,167,0,0,124,6,85,35,4309,2,2,0,0,1.773611111,27,1
the-tcpdump-group/tcpdump,818223182,0,0,2021-02-28T14:43:59Z,2021-02-28T20:42:33Z,5.976111111,NONE,0,6,159,0,22.67,16.93,26,27,0.041666667,0.508333333,0,0,[],0,0,641,1498,1473,2876,14,11,117,6625,175,0,0,124,6,9,0,1522,1,1,0,0,5.976111111,27,3
the-tcpdump-group/tcpdump,815969204,0,0,2021-02-25T00:53:08Z,,None,NONE,1,7,10,1,18.97,70.56,0,5,0,0,0,0,[],0,0,639,1490,1466,2873,13,11,117,6624,175,0,0,124,6,4,9,631,7,1,1,0,,0,0
the-tcpdump-group/tcpdump,810787008,0,0,2021-02-18T05:15:43Z,2021-10-07T09:55:19Z,5548.66,NONE,0,5,49,1,10.76,11.42,6,2,0.283333333,0.775,0,0,[],0,0,639,1488,1464,2866,12,10,116,6623,174,0,0,124,6,0,0,128,0,0,0,0,4505.235556,22,3
the-tcpdump-group/tcpdump,805491592,1,0,2021-02-10T12:58:54Z,2021-02-16T01:00:45Z,132.0308333,CONTRIBUTOR,1,7,48,0,8.24,7.93,4,4,-0.041666667,0.658333333,0,0,[],0,0,638,1485,1461,2858,11,9,116,6606,165,23,1,124,6,32,35,3603,97,11,25,2,195.1588889,25,0
the-tcpdump-group/tcpdump,791871750,1,0,2021-01-22T10:05:52Z,2021-01-23T14:20:25Z,28.2425,CONTRIBUTOR,1,6,51,0,4.28,10.33,11,24,-0.75,1,0,0,[],0,0,635,1456,1442,2839,14,11,121,6578,160,6,0,124,5,31,4,1393,11,0,7,0,0.591111111,26,2
the-tcpdump-group/tcpdump,785795985,1,0,2021-01-14T08:39:48Z,2021-01-30T13:28:22Z,388.8094444,NONE,0,4,267,0,11.6,8.98,33,23,0.086904762,0.482142857,0,0,[],0,0,633,1448,1438,2831,15,12,120,6561,163,0,0,124,5,0,0,2819,2,2,0,0,388.8094444,25,4
