repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
tqdm/tqdm,1088623725,0,0,2021-12-25T16:16:44Z,2021-12-25T16:17:39Z,0.015277778,NONE,0,3,109,0,20.83,11.37,0,13,0.154910714,0.622321429,0,0,[],0,0,1343,21315,20444,2397,30,7,411,1894,5,0,0,101,1,0,0,5,1,1,0,0,,0,0
tqdm/tqdm,1087227735,1,0,2021-12-22T22:20:23Z,,None,NONE,0,3,1475,7,18.92,26.16,400,689,-0.29047619,0.56547619,0,0,[],0,0,1342,21293,20424,2394,32,7,411,1894,5,0,0,101,1,25,76,2183,1,1,0,0,6376.721389,64,0
tqdm/tqdm,1084119897,1,0,2021-12-19T15:10:40Z,2022-04-03T23:53:53Z,2528.720278,NONE,1,6,9,3,10.08,75.01,6,3,0,0,0,0,[],0,0,1341,21234,20365,2391,32,6,410,1894,6,0,0,101,1,695,118,4332,1,1,0,0,1062.743889,73,1
tqdm/tqdm,1080772913,0,0,2021-12-15T09:10:19Z,,None,NONE,1,4,158,6,18.85,30.09,38,23,0.112373737,0.561616162,0,0,[],0,0,1336,20905,20051,2386,31,6,410,1894,18,0,0,101,1,0,0,739,242,101,9,6,0.004166667,75,1
tqdm/tqdm,1080772519,0,0,2021-12-15T09:09:55Z,,None,NONE,1,2,4,0,1.3,-4.36,0,0,-0.25,0.4,0,0,[],0,0,1336,20905,20051,2386,30,6,410,1894,18,0,0,101,1,330,95,4063,1,1,0,0,0.003888889,75,1
tqdm/tqdm,1064522030,0,0,2021-11-26T14:15:15Z,,None,NONE,1,11,80,0,13.15,11.21,8,2,0.264285714,0.535714286,0,0,[],0,0,1325,20713,19868,2368,39,9,411,1894,22,0,0,101,1,23,5,2756,2,2,0,0,0.002777778,74,1
tqdm/tqdm,1060484112,0,0,2021-11-22T18:47:54Z,2021-11-23T02:24:16Z,7.606111111,NONE,0,10,102,1,7.92,21.28,20,9,0.167272727,0.330909091,0,0,[],0,0,1321,20662,19817,2364,38,8,411,1894,22,0,0,101,1,0,0,1518,1,1,0,0,7.606111111,78,1
tqdm/tqdm,1054688452,0,0,2021-11-16T10:09:57Z,,None,CONTRIBUTOR,1,6,1,1,23.65,134.4,0,1,0,0,0,0,[],0,0,1316,20603,19763,2357,43,11,416,1894,24,5,0,101,1,24,9,3820,218,8,22,0,8903.394167,55,0
tqdm/tqdm,1053055451,0,0,2021-11-14T22:13:57Z,2021-11-15T18:49:52Z,20.59861111,NONE,1,7,158,6,10.42,30.2,38,23,0.112373737,0.561616162,0,0,[],0,0,1314,20584,19744,2356,42,10,419,1894,24,0,0,101,1,0,0,709,236,236,8,8,0.034166667,82,1
tqdm/tqdm,1053055419,0,0,2021-11-14T22:13:49Z,,None,NONE,1,5,66,2,6.12,22.81,11,12,0.1125,0.597222222,0,0,[],0,0,1314,20584,19744,2356,41,10,419,1894,24,0,0,101,1,94,41,3756,3,3,0,0,2276.730833,68,0
tqdm/tqdm,1050999701,0,0,2021-11-11T13:49:47Z,,None,NONE,0,9,147,1,22.82,18.82,48,25,0.322222222,0.611111111,0,0,[],0,0,1312,20506,19711,2353,43,12,419,1894,31,0,0,101,3,20,20,3073,3,0,0,0,276.7697222,74,0
tqdm/tqdm,1049687076,0,0,2021-11-10T11:05:41Z,,None,NONE,0,8,75,0,18.05,3.87,30,5,-0.2,0.85,0,0,[],0,0,1311,20489,19695,2351,42,12,419,1894,31,0,0,101,3,3,2,3477,1,1,0,0,,0,0
tqdm/tqdm,1042285835,0,0,2021-11-02T12:26:51Z,,None,NONE,0,9,200,3,10.58,12.36,58,15,-0.202380952,0.616666667,0,0,[],0,0,1309,20406,19615,2343,43,12,419,1894,32,0,0,101,3,12,1,2086,1,1,0,0,,0,0
tqdm/tqdm,1042012157,1,0,2021-11-02T08:23:15Z,2021-11-16T10:42:24Z,338.3191667,NONE,0,7,134,4,9.87,18.16,35,35,0.033333333,0.316666667,0,0,[],0,0,1308,20405,19614,2343,44,13,418,1894,34,0,0,101,3,18,8,2157,0,0,0,0,336.7497222,77,1
tqdm/tqdm,1040561998,0,0,2021-10-31T19:27:07Z,,None,NONE,1,9,158,6,17.66,30.2,38,23,0.112373737,0.561616162,0,0,[],0,0,1308,20389,19599,2342,45,15,418,1894,34,0,0,101,3,0,0,695,233,233,7,7,0.031666667,77,2
tqdm/tqdm,1040561915,0,0,2021-10-31T19:26:45Z,2022-10-19T22:09:08Z,8474.706389,CONTRIBUTOR,1,7,44,0,12.36,10.84,2,3,-0.06,0.242857143,0,0,[],0,0,1308,20389,19599,2342,44,14,417,1894,34,1,0,101,3,53,32,3419,6,1,1,0,0.003333333,77,1
tqdm/tqdm,1034204869,0,0,2021-10-23T16:33:09Z,,None,NONE,0,7,187,3,14.86,16.85,34,27,0.071666667,0.559047619,0,0,[],0,0,1308,20375,19519,2334,51,21,417,1894,43,0,0,101,4,11,9,3675,0,0,0,0,9461.569722,53,1
tqdm/tqdm,1032237451,0,0,2021-10-21T09:00:09Z,,None,NONE,1,5,45,0,42.08,21.73,19,4,0.125,0.4,0,0,[],0,0,1307,20373,19504,2331,50,21,417,1894,43,0,0,101,4,24,2,804,0,0,0,0,9011.935,55,1
tqdm/tqdm,1031230427,0,0,2021-10-20T10:14:24Z,,None,NONE,0,8,193,5,10.8,15.23,55,29,0.171861472,0.405411255,0,0,[],0,0,1307,20370,19489,2330,49,21,417,1894,43,0,0,101,4,145,83,2768,6,0,1,0,8187.180556,55,0
tqdm/tqdm,1023597132,0,0,2021-10-12T09:42:33Z,,None,NONE,1,6,158,6,33.28,30.09,38,23,0.112373737,0.561616162,0,0,[],0,0,1306,20326,19397,2322,51,23,419,1894,43,0,0,101,4,0,0,675,229,229,6,6,0.296111111,79,1
tqdm/tqdm,1023596523,0,0,2021-10-12T09:41:56Z,,None,NONE,1,4,159,1,31.9,16.12,15,13,0.122474747,0.450378788,0,0,[],0,0,1306,20326,19397,2322,50,23,419,1894,43,0,0,101,4,117,21,4263,2,1,0,0,0.295,79,1
tqdm/tqdm,1023548344,0,0,2021-10-12T08:54:54Z,2021-10-14T13:37:05Z,52.70305556,NONE,0,10,176,3,13.72,20.62,62,29,0.044444444,0.447222222,0,0,[],0,0,1306,20326,19396,2322,49,22,418,1894,43,0,0,101,4,62,28,2386,0,0,0,0,52.70305556,78,2
tqdm/tqdm,1022739964,0,0,2021-10-11T13:58:11Z,,None,NONE,1,18,158,6,15.6,29.97,38,23,0.112373737,0.561616162,0,0,[],0,0,1305,20321,19382,2322,48,22,418,1894,43,0,0,101,4,0,0,675,227,227,5,5,1.755555556,78,1
