repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
tradingview/lightweight-charts,1091110530,0,0,2021-12-30T13:37:08Z,2022-01-10T11:11:13Z,261.5680556,CONTRIBUTOR,1,6,22,0,14.95,15.43,8,1,0,0,0,0,[],0,0,927,4545,4365,950,71,67,119,1439,245,0,0,31,4,38,2,3200,10,10,0,0,,0,0
tradingview/lightweight-charts,1090460543,0,0,2021-12-29T11:36:56Z,2021-12-29T13:32:26Z,1.925,NONE,0,5,56,2,8.44,23.37,15,8,0.175,0.49,0,0,[],0,0,924,4545,4365,949,71,67,124,1439,245,0,0,31,4,10,4,1552,1,1,0,0,1.760833333,24,2
tradingview/lightweight-charts,1089411203,0,0,2021-12-27T18:41:30Z,2021-12-30T10:04:59Z,63.39138889,NONE,0,9,65,1,15.11,27.42,47,18,-0.134615385,0.584615385,0,0,[],0,0,921,4536,4356,948,71,67,123,1439,246,0,0,31,4,5,0,1368,1,1,0,0,42.63305556,24,5
tradingview/lightweight-charts,1085628207,0,0,2021-12-21T09:38:48Z,2021-12-29T13:14:11Z,195.5897222,NONE,0,3,42,3,1.52,35.34,12,11,0,0.4,0,0,[],0,0,914,4512,4333,941,75,71,122,1439,248,0,0,31,4,19,32,1116,0,0,0,0,195.5897222,24,0
tradingview/lightweight-charts,1085000172,0,0,2021-12-20T16:48:16Z,2021-12-21T05:17:32Z,12.48777778,NONE,0,4,50,1,8.7,17.8,8,6,0.458333333,0.5,0,0,[],0,0,914,4510,4331,941,75,71,122,1439,248,0,0,31,4,2,0,258,1,1,0,0,,0,0
tradingview/lightweight-charts,1084549182,0,0,2021-12-20T09:20:24Z,2021-12-29T16:13:46Z,222.8894444,NONE,0,8,22,1,1.41,36.72,3,6,0.428571429,0.517857143,0,0,[],0,0,913,4509,4331,940,74,70,121,1439,248,0,0,31,4,0,0,2099,1,1,0,0,222.8894444,23,0
tradingview/lightweight-charts,1084413364,1,1,2021-12-20T06:31:01Z,2022-01-17T17:08:04Z,682.6175,NONE,0,10,68,3,7.92,25.69,14,8,-0.069444444,0.333333333,0,0,[],0,0,912,4509,4331,940,73,69,120,1439,248,0,0,31,4,20,13,3572,4,3,0,0,8.126666667,25,1
tradingview/lightweight-charts,1083939001,1,1,2021-12-18T20:25:18Z,2022-01-24T14:45:03Z,882.3291667,NONE,0,11,132,4,5.78,22.61,27,22,0.100151515,0.377727273,0,0,[],0,0,907,4505,4327,939,73,69,119,1439,248,0,0,31,4,19,239,2980,16,2,2,0,260.0019444,22,1
tradingview/lightweight-charts,1083524763,0,0,2021-12-17T18:36:09Z,,None,NONE,0,8,348,10,15.91,24.41,32,49,0.060760073,0.368452381,0,0,[],0,0,904,4496,4319,938,72,69,119,1439,248,0,0,31,4,20,5,3624,3,0,0,0,594.9883333,20,0
tradingview/lightweight-charts,1083418201,0,1,2021-12-17T16:21:32Z,,None,NONE,0,5,30,2,15.4,35.83,12,7,-0.05,0.25,1,1,['bug'],1,0,904,4496,4319,938,71,69,119,1438,247,0,0,31,4,10,10,971,1,1,0,0,6193.370556,10,0
tradingview/lightweight-charts,1083134874,1,1,2021-12-17T10:52:32Z,2022-01-10T14:04:54Z,579.2061111,NONE,0,11,158,1,7.93,41.43,96,69,0.084375,0.2875,0,0,[],0,0,904,4496,4319,937,70,68,118,1437,246,0,0,31,4,11,3,1519,2,2,0,0,1.281666667,22,4
tradingview/lightweight-charts,1082240300,0,0,2021-12-16T14:09:20Z,2022-01-20T15:24:43Z,841.2563889,CONTRIBUTOR,1,6,26,0,4.28,13.81,11,0,0.65,0.7,0,0,[],0,0,903,4494,4317,936,69,67,117,1437,246,147,27,31,4,3,9,3553,332,79,40,8,,0,0
tradingview/lightweight-charts,1081367679,1,1,2021-12-15T18:43:58Z,2022-01-20T15:24:42Z,860.6788889,CONTRIBUTOR,0,9,109,2,2.23,23.12,69,16,-0.195,0.425,0,0,[],0,0,903,4489,4312,936,69,67,117,1436,245,146,26,31,4,3,9,3552,329,76,39,7,16.20555556,21,2
tradingview/lightweight-charts,1081112031,0,1,2021-12-15T14:32:58Z,,None,CONTRIBUTOR,0,10,101,3,3.86,22.46,4,10,-0.159722222,0.305555556,2,1,"['enhancement', 'needs investigation']",1,0,902,4488,4310,935,68,67,120,1435,244,775,145,31,4,17,144,3278,3561,339,174,12,,0,0
tradingview/lightweight-charts,1080044838,0,0,2021-12-14T17:45:00Z,2021-12-14T18:04:26Z,0.323888889,NONE,0,11,116,1,12.62,22.95,41,23,0.038636364,0.542857143,0,0,[],0,0,902,4485,4307,935,68,67,122,1433,242,0,0,31,4,52,12,2894,1,1,0,0,0.133611111,23,4
tradingview/lightweight-charts,1078555506,0,0,2021-12-13T13:50:19Z,2021-12-13T14:23:44Z,0.556944444,NONE,0,8,75,4,15.91,32.97,23,21,0.04,0.245,0,0,[],0,0,899,4476,4298,933,68,66,122,1427,236,0,0,31,4,35,8,581,0,0,0,0,0.556944444,23,1
tradingview/lightweight-charts,1077385492,0,0,2021-12-11T04:10:31Z,2021-12-29T13:20:13Z,441.1616667,NONE,0,6,201,1,7.18,20.31,96,45,-0.172916667,0.725,0,0,[],0,0,896,4469,4291,931,68,66,121,1426,239,0,0,31,5,5,6,512,0,0,0,0,403.6333333,19,3
