repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
twbs/bootstrap,1091056994,0,0,2021/12/30 11:51,2022/4/13 5:36,2489.755278,MEMBER,1,9,94,2,13.19,19.67,26,10,-0.0283859,0.552690167,0,0,[],0,0,80989,109750,40000,3806,386,358,640,21993,0,100,0,1301,0,12,68,2138,39,26,24,14,,0,0
twbs/bootstrap,1090951953,0,0,2021/12/30 8:28,2022/1/5 17:01,152.5497222,CONTRIBUTOR,1,8,12,0,13.01,16.63,0,0,0,0,2,1,"['docs', 'skip-changelog']",0,0,80987,109740,40000,3806,386,358,639,21993,0,7,0,1301,0,7,0,1815,15,14,4,4,,0,0
twbs/bootstrap,1090370087,0,0,2021/12/29 9:01,2021/12/29 20:40,11.65416667,NONE,0,12,219,3,14.2,22.51,54,71,0.005776515,0.33030303,0,0,[],0,0,80977,109709,40000,3805,392,364,639,21993,0,0,0,1301,0,34,6,3841,0,0,1,1,,0,0
twbs/bootstrap,1090089378,0,0,2021/12/28 19:32,2022/2/10 19:17,1055.741111,NONE,0,13,93,6,19.76,25.21,31,18,-0.027380952,0.324007937,0,0,[],0,0,80969,109696,40000,3804,391,363,638,21993,0,0,0,1301,0,4,0,2390,1,1,1,1,,0,0
twbs/bootstrap,1089516309,0,0,2021/12/27 23:14,2021/12/28 6:22,7.131666667,NONE,0,9,122,4,17.66,20.8,42,21,-0.12,0.401428571,0,0,[],0,0,80957,109669,40000,3804,395,367,641,21993,0,0,0,1301,0,46,6,4109,3,1,2,1,,0,0
twbs/bootstrap,1089461637,0,0,2021/12/27 20:37,2022/1/5 17:38,213.0188889,CONTRIBUTOR,1,4,0,0,8.7,-22.21,0,0,0,0,3,1,"['docs', 'skip-changelog', 'v5']",0,0,80954,109666,40000,3803,394,366,641,21993,0,1,0,1301,0,165,26,810,3,3,1,1,,0,0
twbs/bootstrap,1088941802,0,0,2021/12/27 4:00,2022/2/10 17:42,1093.696667,NONE,0,5,274,2,10.76,16.32,29,8,0.085714286,0.334126984,0,0,[],0,0,80941,109646,40000,3803,410,382,640,21993,0,0,0,1301,0,52,59,4141,1,1,1,1,,0,0
twbs/bootstrap,1088650271,0,0,2021/12/25 20:07,2022/1/5 17:24,261.2955556,CONTRIBUTOR,1,7,9,0,17.35,4.78,0,1,0,0,2,1,"['docs', 'skip-changelog']",0,0,80923,109609,40000,3801,411,383,639,21993,0,1,0,1301,0,7,1,3186,1,1,1,1,,0,0
twbs/bootstrap,1088442154,0,0,2021/12/24 16:13,2021/12/24 18:09,1.943055556,NONE,1,2,0,0,-4.51,-22.21,0,0,0,0,0,0,[],0,0,80909,109543,40000,3800,412,384,639,21993,0,0,0,1301,0,37,2,152,2,2,1,1,,0,0
twbs/bootstrap,1088341352,0,0,2021/12/24 11:53,2021/12/24 14:56,3.041666667,NONE,1,1,13,0,-4.81,7.7,0,2,0.375,0.416666667,0,0,[],0,0,80905,109534,40000,3800,411,383,639,21993,0,0,0,1301,0,4,2,215,3,3,1,1,,0,0
twbs/bootstrap,1088217213,0,0,2021/12/24 7:47,2021/12/24 7:57,0.171944444,NONE,1,2,4,0,27.4,0,0,0,0,0,0,0,[],0,0,80901,109525,40000,3800,410,382,640,21993,0,0,0,1301,0,5,10,238,3,3,2,2,,0,0
twbs/bootstrap,1088205189,0,0,2021/12/24 7:21,2021/12/24 7:56,0.599166667,NONE,1,2,4,0,27.4,-2.91,1,0,0,0,0,0,[],0,0,80901,109523,40000,3800,409,381,639,21993,0,0,0,1301,0,5,10,238,1,1,1,1,,0,0
twbs/bootstrap,1088092836,0,0,2021/12/24 2:02,,None,NONE,0,11,116,4,8.45,16.9,24,21,-0.141666667,0.322619048,0,0,[],0,0,80898,109522,40000,3800,408,381,639,21993,0,0,0,1301,0,0,0,461,1,1,1,1,,0,0
twbs/bootstrap,1087999998,0,0,2021/12/23 21:27,2021/12/28 12:43,111.2758333,NONE,0,10,195,5,18.94,18.07,34,33,-0.033712121,0.334848485,0,0,[],0,0,80896,109518,40000,3800,407,380,638,21993,0,0,0,1301,0,14,5,2527,0,0,1,1,,0,0
twbs/bootstrap,1087967239,0,0,2021/12/23 20:10,2021/12/23 21:10,1.008611111,NONE,1,2,0,0,12.9,-22.21,0,0,0,0,0,0,[],0,0,80896,109518,40000,3799,406,379,638,21993,0,0,0,1301,0,109,0,2126,3,0,1,1,,0,0
twbs/bootstrap,1087915542,0,0,2021/12/23 18:20,2021/12/27 21:16,98.92972222,NONE,1,5,20,0,6.12,4.18,0,1,0.2,0.65,0,0,[],0,0,80896,109518,40000,3799,406,379,637,21993,0,0,0,1301,0,45,0,160,1,1,1,1,,0,0
twbs/bootstrap,1087894683,0,0,2021/12/23 17:41,2022/4/18 5:17,2771.602778,MEMBER,0,6,96,5,16.87,23.52,26,16,-0.133333333,0.241666667,2,1,"['js', 'v5']",0,0,80894,109515,40000,3799,405,378,636,21993,0,398,0,1301,0,46,990,3824,6267,30,338,4,,0,0
