repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
typestack/class-transformer,1090702692,0,0,2021-12-29T19:10:28Z,,None,NONE,0,9,88,0,7.39,12.07,17,8,0.089015152,0.425189394,2,1,"['status: needs triage', 'type: fix']",0,0,370,3917,4268,2150,113,85,249,448,37,0,0,50,2,6,4,495,1,1,0,0,7444.620833,55,1
typestack/class-transformer,1089721105,0,0,2021-12-28T09:02:00Z,2021-12-28T09:03:16Z,0.021111111,CONTRIBUTOR,1,7,457,37,13.72,55.53,84,134,0.073958333,0.436979167,1,1,['dependencies'],0,0,370,3908,4260,2148,113,85,249,447,36,106,23,50,2,0,0,986,2228,326,441,75,734.9761111,79,1
typestack/class-transformer,1089085744,0,0,2021-12-27T09:03:36Z,2021-12-27T09:12:29Z,0.148055556,CONTRIBUTOR,1,7,259,3,7.92,21.59,38,21,0.137152778,0.353472222,1,1,['dependencies'],0,0,370,3904,4256,2147,113,85,250,445,34,104,21,50,2,0,0,985,2215,318,439,75,734.9477778,79,2
typestack/class-transformer,1089085555,0,0,2021-12-27T09:03:21Z,2021-12-27T09:05:56Z,0.043055556,CONTRIBUTOR,1,7,303,9,8.73,26.74,51,50,0.137152778,0.353472222,1,1,['dependencies'],0,0,370,3904,4256,2147,112,84,249,445,34,104,21,50,2,0,0,985,2212,315,439,75,734.9522222,79,1
typestack/class-transformer,1088254865,0,0,2021-12-24T09:02:29Z,2021-12-24T09:07:33Z,0.084444444,CONTRIBUTOR,1,7,704,75,5.43,47.75,112,148,0.164583333,0.449479167,1,1,['dependencies'],0,0,370,3899,4251,2144,116,87,250,443,32,102,19,50,2,0,0,982,2201,324,437,75,734.9675,79,2
typestack/class-transformer,1088254773,0,0,2021-12-24T09:02:21Z,2021-12-24T09:04:18Z,0.0325,CONTRIBUTOR,1,7,259,3,7.92,21.59,38,21,0.137152778,0.353472222,1,1,['dependencies'],0,0,370,3899,4251,2144,115,86,249,443,32,102,19,50,2,0,0,982,2197,320,437,75,734.97,79,1
typestack/class-transformer,1085594068,0,0,2021-12-21T09:02:08Z,2021-12-21T09:03:34Z,0.023888889,CONTRIBUTOR,1,7,259,3,7.92,21.59,38,21,0.137152778,0.353472222,1,1,['dependencies'],0,0,369,3891,4243,2141,116,85,249,442,31,101,18,50,2,0,0,979,2190,313,436,77,734.9727778,79,1
typestack/class-transformer,1085103538,0,0,2021-12-20T18:54:32Z,,None,NONE,0,11,243,1,15.81,17.22,37,22,0.001222452,0.370110193,2,1,"['status: needs triage', 'type: fix']",0,0,367,3886,4238,2141,118,88,249,442,31,0,0,50,2,15,4,3852,0,0,0,0,3912.731944,65,0
typestack/class-transformer,1084530844,0,0,2021-12-20T09:03:47Z,2022-01-03T09:02:55Z,335.9855556,CONTRIBUTOR,1,7,1321,164,4.62,64.68,176,311,0.108479853,0.44470696,1,1,['dependencies'],0,0,366,3885,4237,2140,117,87,251,440,29,99,16,50,2,0,0,978,2174,315,433,79,1070.944444,78,5
typestack/class-transformer,1084530492,0,0,2021-12-20T09:03:28Z,2021-12-20T09:09:30Z,0.100555556,CONTRIBUTOR,1,7,313,9,8.73,28.3,53,49,0.137152778,0.353472222,1,1,['dependencies'],0,0,366,3885,4237,2140,116,86,250,440,29,99,16,50,2,0,0,978,2174,315,433,79,734.9477778,79,2
typestack/class-transformer,1084530022,0,0,2021-12-20T09:03:01Z,2021-12-20T09:05:03Z,0.033888889,CONTRIBUTOR,1,7,259,3,7.92,21.59,38,21,0.137152778,0.353472222,1,1,['dependencies'],0,0,366,3885,4237,2140,115,85,249,440,29,99,16,50,2,0,0,978,2170,311,433,79,734.9555556,79,1
typestack/class-transformer,1081955069,0,0,2021-12-16T09:22:38Z,,None,NONE,1,4,14,0,15.95,11.94,0,1,0,0,0,0,[],0,0,364,3876,4228,2136,121,91,249,440,29,0,0,50,2,41,30,4059,0,0,0,0,,0,0
