repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
tzapu/WiFiManager,1089345501,0,0,2021-12-27T16:28:41Z,2022-02-03T02:39:27Z,898.1794444,NONE,0,7,280,0,5.75,12.61,82,47,0.095238095,0.219047619,0,0,[],0,0,1711,4953,4878,2399,32,18,523,1095,6,0,0,57,2,0,0,32,1,1,0,0,1.59,81,6
tzapu/WiFiManager,1088700534,0,0,2021-12-26T05:10:49Z,2022-01-22T02:36:11Z,645.4227778,NONE,1,10,58,1,10.24,12.71,1,4,0.25,0.551785714,0,0,[],0,0,1709,4953,4878,2397,32,18,522,1095,6,0,0,57,2,93,11,3415,3,3,0,0,43.59555556,80,1
tzapu/WiFiManager,1088700406,0,0,2021-12-26T05:09:16Z,,None,NONE,0,13,72,0,14.43,7.65,0,4,0.275,0.610714286,0,0,[],0,0,1709,4953,4878,2397,31,18,522,1095,6,0,0,57,2,93,11,3415,2,2,0,0,45.51111111,79,4
tzapu/WiFiManager,1086900165,0,0,2021-12-22T14:56:54Z,2022-05-19T14:16:17Z,3551.323056,NONE,0,10,526,0,9.66,21.34,179,77,-0.039285714,0.552281746,0,0,[],0,0,1706,4948,4874,2394,30,17,521,1095,6,0,0,57,2,28,4,4125,0,0,0,0,54.40555556,79,5
tzapu/WiFiManager,1085098076,0,0,2021-12-20T18:46:40Z,2021-12-22T00:16:30Z,29.49722222,NONE,0,3,246,0,36.32,36.25,100,60,0.200899621,0.469318182,0,0,[],0,0,1706,4945,4872,2392,29,16,521,1095,6,0,0,57,2,5,1,3107,0,0,0,0,23.15777778,79,2
tzapu/WiFiManager,1084069198,0,0,2021-12-19T10:53:25Z,2022-01-13T13:54:00Z,603.0097222,NONE,0,2,134,4,1.3,20.36,11,20,0.042045455,0.475568182,0,0,[],0,0,1705,4942,4869,2390,28,15,521,1095,6,0,0,57,2,10,1,1149,1,1,0,0,602.2502778,78,0
tzapu/WiFiManager,1083953351,0,0,2021-12-18T21:55:20Z,2021-12-19T16:18:53Z,18.3925,NONE,0,5,102,0,30.48,9.56,2,7,0.201428571,0.359285714,0,0,[],0,0,1705,4941,4868,2390,27,14,520,1095,6,0,0,57,2,10,2,601,1,1,0,0,,0,0
tzapu/WiFiManager,1083850354,0,0,2021-12-18T15:03:32Z,,None,NONE,0,4,154,0,15.95,13.92,17,10,-0.007376284,0.487068161,0,0,[],0,0,1705,4941,4868,2390,26,14,520,1095,6,0,0,57,2,10,0,1626,25,10,6,2,7.562222222,78,3
tzapu/WiFiManager,1083811935,0,0,2021-12-18T11:26:58Z,,None,NONE,0,7,91,0,11.55,9.76,0,3,0.107142857,0.492857143,0,0,[],0,0,1705,4941,4868,2389,25,14,520,1095,6,0,0,57,2,10,0,1626,24,9,6,2,2264.849722,68,1
tzapu/WiFiManager,1081081704,0,0,2021-12-15T14:06:06Z,,None,NONE,0,4,550,0,18.85,18.66,249,93,-0.233166667,0.7115,0,0,[],0,0,1702,4939,4866,2386,25,15,520,1095,26,0,0,57,4,5,0,2598,2,0,1,0,1188.598611,73,1
tzapu/WiFiManager,1079880166,0,0,2021-12-14T15:13:46Z,,None,NONE,1,4,37,0,24.65,7.06,0,3,0.175,0.266666667,0,0,[],0,0,1702,4936,4863,2386,25,16,520,1095,26,0,0,57,4,10,0,1622,21,6,5,1,960.7861111,74,0
tzapu/WiFiManager,1079874594,0,0,2021-12-14T15:09:08Z,2022-02-03T02:41:23Z,1211.5375,NONE,0,6,48,0,12.98,10.44,14,6,0.09765625,0.3125,0,0,[],0,0,1702,4936,4863,2386,24,15,519,1095,26,0,0,57,4,3,0,842,0,0,0,0,3.415,75,1
tzapu/WiFiManager,1076291488,0,0,2021-12-10T01:28:25Z,,None,NONE,0,12,1025,2,6.48,14.87,264,49,0.194166667,0.521875,0,0,[],0,0,1700,4922,4851,2381,23,15,519,1095,26,0,0,57,4,3,0,3092,0,0,0,0,88.17472222,75,1
tzapu/WiFiManager,1071155333,0,0,2021-12-04T08:12:57Z,2022-01-22T22:04:20Z,1189.856389,NONE,0,11,97,0,11.58,20.62,13,14,0.021428571,0.657142857,0,0,[],0,0,1698,4915,4844,2375,26,18,518,1095,31,0,0,57,5,0,0,575,4,3,3,2,12.1825,75,1
tzapu/WiFiManager,1064651575,0,0,2021-11-26T15:57:57Z,,None,NONE,0,6,42,0,8.17,22.29,27,1,0,0.5625,0,0,[],0,0,1694,4899,4826,2368,29,21,519,1095,32,0,0,57,5,0,0,0,1,1,0,0,1375.748056,74,0
