repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
vcmi/vcmi,1084222215,0,0,2021-12-19T23:38:39Z,2021-12-22T19:37:56Z,67.98805556,CONTRIBUTOR,1,2,5,0,-1.61,3.8,0,1,-0.05,0.2,0,0,[],0,0,356,2529,2478,2814,11,11,173,7889,14,41,6,85,3,8,0,736,206,25,28,6,,0,0
vcmi/vcmi,1082863529,0,0,2021-12-17T04:05:40Z,2022-01-03T09:38:09Z,413.5413889,NONE,1,5,36,0,9.6,26.96,6,3,0.12797619,0.661904762,0,0,[],0,0,356,2527,2476,2811,10,10,172,7889,14,0,0,85,3,19,8,3909,1,1,0,0,96.04055556,12,1
vcmi/vcmi,1064843317,0,0,2021-11-26T22:45:53Z,2021-11-28T18:00:43Z,43.24722222,CONTRIBUTOR,1,11,267,1,8.97,14.61,28,21,0.041906926,0.440515152,0,0,[],0,0,354,2518,2467,2791,10,10,172,7888,21,40,12,85,3,8,0,713,193,16,27,5,,0,0
vcmi/vcmi,1060913695,0,0,2021-11-23T07:28:31Z,2021-11-26T08:10:31Z,72.7,COLLABORATOR,1,4,38,1,21.75,13.89,2,5,0.4,0.4,0,0,[],0,0,353,2517,2466,2787,9,9,172,7886,19,5,1,85,3,70,18,3534,17,0,5,1,,0,0
vcmi/vcmi,1048921783,0,0,2021-11-09T18:15:12Z,2021-11-10T18:32:55Z,24.29527778,CONTRIBUTOR,1,9,18,0,8.67,12.06,1,1,0,0,0,0,[],0,0,353,2504,2454,2774,13,12,173,7883,22,38,10,85,3,8,0,696,188,55,26,5,,0,0
vcmi/vcmi,1046889421,0,0,2021-11-08T00:10:08Z,2021-11-13T15:02:11Z,134.8675,CONTRIBUTOR,1,5,24,2,15.4,54.3,7,8,0.1,0.685,0,0,[],0,0,353,2501,2452,2772,12,11,173,7882,21,37,9,85,3,8,0,695,183,50,25,4,,0,0
vcmi/vcmi,1044042406,0,0,2021-11-03T19:41:49Z,2021-11-08T19:01:31Z,119.3283333,CONTRIBUTOR,1,7,69,1,15.67,18.46,7,5,0.178205128,0.383333333,0,0,[],0,0,353,2497,2448,2768,11,10,172,7882,21,37,9,85,3,8,0,690,182,49,24,3,,0,0
vcmi/vcmi,1037765376,0,0,2021-10-27T19:03:05Z,2021-10-31T07:01:50Z,83.97916667,CONTRIBUTOR,1,10,27,0,17.78,15.44,0,1,0.078787879,0.551515152,0,0,[],0,0,353,2490,2440,2761,12,11,173,7880,22,35,8,85,5,8,0,683,181,48,23,2,,0,0
vcmi/vcmi,1034403800,0,0,2021-10-24T12:28:43Z,2021-10-31T15:33:26Z,171.0786111,CONTRIBUTOR,1,10,23,0,6.18,6.97,0,1,0,0,0,0,[],0,0,353,2490,2436,2757,12,11,172,7880,146,35,8,85,6,8,0,680,181,48,22,1,,0,0
vcmi/vcmi,1028266966,0,0,2021-10-17T09:20:53Z,2021-10-23T18:40:52Z,153.3330556,MEMBER,1,8,32,0,9.35,7.42,0,1,0.3375,0.425,0,0,[],0,0,353,2488,2432,2750,13,12,172,7879,147,201,131,85,6,9,4,2930,687,182,55,5,,0,0
vcmi/vcmi,1021727495,1,0,2021-10-09T14:51:10Z,2022-09-21T14:41:47Z,8327.843611,COLLABORATOR,1,4,166,0,24.65,13.87,28,14,-0.10877193,0.581578947,0,0,[],0,0,353,2484,2428,2743,12,11,172,7878,153,4,2,85,7,70,18,3489,17,8,4,1,15.13083333,13,2
