repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
vernesong/OpenClash,1091104952,0,0,2021-12-30T13:26:17Z,2022-03-08T08:36:41Z,1627.173333,NONE,0,2,7,1,36.1,89.12,2,3,0,0,0,0,[],0,0,1431,5370,4573,945,207,207,684,1200,129,0,0,28,8,11,1,2583,1,1,0,0,36.35555556,58,3
vernesong/OpenClash,1091077134,0,0,2021-12-30T12:31:41Z,2022-03-07T08:36:57Z,1604.087778,NONE,0,1,1,0,117,117,0,0,0,0,0,0,[],0,0,1431,5370,4573,945,207,207,683,1200,129,0,0,28,8,1,0,12,0,0,0,0,1460.080278,5,0
vernesong/OpenClash,1090834465,0,0,2021-12-30T02:17:20Z,2022-03-07T08:36:58Z,1614.327222,CONTRIBUTOR,0,1,2,1,64.8,343.5,1,4,0,0,0,0,[],0,0,1430,5362,4566,945,208,208,685,1199,129,0,0,28,8,35,16,809,7,2,2,0,1470.319722,4,1
vernesong/OpenClash,1090619970,0,0,2021-12-29T16:15:42Z,2022-03-06T08:35:42Z,1600.333333,NONE,0,1,2,1,24.2,256.5,1,4,0,0,0,0,[],0,0,1429,5362,4566,945,207,207,685,1199,129,0,0,28,8,3,0,17,1,1,0,0,1456.343611,4,0
vernesong/OpenClash,1090317369,0,0,2021-12-29T07:13:01Z,2021-12-31T12:18:37Z,53.09333333,NONE,0,1,1,0,24.2,407,0,0,0,0,0,0,[],0,0,1428,5357,4561,944,206,206,686,1199,129,0,0,28,8,2,0,1337,2,2,1,1,7474.594444,0,3
vernesong/OpenClash,1090303977,0,0,2021-12-29T06:39:23Z,2022-03-08T08:36:42Z,1657.955278,NONE,0,1,13,0,59,65.89,11,8,0,0,0,0,[],0,0,1428,5357,4561,944,205,205,685,1199,129,0,0,28,8,22,2,1466,6,1,1,0,0.165,146,4
vernesong/OpenClash,1089940016,0,0,2021-12-28T14:39:31Z,2022-03-07T08:36:59Z,1649.957778,NONE,0,1,1457,0,128.6,16.01,326,250,0.11780303,0.448106061,0,0,[],0,0,1427,5352,4557,943,207,207,687,1199,129,0,0,28,8,0,0,981,8,8,3,3,1505.950556,3,1
vernesong/OpenClash,1089570146,0,0,2021-12-28T02:38:04Z,2022-03-06T08:35:44Z,1637.961111,NONE,0,1,4,0,59,108.75,2,3,0,0,0,0,[],0,0,1426,5346,4551,943,206,206,694,1198,128,0,0,28,8,1,1,2182,6,6,1,1,6.871666667,146,8
vernesong/OpenClash,1089413102,0,0,2021-12-27T18:46:26Z,2022-03-03T08:36:04Z,1573.827222,NONE,0,1,3,0,76.4,152.32,4,0,0,0,0,0,[],0,0,1425,5345,4550,943,205,205,696,1195,125,0,0,28,8,0,0,1465,1,1,0,0,0.392777778,274,6
vernesong/OpenClash,1089385400,0,0,2021-12-27T17:45:53Z,2021-12-28T03:28:37Z,9.712222222,NONE,0,1,5,2,41.6,355.28,5,10,0,0,0,0,[],0,0,1425,5345,4550,943,204,204,695,1195,125,0,0,28,8,1,1,2182,2,2,0,0,0.428333333,274,4
vernesong/OpenClash,1089369224,0,0,2021-12-27T17:13:40Z,2021-12-27T21:13:40Z,4,NONE,0,3,94,0,11.15,11.79,9,2,0.125,0.575,0,0,[],0,0,1425,5345,4550,943,203,203,694,1195,125,0,0,28,8,9,15,1969,2,1,1,0,,0,0
vernesong/OpenClash,1089347995,0,0,2021-12-27T16:34:07Z,2021-12-28T06:00:28Z,13.43916667,NONE,0,1,1,0,6.8,273.6,0,0,0,0,0,0,[],0,0,1425,5345,4550,943,202,202,693,1195,125,0,0,28,8,10,0,800,2,1,1,0,,0,0
vernesong/OpenClash,1089337889,0,0,2021-12-27T16:14:10Z,2021-12-27T21:13:40Z,4.991666667,NONE,0,1,103,1,99.6,23.26,10,18,-0.39,0.493333333,0,0,[],0,0,1425,5345,4550,943,201,201,692,1195,125,0,0,28,8,4,0,2213,3,3,1,1,,0,0
