repo_name,issue_id,has_assignee,is_milestone,created_at,closed_at,issue_lifetime,role,is_pr,title_len,body_len,#urls,title_readability,body_readability,#lines,#sentences,body_pol,body_sub,#labels,use_labels,label_list,default_labels,priority_labels,#forks,#watch,#stars,project_days,#created_issues,#closed_issues,OI,#cmts,#cmts3ms,#commits,#commits3ms,#cmtsByUnActs,#cmtsByUnActs3ms,#repos,#followers,reporter_days,#events,#events3ms,#issues,#issues3ms,IFR,ICNR,num_comments_3days
zeromicro/go-zero,1091009554,0,0,2021-12-30T10:19:29Z,2022-02-18T01:53:27Z,1191.566111,NONE,0,13,7,0,10.09,1.57,0,0,0,0,0,0,[],0,0,343,2427,13155,509,283,283,208,1116,156,0,0,98,23,59,2,2188,0,0,0,0,14.46527778,9,1
zeromicro/go-zero,1090970137,0,0,2021-12-30T09:06:36Z,2021-12-30T09:44:15Z,0.6275,CONTRIBUTOR,1,4,0,0,5.8,-22.21,0,0,0,0,0,0,[],0,0,343,2425,13153,509,282,282,208,1115,155,758,115,98,23,102,1491,3466,703,573,392,114,,0,0
zeromicro/go-zero,1090960552,0,0,2021-12-30T08:46:59Z,2022-02-13T01:51:35Z,1073.076667,NONE,0,13,96,0,6.37,8.47,17,12,0.064285714,0.25,0,0,[],0,0,343,2425,13153,509,281,281,207,1115,155,0,0,98,23,187,5,2136,1,1,0,0,1074.110278,0,0
zeromicro/go-zero,1090926454,0,0,2021-12-30T07:30:12Z,2021-12-30T07:30:16Z,0.001111111,CONTRIBUTOR,1,4,0,0,10.15,-22.21,0,0,0,0,0,0,[],0,0,343,2420,13148,509,280,280,207,1114,154,757,114,98,23,102,1491,3466,700,570,392,114,,0,0
zeromicro/go-zero,1090921553,0,0,2021-12-30T07:17:37Z,2021-12-30T07:18:24Z,0.013055556,CONTRIBUTOR,1,4,0,0,4.35,-22.21,0,0,0,0,0,0,[],0,0,343,2420,13148,509,279,279,207,1113,153,756,113,98,23,102,1491,3466,693,563,392,114,,0,0
zeromicro/go-zero,1090905973,0,0,2021-12-30T06:32:44Z,2021-12-30T06:47:53Z,0.2525,CONTRIBUTOR,1,5,0,0,6.12,-22.21,0,0,0,0,0,0,[],0,0,341,2418,13146,509,278,278,207,1112,152,755,112,98,23,102,1491,3466,683,553,392,114,,0,0
zeromicro/go-zero,1090861124,0,0,2021-12-30T04:04:29Z,2021-12-30T06:21:55Z,2.290555556,CONTRIBUTOR,1,4,0,0,0,-22.21,0,0,0,0,0,0,[],0,0,337,2414,13143,509,277,277,207,1111,151,754,111,98,23,102,1491,3466,681,551,392,114,,0,0
zeromicro/go-zero,1090553557,1,1,2021-12-29T14:22:44Z,2022-01-02T12:23:51Z,94.01861111,CONTRIBUTOR,1,6,2,0,5.27,-10.31,0,0,0,0,1,1,['feature'],0,0,330,2392,13123,508,277,277,207,1110,151,754,112,97,22,102,1491,3466,677,550,389,111,,0,0
zeromicro/go-zero,1090473264,0,0,2021-12-29T12:02:03Z,2021-12-29T13:34:28Z,1.540277778,CONTRIBUTOR,1,2,0,0,-10.31,-22.21,0,0,0,0,0,0,[],0,0,330,2387,13118,508,276,276,207,1109,150,753,111,97,22,102,1491,3465,673,548,389,111,,0,0
zeromicro/go-zero,1090396126,0,0,2021-12-29T09:44:09Z,2021-12-30T02:42:23Z,16.97055556,CONTRIBUTOR,1,2,4,1,1.3,91.35,1,2,0.5,1,0,0,[],0,0,330,2384,13115,508,275,275,207,1108,149,0,0,97,22,36,3,1858,2,2,0,0,,0,0
zeromicro/go-zero,1090335055,0,0,2021-12-29T07:53:22Z,2021-12-29T10:16:42Z,2.388888889,COLLABORATOR,1,3,12,0,-0.46,9.38,1,0,-0.1,0.2,0,0,[],0,0,326,2381,13113,508,274,274,207,1107,149,39,14,97,22,32,60,2560,279,58,105,19,,0,0
zeromicro/go-zero,1090309961,0,0,2021-12-29T06:55:21Z,2021-12-29T09:37:37Z,2.704444444,CONTRIBUTOR,1,8,0,0,8.66,-22.21,0,0,0,0,0,0,[],0,0,326,2379,13112,508,274,274,206,1107,149,752,110,97,22,102,1491,3465,663,540,389,111,,0,0
zeromicro/go-zero,1090274118,0,0,2021-12-29T05:12:20Z,2022-01-21T06:19:59Z,553.1275,NONE,0,15,38,0,5.33,21.72,6,6,0.159090909,0.501136364,0,0,[],0,0,326,2373,13107,508,273,273,205,1107,149,0,0,97,22,9,0,855,0,0,0,0,5.146944444,9,5
zeromicro/go-zero,1090241064,0,0,2021-12-29T03:18:35Z,2022-02-12T01:52:26Z,1078.564167,NONE,0,3,7,0,1.52,7.37,3,1,0,0,0,0,[],0,0,325,2371,13105,508,272,272,204,1107,149,0,0,97,22,39,9,1731,1,1,0,0,0.041944444,9,1
zeromicro/go-zero,1090236149,1,0,2021-12-29T03:03:18Z,2022-03-02T01:58:35Z,1510.921389,NONE,0,20,351,0,16.91,28.52,102,117,0.133333333,0.833333333,0,0,[],0,0,325,2370,13104,508,271,271,203,1107,149,0,0,97,22,67,3,1725,7,7,2,2,297.3852778,6,0
zeromicro/go-zero,1089750960,0,0,2021-12-28T09:50:52Z,2021-12-30T12:44:04Z,50.88666667,COLLABORATOR,1,2,0,0,-10.31,-22.21,0,0,0,0,0,0,[],0,0,319,2341,13077,507,276,276,203,1107,153,39,14,97,23,32,60,2559,278,57,103,17,,0,0
zeromicro/go-zero,1089728104,0,0,2021-12-28T09:12:45Z,2021-12-28T09:12:51Z,0.001666667,CONTRIBUTOR,1,4,0,0,2.9,-22.21,0,0,0,0,0,0,[],0,0,318,2337,13073,507,275,275,204,1106,152,751,112,97,23,102,1491,3464,659,549,388,113,,0,0
zeromicro/go-zero,1089698336,0,0,2021-12-28T08:20:35Z,2021-12-28T08:40:26Z,0.330833333,COLLABORATOR,1,2,0,0,-10.31,-22.21,0,0,0,0,0,0,[],0,0,316,2331,13068,507,275,275,205,1105,151,38,13,97,23,32,60,2559,276,55,103,17,,0,0
zeromicro/go-zero,1089554924,0,0,2021-12-28T01:45:20Z,2022-01-10T01:51:19Z,312.0997222,NONE,0,7,46,1,4.07,14.6,6,4,-0.0625,0.6875,0,0,[],0,0,304,2297,13037,507,274,274,204,1105,152,0,0,97,23,23,44,2138,1,1,0,0,0.413888889,8,1
zeromicro/go-zero,1089078776,0,0,2021-12-27T08:52:02Z,2021-12-27T08:52:08Z,0.001666667,CONTRIBUTOR,1,5,0,0,11.92,-22.21,0,0,0,0,0,0,[],0,0,303,2275,13015,506,275,275,208,1103,150,750,112,97,22,102,1491,3463,641,535,387,113,,0,0
zeromicro/go-zero,1089034610,0,0,2021-12-27T07:34:14Z,2021-12-27T14:05:27Z,6.520277778,CONTRIBUTOR,1,10,0,0,11.4,-22.21,0,0,0,0,1,1,['bug'],1,0,302,2266,13006,506,274,274,207,1103,150,0,0,97,22,163,24,2185,2,2,0,0,,0,0
zeromicro/go-zero,1088979771,0,0,2021-12-27T05:36:39Z,2021-12-28T08:40:29Z,27.06388889,NONE,0,6,1,1,2.37,482.4,3,4,0,0,0,0,[],0,0,299,2253,12994,506,273,273,207,1103,150,0,0,97,22,274,5,3267,0,0,0,0,,0,0
zeromicro/go-zero,1088916095,0,0,2021-12-27T02:34:57Z,2021-12-27T03:02:14Z,0.454722222,CONTRIBUTOR,0,2,2,0,47.7,4.2,0,1,0,0,0,0,[],0,0,297,2240,12981,506,272,272,208,1102,149,0,0,97,22,8,1,281,4,4,1,1,0.044722222,12,2
zeromicro/go-zero,1088913984,0,0,2021-12-27T02:27:13Z,2022-02-14T01:49:46Z,1175.375833,NONE,0,5,71,0,17.72,12.98,11,11,-0.025,0.436111111,0,0,[],0,0,297,2239,12980,506,271,271,207,1102,149,0,0,97,22,12,0,720,1,1,0,0,839.3722222,0,2
