LtR algorithm,repo_name,ndcg@1,ndcg@2,ndcg@3,ndcg@4,ndcg@5,ndcg@6,ndcg@7,ndcg@8,ndcg@9,ndcg@10,ndcg@11,ndcg@12,ndcg@13,ndcg@14,ndcg@15,ndcg@16,ndcg@17,ndcg@18,ndcg@19,ndcg@20,Project_Category
ListNet,alibaba_BizCharts,0,0.191903361,0.146875279,0.1221815,0.106150667,0.094708776,0.086031042,0.079166235,0.081921748,0.076709821,0.072272776,0.068437736,0.065081278,0.062112638,0.059463391,0.057080856,0.054923732,0.052959121,0.055171867,0.053387703,Small
ListNet,AmruthPillai_Reactive-Resume,0.023622047,0.10891243,0.096290165,0.09995872,0.218048706,0.200486555,0.204482151,0.197590144,0.187509427,0.239200717,0.22855302,0.269488625,0.262064429,0.255498051,0.287252775,0.277951778,0.269530744,0.259889684,0.285026261,0.277591425,Small
ListNet,apache_kylin,0,0.386852807,0.296081911,0.414429925,0.392081051,0.45760812,0.507305017,0.506407965,0.541332445,0.570513236,0.595355589,0.6168274,0.635619702,0.606626319,0.623404613,0.638493752,0.614364644,0.628158743,0.640787694,0.620065715,Small
ListNet,asynkron_protoactor-dotnet,0,0.191903361,0.204149454,0.253228158,0.220003338,0.202230499,0.206066305,0.229206457,0.221345759,0.207263568,0.22396829,0.21208377,0.226011236,0.221089401,0.254311733,0.248854514,0.277240807,0.285068033,0.277258178,0.300630414,Small
ListNet,aws_chalice,0.244094488,0.244094488,0.192362975,0.201060467,0.174680313,0.182162408,0.210923689,0.213570537,0.215730283,0.209519618,0.19876694,0.201172174,0.192464413,0.183685272,0.218502977,0.229624042,0.22540986,0.221571774,0.22233672,0.223040329,Small
ListNet,open-mmlab_mmsegmentation,0,0,0.012932878,0.010758505,0.016578711,0.02073284,0.110458629,0.106042758,0.102439545,0.095922261,0.09037393,0.085578381,0.081381279,0.077669124,0.074356357,0.071377102,0.070762664,0.068231498,0.067786124,0.065594037,Small
ListNet,otya128_winevdm,0.238095238,0.33634357,0.313290644,0.343347283,0.312876718,0.279152001,0.298660111,0.274828665,0.272229563,0.254910104,0.268627519,0.288253031,0.306343783,0.304397106,0.320440474,0.313367624,0.327908844,0.325829493,0.328930875,0.331865994,Small
ListNet,remotion-dev_remotion,0.492063492,0.492063492,0.402677068,0.503103501,0.501654996,0.459558601,0.509076784,0.548249775,0.544274272,0.540952581,0.538124741,0.535680574,0.521085811,0.502385079,0.491112508,0.480974803,0.481393852,0.472691109,0.468492723,0.464498701,Small
ListNet,capistrano_capistrano,0.118110236,0.459271767,0.36444141,0.47129631,0.441486278,0.396445045,0.362284973,0.33337661,0.311459691,0.293147233,0.27755737,0.315892637,0.300400011,0.289211635,0.279227006,0.26898562,0.296611145,0.28684638,0.285394385,0.277947644,Small
ListNet,Shopify_shopify_app,0.047619048,0.219553629,0.168037705,0.13978594,0.127693175,0.13959332,0.148618602,0.13675965,0.134944868,0.126359569,0.119050685,0.138844015,0.156167297,0.151215939,0.154921541,0.150622226,0.163525521,0.175277258,0.173942277,0.179042945,Small
ListNet,StackExchange_StackExchange.Redis,1,0.613147193,0.496992037,0.454472995,0.426870267,0.488647436,0.535500342,0.512247746,0.484360247,0.461059133,0.492232524,0.492435782,0.517328742,0.499118647,0.48286776,0.463520579,0.446003824,0.434275137,0.419525726,0.409778464,Small
ListNet,tensorflow_tensor2tensor,0,0.190356143,0.380330462,0.335067276,0.422309825,0.376789406,0.34226591,0.354218939,0.363972235,0.404436823,0.438885359,0.441707172,0.420044103,0.423329221,0.405273254,0.429102317,0.431481662,0.433648662,0.418920529,0.406913273,Small
ListNet,ThePhD_sol2,0.118110236,0.166847598,0.127698584,0.110200452,0.127768029,0.221785176,0.246916003,0.236638006,0.219894504,0.221434126,0.208625944,0.210508026,0.212155239,0.213612127,0.225659307,0.218826191,0.219781097,0.229663645,0.238711442,0.234811405,Small
ListNet,the-tcpdump-group_tcpdump,1,1,1,1,1,1,0.908374556,0.915685766,0.921651484,0.926636078,0.93087959,0.934547355,0.937757412,0.896059716,0.900493008,0.90447998,0.872382023,0.876946893,0.847162895,0.852105386,Small
ListNet,vcmi_vcmi,0.244094488,0.195357127,0.177231965,0.188473397,0.294949808,0.334814392,0.317989361,0.314362251,0.301309055,0.289755807,0.279417128,0.286522118,0.292986925,0.291354462,0.283130251,0.302400396,0.300749496,0.305452374,0.309854737,0.313988402,Small
ListNet,vernesong_OpenClash,0.244094488,0.244094488,0.186820313,0.175268257,0.217358155,0.193929303,0.176160445,0.201686921,0.25817217,0.249261319,0.24896246,0.28881507,0.323694396,0.320063497,0.349064356,0.339810661,0.36475966,0.355937059,0.347859679,0.338392917,Small
ListNet,wiremock_wiremock,0.244094488,0.536518657,0.645269624,0.577821037,0.633213061,0.591270299,0.628720339,0.658346428,0.629035717,0.590518822,0.614204013,0.594564741,0.614448892,0.588935379,0.57422712,0.560999615,0.544262527,0.525639322,0.516077134,0.531726373,Small
ListNet,XTLS_Xray-core,0.492063492,0.39381516,0.327481662,0.275091668,0.270237549,0.266772956,0.287415302,0.28347983,0.298238326,0.280274022,0.321904378,0.317457179,0.313564955,0.301434004,0.309564791,0.306701203,0.304108537,0.293798411,0.292642176,0.291542224,Small
